"dt_sin_pri","n.casos"
2020-03-08,1
2020-03-10,1
2020-03-13,1
2020-03-15,1
2020-03-22,1
2020-03-31,2
2020-04-09,1
2020-04-22,2
2020-04-24,2
2020-04-27,1
2020-04-30,1
2020-05-01,3
2020-05-03,1
2020-05-04,1
2020-05-06,1
2020-05-08,2
2020-05-09,1
2020-05-13,1
2020-05-14,1
2020-05-16,1
2020-05-18,1
2020-05-19,2
2020-05-20,1
2020-05-21,1
2020-05-22,1
2020-05-23,3
2020-05-27,1
2020-05-28,1
2020-05-29,1
2020-05-30,2
2020-06-01,4
2020-06-02,1
2020-06-03,3
2020-06-04,1
2020-06-05,2
2020-06-07,3
2020-06-08,1
2020-06-09,2
2020-06-10,2
