INFORMAÇÕES SOBRE A DEMANDA -FEVEREIRO/2020;;;;;
;;;;;
PASSAGEIROS TRANSPORTADOS POR LINHA¹;;;;;
;;;;;
DEMANDA (milhares);Linha 1-Azul ;Linha 2-Verde;Linha 3-Vermelha;Linha 15 - Prata ;Rede
Total;32.483;18.033;31.992;2.497;85.004
Média dos dias úteis ;1.410;826;1.382;116;3.734
Média dos Sábados ;856;390;860;60;2.154
Média dos Domingos ;494;257;528;27;1.306
Máxima Diária ;1.483;870;1.451;122;3.921
¹ Corresponde à soma das entradas pela linha de bloqueios com as transferências entre linhas nas estações Sé, Paraíso, Ana Rosa e Vila Prudente;;;;;
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 10/03/2020;;;;;
