nome_drs,tot.casos,tot.casos.pc,tot.obitos,tot.obitos.pc,casos.max,casos.pc.max,semana.casos.max,obitos.max,obitos.pc.max,semana.obitos.max
Araçatuba,53173,6959.44327594985,1327,173.681778857417,3193,417.909510091736,2021-W10-1,80,10.4706422822859,2021-W09-1
Araraquara,54655,5512.71641610393,1142,115.186572997726,2569,259.119357295234,2021-W10-1,98,9.88466213115333,2021-W05-1
Baixada Santista,101850,5559.84985948892,3589,195.918518858181,4416,241.063298767826,2020-W24-1,180,9.82594967803638,2020-W21-1
Barretos,28442,6690.8184149239,655,154.085017290456,1080,254.063845303348,2020-W33-1,26,6.11635183137688,2020-W25-1
Bauru,109416,6283.64979575382,2252,129.330073664159,4714,270.720234126485,2021-W10-1,133,7.63805497217279,2021-W09-1
Campinas,261684,5736.01117900101,6720,147.29977806395,9587,210.14329944927,2021-W01-1,302,6.61972216894539,2021-W09-1
Franca,33816,4856.27628041635,817,117.328416166908,1981,284.489097217435,2021-W01-1,41,5.88796213322304,2021-W01-1
Grande São Paulo,1003880,4749.11661312312,37725,178.467968512242,32054,151.639821409978,2021-W09-1,1577,7.46041050613137,2020-W20-1
Marília,54264,4890.10246289437,1162,104.715816413889,2890,260.437787810791,2021-W10-1,68,6.12794794848919,2021-W09-1
Piracicaba,103862,6746.03793193037,2129,138.282670823591,4036,262.146011951156,2021-W03-1,116,7.53442452585087,2020-W27-1
Presidente Prudente,38728,5148.22003030867,1032,137.18661101215,1882,250.179459229522,2021-W10-1,74,9.83702443304177,2021-W08-1
Registro,17265,6193.63309584795,436,156.41031160091,768,275.511741535547,2020-W30-1,17,6.09856719544832,2020-W31-1
Ribeirão Preto,88180,5968.06833025387,2532,171.367078841039,3324,224.970051369515,2020-W28-1,117,7.91862094170677,2020-W27-1
São João da Boa Vista,45041,5561.74336532335,1025,126.56883615942,2343,289.317837191728,2021-W09-1,71,8.76720718762811,2021-W09-1
São José do Rio Preto,140896,8971.86168549707,3557,226.499772990809,6230,396.708907993462,2021-W09-1,172,10.9524770746188,2021-W09-1
Sorocaba,128428,5216.91797738204,2940,119.426751592357,5988,243.240608345249,2021-W09-1,155,6.2963083322501,2021-W09-1
Taubaté,146511,5884.85272303624,2707,108.73105992901,9270,372.344634481684,2021-W01-1,131,5.26182816797202,2021-W01-1
