nome_drs,tot.casos,tot.casos.pc,tot.obitos,tot.obitos.pc,casos.max,casos.pc.max,semana.casos.max,obitos.max,obitos.pc.max,semana.obitos.max
Araçatuba,53173,6959.44327594985,1327,173.681778857417,3655,478.377469271937,2021-W12-1,136,17.800091879886,2021-W12-1
Araraquara,54655,5512.71641610393,1142,115.186572997726,3105,313.182407318685,2021-W08-1,120,12.103667915698,2021-W10-1
Baixada Santista,101850,5559.84985948892,3589,195.918518858181,4573,249.633710431447,2020-W28-1,155,8.46123444497577,2020-W25-1
Barretos,28442,6690.8184149239,655,154.085017290456,1320,310.52247759298,2021-W10-1,59,13.8794137712014,2021-W12-1
Bauru,109416,6283.64979575382,2252,129.330073664159,5918,339.864731769312,2021-W12-1,224,12.8640925847121,2021-W12-1
Campinas,261684,5736.01117900101,6720,147.29977806395,12433,272.526509028139,2021-W12-1,488,10.6967695975012,2021-W12-1
Franca,33816,4856.27628041635,817,117.328416166908,2088,299.855242296822,2021-W04-1,44,6.31878863077595,2021-W05-1
Grande São Paulo,1003880,4749.11661312312,37725,178.467968512242,41828,197.87828195971,2021-W12-1,1917,9.06886933433979,2021-W12-1
Marília,54264,4890.10246289437,1162,104.715816413889,3877,349.383149945479,2021-W12-1,101,9.10180504113836,2021-W12-1
Piracicaba,103862,6746.03793193037,2129,138.282670823591,5133,333.398285268901,2021-W12-1,150,9.74279033515199,2021-W12-1
Presidente Prudente,38728,5148.22003030867,1032,137.18661101215,2360,313.721319756467,2021-W12-1,86,11.4322175843458,2021-W12-1
Registro,17265,6193.63309584795,436,156.41031160091,870,312.103144708237,2021-W01-1,28,10.0446989101502,2021-W11-1
Ribeirão Preto,88180,5968.06833025387,2532,171.367078841039,3790,256.509174094604,2021-W12-1,149,10.084397609524,2021-W12-1
São João da Boa Vista,45041,5561.74336532335,1025,126.56883615942,2591,319.941321452739,2021-W12-1,96,11.8542519720042,2021-W12-1
São José do Rio Preto,140896,8971.86168549707,3557,226.499772990809,6738,429.056921678964,2021-W12-1,296,18.8484489191115,2021-W12-1
Sorocaba,128428,5216.91797738204,2940,119.426751592357,7875,319.893084622384,2021-W12-1,231,9.3835304822566,2021-W12-1
Taubaté,146511,5884.85272303624,2707,108.73105992901,9065,364.110475898216,2021-W05-1,147,5.90449420375486,2021-W05-1
