"","nome_drs2","pacientes_uti_mm7d.min","pacientes_uti_mm7d.max","total_covid_uti_mm7d.min","total_covid_uti_mm7d.max","leitos_pc.min","leitos_pc.max","ocupacao_leitos.min","ocupacao_leitos.max","internacoes_7d.min","internacoes_7d.max","internacoes_7d_pc.min","internacoes_7d_pc.max","dia.pacientes_uti_mm7d.min","dia.pacientes_uti_mm7d.max","dia.leitos_pc.min","dia.leitos_pc.max","dia.ocupacao_leitos.min","dia.ocupacao_leitos.max","dia.internacoes_7d_pc.min","dia.internacoes_7d_pc.max"
"1","DRS 01 Grande SP",517.86,2455.28,1232.85,2698.72,13.301380242749,29.1168438080152,35.4529710281127,90.9794272840458,960,4920,10.3575658296135,53.0825248767692,2020-11-03,2021-03-27,2020-05-19,2021-03-27,2020-10-17,2021-03-27,2020-10-16,2021-03-22
"2","DRS 02 Araçatuba",12.43,146.71,46.71,151.86,6.11354626256968,19.8758967123492,22.62011876912,97.1741794906714,40,381,5.23532114114295,49.8664338693866,2020-05-23,2021-03-27,2020-05-19,2021-03-27,2020-05-24,2021-03-25,2020-05-22,2021-03-24
"3","DRS 03 Araraquara",12.86,202.29,65.57,217.71,6.61364587693596,21.959079516055,16.8258537223603,95.685703499973,113,470,11.3976206206156,47.406032669817,2020-05-19,2021-03-27,2020-06-04,2021-03-27,2020-05-19,2021-03-14,2020-05-31,2021-03-27
"4","DRS 04 Baixada Santista",106,439.43,274.57,501.71,14.9883944616581,27.3876511831535,25.4748523867112,87.5864543262044,161,850,8.78876610091032,46.4003179240607,2020-10-13,2021-03-27,2020-05-19,2021-03-27,2020-10-01,2021-03-27,2020-09-27,2021-03-27
"5","DRS 05 Barretos",6.57,104.57,52,109.71,12.2327036627538,25.8086522853984,11.7321428571429,95.9357798165138,29,248,6.82208473499729,58.3405866992872,2020-06-02,2021-03-27,2020-06-29,2021-03-24,2020-06-02,2021-03-27,2020-11-18,2021-03-26
"6","DRS 06 Bauru",51,313,116.86,323.57,6.71115115825648,18.5822965965861,42.0479841701707,97.0302261678292,198,892,11.3709389811294,51.2266543998355,2020-06-03,2021-03-27,2020-06-08,2021-03-27,2020-06-03,2021-03-11,2020-11-07,2021-03-27
"7","DRS 07 Campinas",166.57,1095.43,503.57,1171.29,11.038057922569,25.6742197988876,31.9369758959125,93.889770723104,325,2140,7.12387319505713,46.9079650382223,2020-11-03,2021-03-27,2020-11-17,2021-03-27,2020-11-01,2021-03-24,2020-11-06,2021-03-27
"8","DRS 08 Franca",10.14,127.14,30.57,143.14,4.39012201006411,20.5561682865743,26.9527813080458,90.4460411183041,33,248,4.73909147308196,35.6149904643735,2020-05-22,2021-03-27,2020-06-22,2021-03-22,2020-11-08,2021-03-27,2020-05-23,2021-03-27
"9","DRS 09 Marília",15.14,229,100.71,238.86,9.07567114547568,21.5253183378842,14.206624753683,95.8720589466633,60,558,5.40701289572576,50.2852199302495,2020-05-25,2021-03-27,2020-05-19,2021-03-27,2020-05-25,2021-03-27,2020-05-23,2021-03-26
"10","DRS 10 Piracicaba",39.71,390.57,113.86,423.71,7.39542738373604,27.5207846193817,20.9159025929212,92.1786127304052,76,765,4.93634710314367,49.6882307092751,2020-11-06,2021-03-27,2020-05-23,2021-03-27,2020-11-02,2021-03-27,2020-11-01,2021-03-25
"11","DRS 11 Presidente Prudente",20.57,146.29,42.14,153.43,5.60178661632946,20.3958737670486,37.3214027998268,96.0466677857982,38,382,5.05144497912956,50.7803153165129,2020-05-22,2021-03-27,2020-06-11,2021-03-27,2020-11-11,2021-03-09,2020-05-30,2021-03-27
"12","DRS 12 Registro",4,45.43,22,49.29,7.8922634294037,17.6822574743322,16.4074074074074,92.4501424501425,17,81,6.09856719544832,29.0578789900773,2020-05-20,2021-03-26,2020-05-19,2021-03-14,2020-06-17,2021-03-26,2020-10-18,2021-03-24
"13","DRS 13 Ribeirão Preto",42,358.43,110.43,385.86,7.47395991959554,26.1152057826237,27.0528252702599,94.198022239547,155,737,10.4904807347397,49.8805438806657,2020-05-23,2021-03-27,2020-05-23,2021-03-27,2020-11-17,2020-07-16,2020-11-28,2021-03-18
"14","DRS 14 São João da Boa Vista",14,139.14,77.71,154.14,9.59577000775466,19.0334833225493,17.7215189873418,90.5211111833973,68,411,8.39676181350298,50.751016255143,2020-05-19,2021-03-25,2020-05-24,2021-03-27,2020-05-19,2021-03-25,2020-11-09,2021-03-27
"15","DRS 15 São José do Rio Preto",40.71,523.43,198.43,558,12.6354652669571,35.531873300217,19.9842913946296,93.9953766501729,178,956,11.3345402283846,60.8753958333466,2020-05-21,2021-03-27,2020-06-02,2021-03-27,2020-05-21,2021-03-23,2020-05-19,2021-03-26
"16","DRS 16 Sorocaba",79.29,447.14,164.57,471.71,6.68505459508644,19.1614942155206,43.1850851592107,95.666499378123,203,980,8.24613284804368,39.8089171974522,2020-05-19,2021-03-27,2020-05-28,2021-03-27,2020-10-27,2021-03-26,2020-11-04,2021-03-25
"17","DRS 17 Taubaté",84,515.71,206.86,607.29,8.30886851012741,24.3927910544101,30.9216304179367,84.9198900031287,262,1141,10.523656335944,45.8301216767639,2020-05-19,2021-03-27,2020-05-19,2021-03-27,2020-11-08,2021-03-27,2020-10-31,2021-03-27
