"data","nome_drs","total_covid_uti_mm7d","pop","leitos_pc","internacoes_7d","internacoes_7d_l","internacoes_7v7","nowcasting","notificados","now_7d","not_7d","now_7v7","not_7v7","nome.obs"
2019-12-31,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Grande_Sao_Paulo"
2020-01-02,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,"Grande_Sao_Paulo"
2020-01-03,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,"Grande_Sao_Paulo"
2020-01-05,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Grande_Sao_Paulo"
2020-01-06,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,"Grande_Sao_Paulo"
2020-01-07,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,"Grande_Sao_Paulo"
2020-01-08,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,32,NA,NA,"Grande_Sao_Paulo"
2020-01-09,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,35,NA,NA,"Grande_Sao_Paulo"
2020-01-10,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,35,NA,NA,"Grande_Sao_Paulo"
2020-01-11,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,29,NA,NA,"Grande_Sao_Paulo"
2020-01-12,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,29,NA,NA,"Grande_Sao_Paulo"
2020-01-13,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,32,NA,NA,"Grande_Sao_Paulo"
2020-01-14,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,34,NA,NA,"Grande_Sao_Paulo"
2020-01-15,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,31,NA,-3.125,"Grande_Sao_Paulo"
2020-01-16,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,34,NA,-2.85714285714286,"Grande_Sao_Paulo"
2020-01-17,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,35,NA,0,"Grande_Sao_Paulo"
2020-01-19,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,35,NA,20.6896551724138,"Grande_Sao_Paulo"
2020-01-20,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,43,NA,48.2758620689655,"Grande_Sao_Paulo"
2020-01-21,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,37,NA,15.625,"Grande_Sao_Paulo"
2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,33,NA,-2.94117647058824,"Grande_Sao_Paulo"
2020-01-23,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,35,NA,12.9032258064516,"Grande_Sao_Paulo"
2020-01-24,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,31,NA,-8.82352941176471,"Grande_Sao_Paulo"
2020-01-25,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,26,NA,-25.7142857142857,"Grande_Sao_Paulo"
