"data" "Aracatuba.covid" "Araraquara.covid" "Baixada_Santista.covid" "Barretos.covid" "Bauru.covid" "Campinas.covid" "Franca.covid" "Grande_Sao_Paulo.covid" "Marilia.covid" "Piracicaba.covid" "Presidente_Prudente.covid" "Registro.covid" "Ribeirao_Preto.covid" "Sao_Joao_da_Boa_Vista.covid" "Sao_Jose_do_Rio_Preto.covid" "Sorocaba.covid" "Taubate.covid" "Aracatuba.srag" "Araraquara.srag" "Baixada_Santista.srag" "Barretos.srag" "Bauru.srag" "Campinas.srag" "Franca.srag" "Grande_Sao_Paulo.srag" "Marilia.srag" "Piracicaba.srag" "Presidente_Prudente.srag" "Registro.srag" "Ribeirao_Preto.srag" "Sao_Joao_da_Boa_Vista.srag" "Sao_Jose_do_Rio_Preto.srag" "Sorocaba.srag" "Taubate.srag"
"1" NA NA NA NA NA NA NA 0.994114716013671 NA NA NA NA NA NA NA NA NA 1.3343472600782 1.44809641092384 1.08495146629148 1.40987578158665 1.04012142608883 1.2374088349105 2.1759700636713 1.15128294208541 1.0578947221768 1.1426049035477 1.54191816318839 NA 1.15047816190526 1.18638612217604 1.30424822791428 1.19296672148596 1.22468393148173
"2" NA NA NA NA NA NA NA 0.997403227693011 NA NA NA NA NA NA NA NA NA 1.32657172294004 1.48592459668965 1.09319040324242 1.38339761848379 1.10345330806808 1.26491225633105 1.94703012086702 1.13906706729646 1.08862474178342 1.1573201395282 1.53864905647039 NA 1.24108229824717 1.20738908140368 1.2264695513433 1.20918555401583 1.28064445792842
"3" NA NA NA NA NA NA NA 1.00249465811194 NA NA NA NA NA NA NA NA NA 1.32028859148619 1.51581482612369 1.08132885820477 1.32791619682788 1.12636907507463 1.27516275321732 1.93566562909631 1.15878349945812 0.99695411366642 1.24014521263899 1.51934439912992 NA 1.30924133138458 1.12830823875154 1.11529317171516 1.25400956078187 1.28908482491781
"4" NA NA NA NA NA NA NA 0.993677042488063 NA NA NA NA NA NA NA NA NA 1.28838770565118 1.39270018379823 1.11516949602808 1.32588171479191 1.16002130394468 1.25759791791138 1.74208030019895 1.14157322467472 1.02560164677708 1.33053484191297 1.5766145199582 NA 1.27397353958765 1.10592152261719 1.08463144232371 1.29226082290484 1.21240271134662
"5" NA NA NA NA NA NA NA 1.00315743357815 NA NA NA NA NA NA 1.70798312866833 NA NA 1.30274266369378 1.39187170978524 1.0216482148436 1.35766092980395 1.20027352861861 1.29344158523873 1.58894419962607 1.13652177662562 1.12134881228072 1.27976621433157 1.5918981563408 NA 1.33525106820114 1.18693677206381 1.07113380590691 1.30643606447706 1.23392559524974
"6" NA NA 1.36210389843278 NA NA NA NA 1.01427284461097 NA NA NA NA NA NA 1.65326280414261 NA NA 1.23417399016994 1.30081943891116 0.990664010655918 1.43526274864621 1.30089251376926 1.1968416269902 1.43920276127568 1.09342308895287 1.09635159241625 1.2660874393518 1.65769175582215 NA 1.39675651553395 1.1818575854707 1.03451336030888 1.29001650779973 1.30904991538059
"7" NA NA 1.28410183775273 NA NA NA NA 0.938666206183457 NA NA NA NA 1.35402995562112 NA 1.54558733656867 NA NA 1.19202955105149 1.22741317957068 1.00218236747035 1.42378672038864 1.30897563256344 1.19512236174958 1.23617706487176 1.08742490538177 1.120567793999 1.27993701248281 1.58319052816696 NA 1.32768969057846 1.20552216018954 0.998842525123482 1.26679191703889 1.22810228762766
"8" NA NA 1.21808765993092 NA NA NA NA 0.911622142021813 NA NA NA NA 1.30033948734841 NA 1.45023591456413 NA NA 1.15531690606398 1.15348162743759 1.00069876577681 1.45987890735117 1.38391851594283 1.17392857459751 1.38621174595096 1.06017904993641 1.13146161013561 1.22844029870353 1.55437179002516 NA 1.36074381221833 1.31758255082854 1.02305450546131 1.28066028064493 1.1420999941437
"9" 2.53760451767059 NA 1.17707453878344 NA NA 1.21926939464705 NA 0.899980963545766 NA NA NA NA 1.26359089991754 NA 1.37657683125736 NA NA 1.18355405876229 1.13867847893836 1.04337685036138 1.38750725579739 1.39222537687221 1.10854833360093 1.17973675999365 1.04185513381033 1.18593163344284 1.26453064453671 1.45414442025142 NA 1.34414016531704 1.29511607718159 1.0497219822497 1.14410684838405 1.12512606128768
"10" 2.62137233362891 NA 1.14186560027519 NA NA 1.2154275810729 NA 0.891581794317643 NA NA NA NA 1.22655254768631 NA 1.29506845527116 NA 1.5268567889342 1.24200783420204 1.13363832271489 1.05892072250122 1.46406130195272 1.34121466856747 1.09762940305194 1.2444334492784 1.04142777944511 1.22060932346044 1.22323466026574 1.30759208996025 2.00677977936202 1.25205815598664 1.26537349516349 1.12393496752709 1.19987438472168 1.08618476526412
