"data" "Aracatuba.covid" "Araraquara.covid" "Baixada_Santista.covid" "Barretos.covid" "Bauru.covid" "Campinas.covid" "Franca.covid" "Grande_Sao_Paulo.covid" "Marilia.covid" "Piracicaba.covid" "Presidente_Prudente.covid" "Registro.covid" "Ribeirao_Preto.covid" "Sao_Joao_da_Boa_Vista.covid" "Sao_Jose_do_Rio_Preto.covid" "Sorocaba.covid" "Taubate.covid" "Aracatuba.srag" "Araraquara.srag" "Baixada_Santista.srag" "Barretos.srag" "Bauru.srag" "Campinas.srag" "Franca.srag" "Grande_Sao_Paulo.srag" "Marilia.srag" "Piracicaba.srag" "Presidente_Prudente.srag" "Registro.srag" "Ribeirao_Preto.srag" "Sao_Joao_da_Boa_Vista.srag" "Sao_Jose_do_Rio_Preto.srag" "Sorocaba.srag" "Taubate.srag"
"2020-06-29" "1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.09022695423175 NA NA 1.05826527088274 NA NA NA NA NA NA 1.32128069782046 NA NA
"2020-06-28" "2" NA NA NA NA NA NA NA 0.98927625564673 NA NA NA NA 1.20123740393176 NA 1.53749472035882 NA NA NA NA NA NA 1.06481497969671 0.940277763138505 NA 1.01074492350405 NA 1.15945573781132 NA NA 0.732818279325582 NA 1.29060961019777 NA NA
"2020-06-27" "3" NA NA NA NA NA NA NA 0.946661915063831 NA NA NA NA 1.17588866406637 NA 1.53523058931828 NA NA 1.32984971951135 NA NA NA 1.00874805587298 0.939857943965692 NA 1.02606334530041 NA 1.09677669756842 1.17541501947189 NA 0.768329836132145 NA 1.25816889612009 NA 1.11488067699733
"2020-06-26" "4" NA NA NA NA NA 1.17924034225364 NA 0.891695483770941 NA NA NA NA 1.14589767640019 NA 1.4878660088459 NA 1.63653222106892 1.31641528214565 1.32871205205049 1.11886339210708 NA 1.01212674325145 0.940222531009689 1.54366875328839 1.02902657164125 1.42173699646297 1.07641122709016 1.12448844469539 NA 0.812270936053585 1.18568193664047 1.21768158720846 NA 1.1174433747663
"2020-06-25" "5" 2.47542546067986 NA 1.29180151110459 NA NA 1.13329624810322 NA 0.872230821150233 NA NA NA NA 1.16705331057876 NA 1.44707432427201 NA 1.64929922000004 1.29946091932578 1.36031336882133 1.10984250872244 NA 1.10023002087984 0.961327766494005 1.57505295715223 1.0287513494127 1.44433308526508 1.03647540660914 1.08825262449568 1.93163830214507 0.898768130631286 1.16300708206172 1.19418646131734 NA 1.12192163162862
"2020-06-24" "6" 2.54701610331705 NA 1.26026919510965 NA 1.53646084543603 1.11996945355486 NA 0.848989209291139 NA 1.36992959465573 NA 1.48337797098998 1.15808370580024 1.41608769303532 1.35611003571117 NA 1.62465166666044 1.38521957289181 1.42268141509731 1.09938729283656 NA 1.13530280480022 0.971723493439072 1.56648545582411 1.00784299164132 1.42306411622555 1.02576488600331 1.08094485654939 1.94010579171592 0.953649060505803 1.18037652271058 1.15040235551946 NA 1.13786970229464
"2020-06-23" "7" 2.67512126976136 1.64385453519923 1.23676816249478 NA 1.53608402470957 1.1106014384929 NA 0.863127861195562 NA 1.35163707007659 NA 1.61954995739908 1.14215505205014 1.32888566728442 1.30492173283826 1.67428320647714 1.56724216685877 1.39173810736321 1.45496816980609 1.08772087673077 NA 1.10707121965656 1.00160130197285 1.6265364043819 1.00940084517041 1.45386139638047 1.04593720402023 1.1252668977136 2.12548971806399 0.99983473467167 1.15159741717554 1.11074590848929 NA 1.14571982636453
"2020-06-22" "8" 2.82966854906395 1.61258808497794 1.20583659545407 NA 1.478757381391 1.15175536120376 NA 0.888748734511418 NA 1.33633650246096 1.73084803690568 1.63131195381025 1.13971757131636 1.31342066617325 1.23928069570194 1.54768351752096 1.45232362561383 1.42793643364067 1.45657895471623 1.06642517939615 NA 1.13006226580323 1.05958790928745 1.66912490373071 1.03733475945609 1.46596688060836 1.04346825704481 1.13769703458755 2.28442237531445 1.04754746809131 1.15691834745276 1.08965116509319 NA 1.14634883747291
"2020-06-21" "9" 2.84919945069174 1.67741008814853 1.18091546584566 NA 1.41122527625927 1.14975865419984 1.83479563464145 0.877924496143128 1.45324051235917 1.29208553687159 1.64955710976687 1.65454239862373 1.10853728803175 1.29483944179131 1.16448463485395 1.39795242274321 1.30706373877014 1.39538333476195 1.45670932659312 1.05343448454528 NA 1.12630015897205 1.08581399406849 1.68361440866619 1.01725550768988 1.37938896014452 1.02419392296325 1.14840751824972 2.26158467029548 1.05279161430546 1.19749320273656 1.02905140857359 NA 1.12306994529263
"2020-06-20" "10" 2.80958625513952 1.69193519841202 1.17012463835459 NA 1.34282390065949 1.11435986732186 1.63823820278684 0.871585258112154 1.37157587817725 1.26293334778076 1.60717800676784 1.70145938404938 1.10264802321687 1.21303619509512 1.157801398013 1.26642077488491 1.19005259571147 1.32981141090287 1.42717686426636 1.06976664837152 NA 1.07475024402636 1.05792308196279 1.65753576861924 0.997329786745368 1.36421052920457 1.06891745894369 1.20716749696249 2.11721050826218 1.06987217464548 1.15935127036986 1.03810421681833 NA 1.14471401982641
"2020-06-19" "11" 2.61468307005787 1.6173194720688 1.13613731465098 NA 1.28561938022725 1.11019054358327 1.52299078858437 0.871032013217249 1.393609085046 1.25890712232757 1.5515290243764 1.66489743069127 1.1172601128423 1.17820800815654 1.13807245701453 1.1957271537996 1.04817706814001 1.32476823119707 1.38566304162108 1.04893235965761 NA 1.04692016309292 1.02771286251614 1.71307484823099 0.958984328201394 1.43118095680502 1.07572438805874 1.19297567527971 1.62401326675114 1.10783967453824 1.18021217706671 1.04256208436482 NA 1.08416450918877
"2020-06-18" "12" 2.36003114007213 1.60500401963849 1.1333544534294 NA 1.2414584443606 1.08685359886906 1.39965540966501 0.894225248389771 1.38247112047217 1.21489917131979 1.52317454344901 1.66921544380457 1.12105239250114 1.19990225975389 1.18708809082158 1.20350962303132 0.971471354628661 1.38174683422039 1.3803419470133 1.05186586261974 NA 1.01693667557508 0.994049270131398 1.67599045171266 0.944997052452881 1.42331257603636 1.04142962316213 1.23111688651363 1.51960858268642 1.09798022963161 1.26529097919612 1.0928796104088 NA 1.02522605041276
