"dt_notific","n.notific"
2020-03-17,2
2020-03-18,2
2020-03-20,1
2020-03-21,1
2020-03-22,3
2020-03-23,7
2020-03-24,2
2020-03-25,1
2020-03-26,3
2020-03-27,6
2020-03-28,6
2020-03-29,6
2020-03-30,5
2020-03-31,4
2020-04-01,3
2020-04-02,4
2020-04-03,1
2020-04-04,3
2020-04-05,3
2020-04-06,3
2020-04-07,4
2020-04-08,2
2020-04-09,2
2020-04-10,3
2020-04-11,3
2020-04-12,1
2020-04-13,7
2020-04-14,3
2020-04-15,2
2020-04-16,5
2020-04-17,1
2020-04-18,3
2020-04-19,3
2020-04-20,2
2020-04-21,2
2020-04-22,3
2020-04-23,2
2020-04-24,4
2020-04-25,2
2020-04-26,2
2020-04-27,4
2020-04-28,4
2020-04-29,7
2020-04-30,3
2020-05-01,3
2020-05-02,3
2020-05-03,2
2020-05-04,2
2020-05-05,6
2020-05-06,5
2020-05-07,3
2020-05-08,6
2020-05-10,4
2020-05-11,4
2020-05-12,3
2020-05-13,1
