"estimate","lower","upper","onset_date","n.reported"
4,4,4,2020-05-30,4
10,10,10,2020-05-31,10
2,2,2,2020-06-01,2
1,1,1,2020-06-02,1
7,7,7,2020-06-03,7
6,6,6,2020-06-04,6
1,1,1,2020-06-05,1
4,4,4,2020-06-06,4
4,4,4,2020-06-07,4
2,2,3,2020-06-08,2
3,3,5,2020-06-09,3
4,4,6,2020-06-10,4
5,5,7,2020-06-11,5
4,4,6,2020-06-12,4
3,3,5,2020-06-13,3
3,3,5,2020-06-14,3
7,7,10,2020-06-15,7
10,9,13,2020-06-16,9
5,4,8,2020-06-17,4
8,7,11,2020-06-18,7
3,2,6,2020-06-19,2
2,1,5,2020-06-20,1
1,0,4,2020-06-21,NA
2,1,5,2020-06-22,1
2,1,5,2020-06-23,1
2,1,5,2020-06-24,1
2,1,5,2020-06-25,1
2,1,6,2020-06-26,1
4,3,8,2020-06-27,3
4,2,7,2020-06-28,2
3,1,6,2020-06-29,1
5,3,9,2020-06-30,3
4,2,8,2020-07-01,2
3,1,7,2020-07-02,1
3,1,7,2020-07-03,1
2,0,6,2020-07-04,NA
5,3,10,2020-07-05,3
3,1,8,2020-07-06,1
3,0,8,2020-07-07,NA
3,0,10,2020-07-08,NA
