"data","dt_evoluca","sg_uf","n"
"1",2020-03-30,"SP",53
"1",2020-03-31,"CE",4
"1",2020-03-31,"DF",2
"1",2020-03-31,"GO",1
"1",2020-03-31,"MA",2
"1",2020-03-31,"MG",1
"1",2020-03-31,"MS",1
"1",2020-03-31,"PB",2
"1",2020-03-31,"PE",4
"1",2020-03-31,"PR",1
"1",2020-03-31,"RJ",24
"1",2020-03-31,"RN",1
"1",2020-03-31,"SC",1
"1",2020-03-31,"SP",71
"1",2020-04-01,"AM",1
"1",2020-04-01,"BA",1
"1",2020-04-01,"CE",1
"1",2020-04-01,"DF",1
"1",2020-04-01,"ES",3
"1",2020-04-01,"MG",2
"1",2020-04-01,"PE",2
"1",2020-04-01,"RJ",25
"1",2020-04-01,"RS",1
"1",2020-04-01,"SC",1
"1",2020-04-01,"SP",76
"1",2020-04-02,"AM",4
"1",2020-04-02,"BA",2
"1",2020-04-02,"CE",8
"1",2020-04-02,"DF",2
"1",2020-04-02,"MG",3
"1",2020-04-02,"PA",1
"1",2020-04-02,"RJ",29
"1",2020-04-02,"RN",1
"1",2020-04-02,"RS",1
"1",2020-04-02,"SC",2
"1",2020-04-02,"SE",3
"1",2020-04-02,"SP",77
"1",2020-04-03,"AM",10
"1",2020-04-03,"AP",1
"1",2020-04-03,"BA",3
"1",2020-04-03,"CE",8
"1",2020-04-03,"DF",3
"1",2020-04-03,"ES",2
"1",2020-04-03,"GO",1
"1",2020-04-03,"MA",2
"1",2020-04-03,"MG",3
"1",2020-04-03,"MT",1
"1",2020-04-03,"PA",1
"1",2020-04-03,"PE",11
"1",2020-04-03,"PR",2
"1",2020-04-03,"RJ",27
"1",2020-04-03,"RR",1
"1",2020-04-03,"SC",1
"1",2020-04-03,"SE",1
"1",2020-04-03,"SP",82
"1",2020-04-04,"AM",2
"1",2020-04-04,"AP",1
"1",2020-04-04,"BA",1
"1",2020-04-04,"CE",7
"1",2020-04-04,"DF",1
"1",2020-04-04,"ES",1
"1",2020-04-04,"GO",1
"1",2020-04-04,"MA",2
"1",2020-04-04,"PB",3
"1",2020-04-04,"PE",12
"1",2020-04-04,"PR",3
"1",2020-04-04,"RJ",36
"1",2020-04-04,"RS",1
"1",2020-04-04,"SC",3
"1",2020-04-04,"SP",102
"1",2020-04-05,"AM",12
"1",2020-04-05,"AP",1
"1",2020-04-05,"BA",1
"1",2020-04-05,"CE",6
"1",2020-04-05,"DF",2
"1",2020-04-05,"GO",2
"1",2020-04-05,"MA",7
"1",2020-04-05,"MG",2
"1",2020-04-05,"PA",3
"1",2020-04-05,"PE",9
"1",2020-04-05,"PR",2
"1",2020-04-05,"RJ",37
"1",2020-04-05,"RN",2
"1",2020-04-05,"SC",1
"1",2020-04-05,"SP",100
"1",2020-04-06,"AM",13
"1",2020-04-06,"BA",3
"1",2020-04-06,"CE",11
"1",2020-04-06,"GO",1
"1",2020-04-06,"MA",2
"1",2020-04-06,"MG",2
"1",2020-04-06,"MS",1
"1",2020-04-06,"PA",2
"1",2020-04-06,"PB",1
"1",2020-04-06,"PE",12
"1",2020-04-06,"PR",5
"1",2020-04-06,"RJ",35
"1",2020-04-06,"RS",1
"1",2020-04-06,"SC",1
"1",2020-04-06,"SE",1
"1",2020-04-06,"SP",87
"1",2020-04-07,"AC",1
"1",2020-04-07,"AM",9
"1",2020-04-07,"BA",3
"1",2020-04-07,"CE",8
"1",2020-04-07,"GO",1
"1",2020-04-07,"MA",13
"1",2020-04-07,"MG",3
"1",2020-04-07,"PA",3
"1",2020-04-07,"PE",17
"1",2020-04-07,"PI",1
"1",2020-04-07,"PR",4
"1",2020-04-07,"RJ",40
"1",2020-04-07,"RN",3
"1",2020-04-07,"RS",1
"1",2020-04-07,"SC",2
"1",2020-04-07,"SP",101
"1",2020-04-08,"AM",15
"1",2020-04-08,"BA",2
"1",2020-04-08,"CE",10
"1",2020-04-08,"DF",1
"1",2020-04-08,"GO",2
"1",2020-04-08,"MA",3
"1",2020-04-08,"MG",4
"1",2020-04-08,"MT",2
"1",2020-04-08,"PA",1
"1",2020-04-08,"PB",1
"1",2020-04-08,"PE",10
"1",2020-04-08,"PI",2
"1",2020-04-08,"PR",7
"1",2020-04-08,"RJ",47
"1",2020-04-08,"RN",2
"1",2020-04-08,"RS",2
"1",2020-04-08,"SC",1
"1",2020-04-08,"SP",81
"1",2020-04-09,"AL",1
"1",2020-04-09,"AM",16
"1",2020-04-09,"BA",1
"1",2020-04-09,"CE",9
"1",2020-04-09,"DF",1
"1",2020-04-09,"ES",1
"1",2020-04-09,"MA",6
"1",2020-04-09,"PA",5
"1",2020-04-09,"PB",1
"1",2020-04-09,"PE",9
"1",2020-04-09,"PR",1
"1",2020-04-09,"RJ",57
"1",2020-04-09,"RN",3
"1",2020-04-09,"RR",2
"1",2020-04-09,"RS",3
"1",2020-04-09,"SC",1
"1",2020-04-09,"SP",78
"1",2020-04-10,"AL",2
"1",2020-04-10,"AM",13
"1",2020-04-10,"BA",2
"1",2020-04-10,"CE",15
"1",2020-04-10,"ES",3
"1",2020-04-10,"MA",6
"1",2020-04-10,"MG",3
"1",2020-04-10,"PA",3
"1",2020-04-10,"PB",2
"1",2020-04-10,"PE",20
"1",2020-04-10,"PR",2
"1",2020-04-10,"RJ",63
"1",2020-04-10,"RS",2
"1",2020-04-10,"SC",1
"1",2020-04-10,"SP",105
"1",2020-04-11,"AC",1
"1",2020-04-11,"AL",1
"1",2020-04-11,"AM",18
"1",2020-04-11,"BA",1
"1",2020-04-11,"CE",13
"1",2020-04-11,"ES",1
"1",2020-04-11,"GO",4
"1",2020-04-11,"MA",8
"1",2020-04-11,"MG",2
"1",2020-04-11,"MT",1
"1",2020-04-11,"PA",10
"1",2020-04-11,"PB",1
"1",2020-04-11,"PE",16
"1",2020-04-11,"PR",2
"1",2020-04-11,"RJ",54
"1",2020-04-11,"RN",2
"1",2020-04-11,"RR",1
"1",2020-04-11,"RS",1
"1",2020-04-11,"SC",5
"1",2020-04-11,"SP",95
"1",2020-04-12,"AL",1
"1",2020-04-12,"AM",27
"1",2020-04-12,"BA",1
"1",2020-04-12,"CE",12
"1",2020-04-12,"DF",2
"1",2020-04-12,"ES",5
"1",2020-04-12,"GO",1
"1",2020-04-12,"MA",14
"1",2020-04-12,"MG",5
"1",2020-04-12,"MS",1
"1",2020-04-12,"PA",5
"1",2020-04-12,"PB",4
"1",2020-04-12,"PE",24
"1",2020-04-12,"PR",1
"1",2020-04-12,"RJ",85
"1",2020-04-12,"RN",1
"1",2020-04-12,"RS",1
"1",2020-04-12,"SC",1
"1",2020-04-12,"SP",93
"1",2020-04-13,"AL",1
"1",2020-04-13,"AM",19
"1",2020-04-13,"BA",4
"1",2020-04-13,"CE",8
"1",2020-04-13,"DF",1
"1",2020-04-13,"ES",2
"1",2020-04-13,"MA",11
"1",2020-04-13,"MG",3
"1",2020-04-13,"MS",1
"1",2020-04-13,"PA",19
"1",2020-04-13,"PB",4
"1",2020-04-13,"PE",25
"1",2020-04-13,"PI",1
"1",2020-04-13,"PR",4
"1",2020-04-13,"RJ",79
"1",2020-04-13,"RS",2
"1",2020-04-13,"SP",116
"1",2020-04-14,"AC",1
"1",2020-04-14,"AM",32
"1",2020-04-14,"BA",3
"1",2020-04-14,"CE",18
"1",2020-04-14,"DF",1
"1",2020-04-14,"ES",4
"1",2020-04-14,"GO",2
"1",2020-04-14,"MA",2
"1",2020-04-14,"MG",3
"1",2020-04-14,"PA",13
"1",2020-04-14,"PB",2
"1",2020-04-14,"PE",27
"1",2020-04-14,"PR",3
"1",2020-04-14,"RJ",62
"1",2020-04-14,"RN",3
"1",2020-04-14,"SC",4
"1",2020-04-14,"SP",90
"1",2020-04-14,"TO",1
"1",2020-04-15,"",1
"1",2020-04-15,"AC",1
"1",2020-04-15,"AL",2
"1",2020-04-15,"AM",40
"1",2020-04-15,"BA",4
"1",2020-04-15,"CE",17
"1",2020-04-15,"DF",4
"1",2020-04-15,"ES",2
"1",2020-04-15,"GO",1
"1",2020-04-15,"MA",16
"1",2020-04-15,"MG",3
"1",2020-04-15,"MS",1
"1",2020-04-15,"MT",1
"1",2020-04-15,"PA",11
"1",2020-04-15,"PE",27
"1",2020-04-15,"PI",1
"1",2020-04-15,"PR",1
"1",2020-04-15,"RJ",96
"1",2020-04-15,"RN",1
"1",2020-04-15,"RS",2
"1",2020-04-15,"SP",97
"1",2020-04-16,"AL",5
"1",2020-04-16,"AM",34
"1",2020-04-16,"AP",1
"1",2020-04-16,"BA",8
"1",2020-04-16,"CE",19
"1",2020-04-16,"ES",8
"1",2020-04-16,"GO",1
"1",2020-04-16,"MA",18
"1",2020-04-16,"MG",3
"1",2020-04-16,"PA",18
"1",2020-04-16,"PB",2
"1",2020-04-16,"PE",21
"1",2020-04-16,"PI",1
"1",2020-04-16,"PR",1
"1",2020-04-16,"RJ",94
"1",2020-04-16,"RN",1
"1",2020-04-16,"RS",2
"1",2020-04-16,"SC",1
"1",2020-04-16,"SP",95
"1",2020-04-17,"AL",2
"1",2020-04-17,"AM",35
"1",2020-04-17,"BA",3
"1",2020-04-17,"CE",23
"1",2020-04-17,"DF",1
"1",2020-04-17,"ES",4
"1",2020-04-17,"MA",18
"1",2020-04-17,"MG",1
"1",2020-04-17,"PA",16
"1",2020-04-17,"PB",1
"1",2020-04-17,"PE",31
"1",2020-04-17,"PI",1
"1",2020-04-17,"PR",3
"1",2020-04-17,"RJ",101
"1",2020-04-17,"RO",1
"1",2020-04-17,"SC",2
"1",2020-04-17,"SP",105
"1",2020-04-18,"AC",1
"1",2020-04-18,"AL",5
"1",2020-04-18,"AM",49
"1",2020-04-18,"BA",6
"1",2020-04-18,"CE",16
"1",2020-04-18,"DF",1
"1",2020-04-18,"ES",5
"1",2020-04-18,"GO",1
"1",2020-04-18,"MA",18
"1",2020-04-18,"MG",3
"1",2020-04-18,"PA",26
"1",2020-04-18,"PB",1
"1",2020-04-18,"PE",32
"1",2020-04-18,"PR",5
"1",2020-04-18,"RJ",105
"1",2020-04-18,"RN",1
"1",2020-04-18,"RS",1
"1",2020-04-18,"SC",2
"1",2020-04-18,"SE",1
"1",2020-04-18,"SP",93
"1",2020-04-19,"",1
"1",2020-04-19,"AC",1
"1",2020-04-19,"AL",4
"1",2020-04-19,"AM",38
"1",2020-04-19,"BA",3
"1",2020-04-19,"CE",22
"1",2020-04-19,"ES",3
"1",2020-04-19,"GO",1
"1",2020-04-19,"MA",24
"1",2020-04-19,"MG",3
"1",2020-04-19,"PA",37
"1",2020-04-19,"PB",2
"1",2020-04-19,"PE",41
"1",2020-04-19,"PI",2
"1",2020-04-19,"PR",4
"1",2020-04-19,"RJ",132
"1",2020-04-19,"RN",1
"1",2020-04-19,"RS",2
"1",2020-04-19,"SP",101
"1",2020-04-20,"",1
"1",2020-04-20,"AL",5
"1",2020-04-20,"AM",43
"1",2020-04-20,"BA",6
"1",2020-04-20,"CE",32
"1",2020-04-20,"ES",3
"1",2020-04-20,"GO",1
"1",2020-04-20,"MA",18
"1",2020-04-20,"MG",6
"1",2020-04-20,"MT",1
"1",2020-04-20,"PA",27
"1",2020-04-20,"PB",2
"1",2020-04-20,"PE",33
"1",2020-04-20,"PR",4
"1",2020-04-20,"RJ",143
"1",2020-04-20,"RN",2
"1",2020-04-20,"SE",1
"1",2020-04-20,"SP",130
"1",2020-04-20,"TO",1
"1",2020-04-21,"AL",1
"1",2020-04-21,"AM",30
