"data","dt_sin_pri","sg_uf","n"
"1",2019-12-29,"BA",2
"1",2019-12-29,"DF",4
"1",2019-12-29,"ES",1
"1",2019-12-29,"GO",2
"1",2019-12-29,"MG",4
"1",2019-12-29,"MS",1
"1",2019-12-29,"PA",2
"1",2019-12-29,"PE",3
"1",2019-12-29,"PI",1
"1",2019-12-29,"PR",3
"1",2019-12-29,"RJ",2
"1",2019-12-29,"RS",4
"1",2019-12-29,"SC",3
"1",2019-12-29,"SE",1
"1",2019-12-29,"SP",9
"1",2019-12-30,"AM",1
"1",2019-12-30,"CE",2
"1",2019-12-30,"DF",3
"1",2019-12-30,"ES",1
"1",2019-12-30,"GO",2
"1",2019-12-30,"MA",1
"1",2019-12-30,"MG",2
"1",2019-12-30,"PA",1
"1",2019-12-30,"PE",1
"1",2019-12-30,"PI",3
"1",2019-12-30,"PR",3
"1",2019-12-30,"RJ",2
"1",2019-12-30,"RS",5
"1",2019-12-30,"SP",18
"1",2019-12-30,"TO",2
"1",2019-12-31,"AM",2
"1",2019-12-31,"BA",1
"1",2019-12-31,"CE",3
"1",2019-12-31,"ES",1
"1",2019-12-31,"GO",1
"1",2019-12-31,"MA",1
"1",2019-12-31,"MG",7
"1",2019-12-31,"PE",3
"1",2019-12-31,"PR",9
"1",2019-12-31,"RJ",4
"1",2019-12-31,"RS",3
"1",2019-12-31,"SP",13
"1",2019-12-31,"TO",1
"1",2020-01-01,"AM",3
"1",2020-01-01,"BA",3
"1",2020-01-01,"CE",2
"1",2020-01-01,"DF",3
"1",2020-01-01,"GO",4
"1",2020-01-01,"MG",17
"1",2020-01-01,"MS",1
"1",2020-01-01,"PA",3
"1",2020-01-01,"PE",4
"1",2020-01-01,"PI",1
"1",2020-01-01,"PR",15
"1",2020-01-01,"RJ",4
"1",2020-01-01,"RS",2
"1",2020-01-01,"SC",2
"1",2020-01-01,"SP",19
"1",2020-01-02,"AC",1
"1",2020-01-02,"BA",5
"1",2020-01-02,"CE",4
"1",2020-01-02,"DF",2
"1",2020-01-02,"GO",2
"1",2020-01-02,"MA",1
"1",2020-01-02,"MG",4
"1",2020-01-02,"MS",1
"1",2020-01-02,"PA",2
"1",2020-01-02,"PE",2
"1",2020-01-02,"PR",6
"1",2020-01-02,"RJ",2
"1",2020-01-02,"RS",4
"1",2020-01-02,"SC",1
"1",2020-01-02,"SE",1
"1",2020-01-02,"SP",17
"1",2020-01-02,"TO",1
"1",2020-01-03,"AM",2
"1",2020-01-03,"CE",2
"1",2020-01-03,"DF",1
"1",2020-01-03,"ES",1
"1",2020-01-03,"GO",3
"1",2020-01-03,"MA",1
"1",2020-01-03,"MG",9
"1",2020-01-03,"MS",1
"1",2020-01-03,"MT",1
"1",2020-01-03,"PA",1
"1",2020-01-03,"PE",1
"1",2020-01-03,"PR",8
"1",2020-01-03,"RJ",2
"1",2020-01-03,"RS",3
"1",2020-01-03,"SC",3
"1",2020-01-03,"SP",16
"1",2020-01-04,"AC",1
"1",2020-01-04,"AM",3
"1",2020-01-04,"BA",2
"1",2020-01-04,"DF",1
"1",2020-01-04,"ES",1
"1",2020-01-04,"GO",1
"1",2020-01-04,"MG",4
"1",2020-01-04,"MS",1
"1",2020-01-04,"PE",4
"1",2020-01-04,"PR",5
"1",2020-01-04,"RJ",3
"1",2020-01-04,"RS",5
"1",2020-01-04,"SP",13
"1",2020-01-05,"AM",8
"1",2020-01-05,"BA",1
"1",2020-01-05,"CE",2
"1",2020-01-05,"DF",4
"1",2020-01-05,"GO",2
"1",2020-01-05,"MA",2
"1",2020-01-05,"MG",4
"1",2020-01-05,"MS",1
"1",2020-01-05,"PA",5
"1",2020-01-05,"PE",4
"1",2020-01-05,"PR",9
"1",2020-01-05,"RJ",3
"1",2020-01-05,"RS",2
"1",2020-01-05,"SC",2
