"data","dt_sin_pri","n"
"2020-05-04",2019-12-29,40
"2020-05-04",2019-12-30,45
"2020-05-04",2019-12-31,49
"2020-05-04",2020-01-01,79
"2020-05-04",2020-01-02,55
"2020-05-04",2020-01-03,55
"2020-05-04",2020-01-04,45
"2020-05-04",2020-01-05,63
"2020-05-04",2020-01-06,66
"2020-05-04",2020-01-07,55
"2020-05-04",2020-01-08,54
"2020-05-04",2020-01-09,45
"2020-05-04",2020-01-10,64
"2020-05-04",2020-01-11,52
"2020-05-04",2020-01-12,53
"2020-05-04",2020-01-13,50
"2020-05-04",2020-01-14,65
"2020-05-04",2020-01-15,67
"2020-05-04",2020-01-16,64
"2020-05-04",2020-01-17,64
"2020-05-04",2020-01-18,46
"2020-05-04",2020-01-19,52
"2020-05-04",2020-01-20,57
"2020-05-04",2020-01-21,53
"2020-05-04",2020-01-22,51
"2020-05-04",2020-01-23,57
"2020-05-04",2020-01-24,53
"2020-05-04",2020-01-25,60
"2020-05-04",2020-01-26,54
"2020-05-04",2020-01-27,55
"2020-05-04",2020-01-28,55
"2020-05-04",2020-01-29,55
"2020-05-04",2020-01-30,60
"2020-05-04",2020-01-31,47
"2020-05-04",2020-02-01,78
"2020-05-04",2020-02-02,55
"2020-05-04",2020-02-03,65
"2020-05-04",2020-02-04,69
"2020-05-04",2020-02-05,68
"2020-05-04",2020-02-06,58
"2020-05-04",2020-02-07,75
"2020-05-04",2020-02-08,65
"2020-05-04",2020-02-09,74
"2020-05-04",2020-02-10,96
"2020-05-04",2020-02-11,66
"2020-05-04",2020-02-12,87
"2020-05-04",2020-02-13,74
"2020-05-04",2020-02-14,103
"2020-05-04",2020-02-15,95
"2020-05-04",2020-02-16,99
"2020-05-04",2020-02-17,130
"2020-05-04",2020-02-18,93
"2020-05-04",2020-02-19,97
"2020-05-04",2020-02-20,143
"2020-05-04",2020-02-21,117
"2020-05-04",2020-02-22,126
"2020-05-04",2020-02-23,124
"2020-05-04",2020-02-24,150
"2020-05-04",2020-02-25,165
"2020-05-04",2020-02-26,143
"2020-05-04",2020-02-27,148
"2020-05-04",2020-02-28,159
"2020-05-04",2020-02-29,156
"2020-05-04",2020-03-01,274
"2020-05-04",2020-03-02,225
"2020-05-04",2020-03-03,216
"2020-05-04",2020-03-04,189
"2020-05-04",2020-03-05,235
"2020-05-04",2020-03-06,256
"2020-05-04",2020-03-07,279
"2020-05-04",2020-03-08,333
"2020-05-04",2020-03-09,455
"2020-05-04",2020-03-10,638
"2020-05-04",2020-03-11,572
"2020-05-04",2020-03-12,760
"2020-05-04",2020-03-13,904
"2020-05-04",2020-03-14,1009
"2020-05-04",2020-03-15,1294
"2020-05-04",2020-03-16,1562
"2020-05-04",2020-03-17,1470
"2020-05-04",2020-03-18,1651
"2020-05-04",2020-03-19,1714
"2020-05-04",2020-03-20,2399
"2020-05-04",2020-03-21,1813
"2020-05-04",2020-03-22,1831
"2020-05-04",2020-03-23,2319
"2020-05-04",2020-03-24,1956
"2020-05-04",2020-03-25,1958
"2020-05-04",2020-03-26,1909
"2020-05-04",2020-03-27,1857
"2020-05-04",2020-03-28,1785
"2020-05-04",2020-03-29,1697
"2020-05-04",2020-03-30,1941
"2020-05-04",2020-03-31,1732
"2020-05-04",2020-04-01,2519
"2020-05-04",2020-04-02,1861
"2020-05-04",2020-04-03,1933
"2020-05-04",2020-04-04,1924
"2020-05-04",2020-04-05,1939
"2020-05-04",2020-04-06,2049
"2020-05-04",2020-04-07,1921
"2020-05-04",2020-04-08,1969
"2020-05-04",2020-04-09,2046
"2020-05-04",2020-04-10,2625
"2020-05-04",2020-04-11,1931
"2020-05-04",2020-04-12,2189
"2020-05-04",2020-04-13,2374
"2020-05-04",2020-04-14,2213
"2020-05-04",2020-04-15,2416
"2020-05-04",2020-04-16,2135
"2020-05-04",2020-04-17,2253
"2020-05-04",2020-04-18,2369
"2020-05-04",2020-04-19,2097
"2020-05-04",2020-04-20,2730
"2020-05-04",2020-04-21,1851
"2020-05-04",2020-04-22,1888
"2020-05-04",2020-04-23,1823
"2020-05-04",2020-04-24,1710
"2020-05-04",2020-04-25,1563
"2020-05-04",2020-04-26,1303
"2020-05-04",2020-04-27,1211
"2020-05-04",2020-04-28,925
"2020-05-04",2020-04-29,594
"2020-05-04",2020-04-30,491
"2020-05-04",2020-05-01,327
"2020-05-04",2020-05-02,183
"2020-05-04",2020-05-03,90
"2020-05-04",2020-05-04,9
"2020-05-18",2019-12-29,41
"2020-05-18",2019-12-30,45
"2020-05-18",2019-12-31,49
"2020-05-18",2020-01-01,81
"2020-05-18",2020-01-02,56
"2020-05-18",2020-01-03,56
"2020-05-18",2020-01-04,45
"2020-05-18",2020-01-05,62
"2020-05-18",2020-01-06,66
"2020-05-18",2020-01-07,55
"2020-05-18",2020-01-08,54
"2020-05-18",2020-01-09,45
"2020-05-18",2020-01-10,67
"2020-05-18",2020-01-11,51
"2020-05-18",2020-01-12,53
"2020-05-18",2020-01-13,50
"2020-05-18",2020-01-14,64
"2020-05-18",2020-01-15,67
"2020-05-18",2020-01-16,64
"2020-05-18",2020-01-17,64
"2020-05-18",2020-01-18,47
"2020-05-18",2020-01-19,52
"2020-05-18",2020-01-20,57
"2020-05-18",2020-01-21,53
"2020-05-18",2020-01-22,52
"2020-05-18",2020-01-23,58
"2020-05-18",2020-01-24,53
"2020-05-18",2020-01-25,60
"2020-05-18",2020-01-26,57
"2020-05-18",2020-01-27,54
"2020-05-18",2020-01-28,54
"2020-05-18",2020-01-29,54
