"data","dt_evoluca","sg_uf","n"
"2020-11-10",2019-12-31,"SC",1
"2020-11-10",2020-01-02,"PE",1
"2020-11-10",2020-01-02,"SP",1
"2020-11-10",2020-01-03,"AM",1
"2020-11-10",2020-01-03,"PR",1
"2020-11-10",2020-01-03,"SP",2
"2020-11-10",2020-01-05,"AM",1
"2020-11-10",2020-01-05,"CE",1
"2020-11-10",2020-01-06,"MG",1
"2020-11-10",2020-01-06,"RJ",1
"2020-11-10",2020-01-07,"MT",1
"2020-11-10",2020-01-07,"SP",1
"2020-11-10",2020-01-08,"RN",1
"2020-11-10",2020-01-08,"SP",1
"2020-11-10",2020-01-09,"PA",1
"2020-11-10",2020-01-09,"PE",1
"2020-11-10",2020-01-09,"PR",2
"2020-11-10",2020-01-09,"SP",2
"2020-11-10",2020-01-10,"AM",3
"2020-11-10",2020-01-10,"MG",1
"2020-11-10",2020-01-10,"MS",1
"2020-11-10",2020-01-10,"PA",1
"2020-11-10",2020-01-11,"CE",1
"2020-11-10",2020-01-11,"MG",1
"2020-11-10",2020-01-11,"SP",1
"2020-11-10",2020-01-12,"GO",1
"2020-11-10",2020-01-12,"PR",1
"2020-11-10",2020-01-12,"RS",1
"2020-11-10",2020-01-13,"CE",1
"2020-11-10",2020-01-13,"PR",1
"2020-11-10",2020-01-13,"RS",1
"2020-11-10",2020-01-13,"SP",1
"2020-11-10",2020-01-14,"BA",1
"2020-11-10",2020-01-14,"ES",1
"2020-11-10",2020-01-14,"GO",2
"2020-11-10",2020-01-14,"MG",1
"2020-11-10",2020-01-14,"PA",1
"2020-11-10",2020-01-14,"PR",2
"2020-11-10",2020-01-14,"SP",2
"2020-11-10",2020-01-15,"AM",1
"2020-11-10",2020-01-15,"DF",2
"2020-11-10",2020-01-15,"GO",1
"2020-11-10",2020-01-15,"PR",1
"2020-11-10",2020-01-15,"RS",2
"2020-11-10",2020-01-15,"SP",1
"2020-11-10",2020-01-16,"AM",1
"2020-11-10",2020-01-16,"BA",1
"2020-11-10",2020-01-16,"DF",1
"2020-11-10",2020-01-16,"PR",1
"2020-11-10",2020-01-16,"SC",1
"2020-11-10",2020-01-16,"SP",3
"2020-11-10",2020-01-17,"MG",2
"2020-11-10",2020-01-17,"PE",1
"2020-11-10",2020-01-17,"RJ",1
"2020-11-10",2020-01-17,"RO",1
"2020-11-10",2020-01-17,"RS",1
"2020-11-10",2020-01-17,"SP",1
"2020-11-10",2020-01-18,"CE",2
"2020-11-10",2020-01-18,"ES",1
"2020-11-10",2020-01-18,"MG",1
"2020-11-10",2020-01-18,"PR",1
"2020-11-10",2020-01-19,"BA",1
"2020-11-10",2020-01-19,"GO",2
"2020-11-10",2020-01-19,"MA",1
"2020-11-10",2020-01-19,"PR",1
"2020-11-10",2020-01-19,"RJ",1
"2020-11-10",2020-01-19,"RO",2
"2020-11-10",2020-01-19,"RS",1
"2020-11-10",2020-01-19,"SC",1
"2020-11-10",2020-01-19,"SP",2
"2020-11-10",2020-01-20,"SP",1
"2020-11-10",2020-01-21,"BA",1
