2020-01-01,1,2020_07_05
2020-01-21,1,2020_07_05
2020-02-08,1,2020_07_05
2020-02-15,1,2020_07_05
2020-02-24,1,2020_07_05
2020-02-26,2,2020_07_05
2020-02-29,2,2020_07_05
2020-03-01,1,2020_07_05
2020-03-04,1,2020_07_05
2020-03-05,2,2020_07_05
2020-03-06,3,2020_07_05
2020-03-07,5,2020_07_05
2020-03-08,8,2020_07_05
2020-03-09,7,2020_07_05
2020-03-10,10,2020_07_05
2020-03-11,10,2020_07_05
2020-03-12,11,2020_07_05
2020-03-13,29,2020_07_05
2020-03-14,21,2020_07_05
2020-03-15,43,2020_07_05
2020-03-16,33,2020_07_05
2020-03-17,43,2020_07_05
2020-03-18,38,2020_07_05
2020-03-19,29,2020_07_05
2020-03-20,33,2020_07_05
2020-03-21,12,2020_07_05
2020-03-22,16,2020_07_05
2020-03-23,23,2020_07_05
2020-03-24,18,2020_07_05
2020-03-25,14,2020_07_05
2020-03-26,19,2020_07_05
2020-03-27,24,2020_07_05
2020-03-28,18,2020_07_05
2020-03-29,16,2020_07_05
2020-03-30,14,2020_07_05
2020-03-31,7,2020_07_05
2020-04-01,28,2020_07_05
2020-04-02,14,2020_07_05
2020-04-03,6,2020_07_05
2020-04-04,11,2020_07_05
2020-04-05,11,2020_07_05
2020-04-06,9,2020_07_05
2020-04-07,5,2020_07_05
2020-04-08,12,2020_07_05
2020-04-09,3,2020_07_05
2020-04-10,16,2020_07_05
2020-04-11,7,2020_07_05
2020-04-12,4,2020_07_05
2020-04-13,7,2020_07_05
2020-04-14,3,2020_07_05
2020-04-15,8,2020_07_05
2020-04-16,1,2020_07_05
2020-04-17,2,2020_07_05
2020-04-18,9,2020_07_05
2020-04-19,3,2020_07_05
2020-04-20,20,2020_07_05
2020-04-21,8,2020_07_05
2020-04-22,6,2020_07_05
2020-04-23,4,2020_07_05
2020-04-24,8,2020_07_05
2020-04-25,7,2020_07_05
2020-04-26,6,2020_07_05
2020-04-27,6,2020_07_05
2020-04-28,9,2020_07_05
2020-04-29,4,2020_07_05
2020-04-30,3,2020_07_05
2020-05-01,8,2020_07_05
2020-05-02,4,2020_07_05
2020-05-03,3,2020_07_05
2020-05-04,8,2020_07_05
2020-05-05,15,2020_07_05
2020-05-06,16,2020_07_05
2020-05-07,4,2020_07_05
2020-05-08,7,2020_07_05
2020-05-09,2,2020_07_05
2020-05-10,6,2020_07_05
2020-05-11,7,2020_07_05
2020-05-12,10,2020_07_05
2020-05-13,9,2020_07_05
2020-05-14,11,2020_07_05
2020-05-15,18,2020_07_05
2020-05-16,5,2020_07_05
2020-05-17,2,2020_07_05
2020-05-18,14,2020_07_05
2020-05-19,14,2020_07_05
2020-05-20,22,2020_07_05
2020-05-21,10,2020_07_05
2020-05-22,13,2020_07_05
2020-05-23,7,2020_07_05
2020-05-24,13,2020_07_05
2020-05-25,26,2020_07_05
2020-05-26,17,2020_07_05
2020-05-27,25,2020_07_05
2020-05-28,22,2020_07_05
2020-05-29,21,2020_07_05
2020-05-30,20,2020_07_05
2020-05-31,22,2020_07_05
2020-06-01,33,2020_07_05
2020-06-02,30,2020_07_05
2020-06-03,31,2020_07_05
2020-06-04,25,2020_07_05
2020-06-05,41,2020_07_05
2020-06-06,21,2020_07_05
2020-06-07,13,2020_07_05
2020-06-08,34,2020_07_05
2020-06-09,24,2020_07_05
2020-06-10,25,2020_07_05
2020-06-11,17,2020_07_05
2020-06-12,19,2020_07_05
2020-06-13,18,2020_07_05
2020-06-14,15,2020_07_05
2020-06-15,20,2020_07_05
2020-06-16,32,2020_07_05
2020-06-17,14,2020_07_05
2020-06-18,17,2020_07_05
2020-06-19,23,2020_07_05
2020-06-20,23,2020_07_05
2020-06-21,25,2020_07_05
2020-06-22,17,2020_07_05
2020-06-23,23,2020_07_05
2020-06-24,20,2020_07_05
2020-06-25,12,2020_07_05
2020-06-26,9,2020_07_05
2020-06-27,4,2020_07_05
2020-06-28,2,2020_07_05
2020-06-29,3,2020_07_05
2020-06-30,3,2020_07_05
2020-07-01,3,2020_07_05
2020-07-02,1,2020_07_05
2020-07-03,4,2020_07_05
2020-07-04,3,2020_07_05
2020-01-01,1,2020_07_06
2020-01-21,1,2020_07_06
2020-02-08,1,2020_07_06
2020-02-15,1,2020_07_06
2020-02-24,1,2020_07_06
2020-02-26,2,2020_07_06
2020-02-29,2,2020_07_06
2020-03-01,1,2020_07_06
2020-03-04,1,2020_07_06
2020-03-05,2,2020_07_06
2020-03-06,3,2020_07_06
2020-03-07,5,2020_07_06
2020-03-08,8,2020_07_06
2020-03-09,7,2020_07_06
2020-03-10,10,2020_07_06
2020-03-11,10,2020_07_06
2020-03-12,11,2020_07_06
2020-03-13,29,2020_07_06
2020-03-14,21,2020_07_06
2020-03-15,43,2020_07_06
2020-03-16,33,2020_07_06
2020-03-17,43,2020_07_06
2020-03-18,38,2020_07_06
2020-03-19,29,2020_07_06
2020-03-20,33,2020_07_06
2020-03-21,12,2020_07_06
2020-03-22,16,2020_07_06
2020-03-23,23,2020_07_06
2020-03-24,18,2020_07_06
