"week","age_clas","fit_link","se_link","fit","upper","lower"
"12","age_20_39",-4.1784852785987,0.67525388341084,0.0150904862284953,0.055830915293574,0.00395428621565222
"12","age_40_59",-3.401484660054,0.627036934428638,0.0322490976131266,0.104573422882733,0.00941903904659805
"12","age_60",-1.83006446441393,0.615924700294273,0.13823059380568,0.354752165130057,0.0447058958242164
"13","age_20_39",-3.50282679748817,0.566110067469025,0.0292319067426364,0.0854417220292053,0.0096123573274014
"13","age_40_59",-2.72582617894348,0.506975034288926,0.0614665035045949,0.152920533946186,0.0232080099385871
"13","age_60",-1.1544059833034,0.498431766233702,0.239685232630152,0.460695646954462,0.104212651245753
"14","age_20_39",-1.95085257403493,0.464403655006853,0.124460423422516,0.264629199402569,0.0531682557067309
"14","age_40_59",-1.17385195549023,0.40358061410277,0.236159431100047,0.40934089988788,0.121210873357065
"14","age_60",0.39756824014984,0.38997329183358,0.598103263719185,0.764500668289676,0.405553397840037
"15","age_0_19",-3.90073275266874,1.27824262911801,0.0198260611486286,0.206812427404581,0.00156669662608617
"15","age_20_39",-4.63978445782616,1.07959666454787,0.00956736089644561,0.0772300644744193,0.00111367259602596
"15","age_40_59",-3.86278383928146,1.04939820267182,0.0205771176225338,0.146291644890892,0.00256922040323278
"15","age_60",-2.29136364364139,1.04260005281821,0.0918407505112797,0.448640898154429,0.0124124671694634
"16","age_0_19",-2.59134543494509,0.982387541719266,0.0696974946840161,0.34828860634616,0.0103935643896385
"16","age_20_39",-3.33039714010251,0.703393300285921,0.0345429833083909,0.127459484955871,0.00868716302730867
"16","age_40_59",-2.55339652155782,0.661401348797029,0.0721986351392038,0.226077509548133,0.0203084798933372
"16","age_60",-0.98197632591774,0.653551812368628,0.27249981345755,0.580573303412225,0.0920314018955752
"17","age_0_19",-2.34980238623021,0.895236400288025,0.087081481116533,0.363702594847826,0.0156690431499307
"17","age_20_39",-3.08885409138762,0.597968412470733,0.0435693612281629,0.130912202263994,0.0135892888019666
"17","age_40_59",-2.31185347284293,0.543817199192254,0.090146007879175,0.227194824218186,0.0323114738205862
"17","age_60",-0.740433277202854,0.530355229515341,0.322909405233504,0.579391801998574,0.141711895666091
"18","age_0_19",-2.79169237731807,0.91610244222603,0.0577747586309553,0.27698081907523,0.00971908418570673
"18","age_20_39",-3.53074408247549,0.615212096280057,0.0284500135784247,0.0910964713355406,0.00848303076503121
"18","age_40_59",-2.7537434639308,0.56317009602777,0.0598755812240134,0.164186397540253,0.0202313387976143
"18","age_60",-1.18232326829072,0.554926371941063,0.234634723575611,0.481890294183884,0.0917730165422301
"19","age_0_19",-2.09727705705022,0.881724043015266,0.109361758669426,0.417309268228997,0.0206186489440186
"19","age_20_39",-2.83632876220764,0.550479398681119,0.0553923184126091,0.149901990425195,0.0191280221810289
"19","age_40_59",-2.05932814366294,0.489633876712179,0.113113212250918,0.253494588540459,0.045712382574727
"19","age_60",-0.487907948022866,0.485066533304155,0.380386525325283,0.618273166276321,0.188767129789248
"20","age_0_19",-1.8640868285744,0.812770443221485,0.134227409567326,0.440644711489146,0.0296087988421742
"20","age_20_39",-2.60313853373181,0.417540861103352,0.0689367025936326,0.145784149873082,0.0311221049472148
"20","age_40_59",-1.82613791518712,0.336492927279946,0.138699000496186,0.239913817344634,0.075919629852173
"20","age_60",-0.254717719547044,0.324708835816525,0.43666265020726,0.597413603235985,0.288201415130845
"21","age_20_39",-2.83496228644764,0.412532342903508,0.0554638613576907,0.118167647820528,0.0250863024851395
"21","age_40_59",-2.05796166790295,0.335791675213173,0.113250367693315,0.199986567321262,0.0612523192591624
"21","age_60",-0.486541472262872,0.316861386573553,0.38070864617296,0.536729046070682,0.245962272030505
"22","age_0_19",-2.20201008823439,0.800609187836347,0.0995701277029691,0.354162583311861,0.0218122803519985
"22","age_20_39",-2.9410617933918,0.399701110054547,0.0501606603325012,0.105113180423089,0.023192423809357
"22","age_40_59",-2.16406117484711,0.314178025724397,0.103024550784184,0.17716049106047,0.057735312792053
"22","age_60",-0.592640979207034,0.299530880926113,0.356029120739196,0.501605190146611,0.232954540214533
"23","age_20_39",-2.83131841004516,0.336011258022883,0.0556550648817895,0.103465746510121,0.0292173206390795
"23","age_40_59",-2.05431779150047,0.228530214514849,0.113616818990272,0.168365285419299,0.0750643639782842
"23","age_60",-0.48289759586039,0.198740171754958,0.381568134009778,0.478658661059153,0.293099466705669
"24","age_0_19",-1.90828847047958,0.770891859131326,0.129173255705341,0.409385865870281,0.0307667066075339
"24","age_20_39",-2.647340175637,0.319958883956933,0.0661531356992252,0.118425816824988,0.0360109129669694
"24","age_40_59",-1.8703395570923,0.202363400103757,0.133502437837535,0.187610369369334,0.0932091143334527
"24","age_60",-0.298919361452228,0.183027179251596,0.425821675490637,0.516777448255349,0.339623220965648
"25","age_0_19",-2.13296144012213,0.769205263375164,0.105934179872298,0.3555913460864,0.0248103280604511
"25","age_20_39",-2.87201314527954,0.31201028276235,0.053554521094447,0.0955227615544043,0.0294252946014072
"25","age_40_59",-2.09501252673485,0.185132059402786,0.109582523114269,0.151260549265365,0.0783285507093748
"25","age_60",-0.523592331094775,0.157051506063651,0.372012610935856,0.447818366770978,0.302020393252119
"26","age_0_19",-2.02842581957561,0.758605965931629,0.116250549963833,0.374909005054972,0.0280412220229301
"26","age_20_39",-2.76747752473302,0.310183432469165,0.059107141194255,0.10460152986909,0.0326775249144881
"26","age_40_59",-1.99047690618833,0.186954600853359,0.12020641724294,0.165678769789166,0.0859290602590486
"26","age_60",-0.419056710548255,0.158553778818495,0.39674249303524,0.474534764305041,0.323843481504234
"27","age_20_39",-2.54405975370443,0.300665948477768,0.0728265713908064,0.12534847878744,0.041273244501405
"27","age_40_59",-1.76705913515974,0.171048379970038,0.145908435551104,0.193884818264568,0.108210096517098
"27","age_60",-0.195638939519662,0.140471280886984,0.451245670363014,0.521312983101213,0.383059678190599
