"estimate","lower","upper","onset_date","n.reported"
10,10,10,2020-05-16,10
4,4,4,2020-05-17,4
8,8,8,2020-05-18,8
3,3,3,2020-05-19,3
2,2,2,2020-05-20,2
7,7,7,2020-05-21,7
9,9,9,2020-05-22,9
7,7,7,2020-05-23,7
4,4,5,2020-05-24,4
7,7,8,2020-05-25,7
5,5,6,2020-05-26,5
4,4,5,2020-05-27,4
9,9,10,2020-05-28,9
8,8,9,2020-05-29,8
7,7,8,2020-05-30,7
8,8,9,2020-05-31,8
5,5,7,2020-06-01,5
7,7,9,2020-06-02,7
7,7,9,2020-06-03,7
4,4,6,2020-06-04,4
9,9,11,2020-06-05,9
3,3,5,2020-06-06,3
8,8,10,2020-06-07,8
9,9,12,2020-06-08,9
10,9,12,2020-06-09,9
12,11,14,2020-06-10,11
12,11,14,2020-06-11,11
7,6,10,2020-06-12,6
12,11,15,2020-06-13,11
10,9,13,2020-06-14,9
9,8,12,2020-06-15,8
7,6,11,2020-06-16,6
11,9,14,2020-06-17,9
13,11,17,2020-06-18,11
12,9,16,2020-06-19,9
17,14,22,2020-06-20,14
11,8,16,2020-06-21,7
8,4,14,2020-06-22,3
12,7,18,2020-06-23,5
11,5,19,2020-06-24,2
