"estimate","lower","upper","onset_date","n.reported"
8,8,8,2020-05-16,8
12,12,14,2020-05-17,12
10,10,13,2020-05-18,10
9,8,12,2020-05-19,8
17,16,20,2020-05-20,16
16,15,19,2020-05-21,15
18,17,21,2020-05-22,17
11,10,14,2020-05-23,10
13,12,16,2020-05-24,12
15,14,19,2020-05-25,14
15,14,19,2020-05-26,14
16,15,20,2020-05-27,15
13,12,17,2020-05-28,12
7,6,11,2020-05-29,6
14,12,18,2020-05-30,12
17,15,22,2020-05-31,15
35,32,40,2020-06-01,32
22,19,27,2020-06-02,19
22,19,27,2020-06-03,19
15,12,20,2020-06-04,12
18,15,24,2020-06-05,15
24,20,29,2020-06-06,20
15,11,20,2020-06-07,11
19,16,25,2020-06-08,15
22,18,28,2020-06-09,17
17,13,23,2020-06-10,12
16,11,22,2020-06-11,10
20,15,27,2020-06-12,13
16,11,24,2020-06-13,8
15,9,23,2020-06-14,6
20,13,28,2020-06-15,9
18,11,28,2020-06-16,6
17,9,28,2020-06-17,3
20,12,33,2020-06-18,5
18,9,31,2020-06-19,2
16,6,30,2020-06-20,NA
16,6,32,2020-06-21,NA
16,6,34,2020-06-22,NA
17,5,35,2020-06-23,NA
17,5,36,2020-06-24,NA
