"estimate","lower","upper","onset_date","n.reported"
103,103,103,2020-05-27,103
86,86,86,2020-05-28,86
92,92,92,2020-05-29,92
73,73,73,2020-05-30,73
70,70,70,2020-05-31,70
86,86,86,2020-06-01,86
84,84,84,2020-06-02,84
55,55,55,2020-06-03,55
77,77,77,2020-06-04,77
68,68,68,2020-06-05,68
67,67,68,2020-06-06,67
58,58,60,2020-06-07,58
67,66,70,2020-06-08,66
71,69,74,2020-06-09,69
59,57,63,2020-06-10,57
54,51,58,2020-06-11,51
57,53,61,2020-06-12,53
58,55,64,2020-06-13,54
53,49,59,2020-06-14,48
67,63,73,2020-06-15,61
50,45,56,2020-06-16,43
64,60,71,2020-06-17,57
65,60,72,2020-06-18,57
60,55,67,2020-06-19,52
37,32,44,2020-06-20,29
53,47,60,2020-06-21,44
66,60,74,2020-06-22,56
51,45,59,2020-06-23,40
58,52,66,2020-06-24,46
64,57,72.0249999999996,2020-06-25,51
47,41,56,2020-06-26,34
49,42,58,2020-06-27,35
52,45,61,2020-06-28,37
71,63,81,2020-06-29,54
55,47,65,2020-06-30,37
54,46,64,2020-07-01,36
48,40,59,2020-07-02,29
39,31,50,2020-07-03,19
43,33,55,2020-07-04,19
41,27,57,2020-07-05,6
