"estimate","lower","upper","onset_date","n.reported"
9,9,9,2020-06-05,9
9,9,11,2020-06-06,9
5,5,8,2020-06-07,5
7,7,10,2020-06-08,7
5,5,8,2020-06-09,5
16,16,19,2020-06-10,16
11,10,14,2020-06-11,10
10,9,13,2020-06-12,9
16,15,19,2020-06-13,15
12,11,15,2020-06-14,11
13,12,17,2020-06-15,12
6,5,9,2020-06-16,5
10,9,13,2020-06-17,9
12,11,16,2020-06-18,11
6,5,10,2020-06-19,5
14,12,17,2020-06-20,12
10,9,14,2020-06-21,9
6,4,10,2020-06-22,4
12,10,16,2020-06-23,10
11,9,15,2020-06-24,9
6,4,10,2020-06-25,4
7,5,12,2020-06-26,5
8,6,13,2020-06-27,6
12,9,16,2020-06-28,9
3,0,7,2020-06-29,NA
7,4,11,2020-06-30,4
8,5,13,2020-07-01,5
8,4,13,2020-07-02,4
6,3,11,2020-07-03,2
8,5,14,2020-07-04,4
6,3,12,2020-07-05,2
7,3,12,2020-07-06,2
7,3,13,2020-07-07,2
7,3,13,2020-07-08,2
6,1,12,2020-07-09,NA
8,3,15,2020-07-10,2
8,4,15,2020-07-11,2
7,2,14,2020-07-12,NA
8,3,16,2020-07-13,1
8,2,16,2020-07-14,NA
