faixas,Estimate,Q2.5,Q97.5
0 a 9,0.014785307539128316,0.010567147423627384,0.020274443910790085
10 a 19,0.03292358392593681,0.02265882508083106,0.046415718727512566
20 a 29,0.0436320509775609,0.03547568195684086,0.05289563686354247
30 a 39,0.05364390079023654,0.047323117510533544,0.060468956752255706
40 a 49,0.08881147622902731,0.0817074439261201,0.09632057952446042
50 a 59,0.1548107891425167,0.14613698688464993,0.16357825173925583
60 a 69,0.25938360155607043,0.24916621669200287,0.2699541678835316
70 a 79,0.3301331332596485,0.31788524490769976,0.34260792760479497
80+,0.48254125581415275,0.4690460542025768,0.4958390580940998
