faixas,Estimate,Q2.5,Q97.5
0 a 9,0.021095534029344335,0.005741983674645044,0.05572115467819513
10 a 19,0.06190263016899848,0.027248600340026487,0.12106749793500174
20 a 29,0.023686804462889306,0.013416820330335477,0.03860596180214365
30 a 39,0.05815412254518379,0.04808625244248485,0.06936710449817894
40 a 49,0.08657235865184774,0.07605019133608304,0.09803485312879269
50 a 59,0.15076408457415688,0.1380717956471082,0.16434653675430858
60 a 69,0.28983640382832937,0.27225441545148615,0.30832797829928893
70 a 79,0.39721765772702045,0.3757516993947347,0.4190431908311113
80+,0.6003604657030366,0.576226106101001,0.6229624741215617
