faixas,2.5%,20%,50%,80%,97.5%
0 a 9,0.3984901877550028,1.7926361072890316,3.946388296705565,7.086452307107927,12.634105632139429
10 a 19,0.4973717171449477,2.260318960072126,4.968335969689911,8.930622698682082,15.902625771146356
20 a 29,0.5662565665833815,2.571418883519587,5.663638124794033,10.187009675065212,18.12363989497392
30 a 39,0.5993530317617409,2.71393695286776,5.941286265439542,10.650592323833983,18.917611184531044
40 a 49,0.5998121722481387,2.74417844669202,6.0425496252175,10.855208051302238,19.311198550249102
50 a 59,0.6251759096399012,2.833577523844927,6.227544779098802,11.18604568046555,19.89172002550006
60 a 69,0.6090105767072689,2.756177152138201,6.0521646674325575,10.865310796918681,19.325129250804082
70 a 79,0.5752300947373317,2.595960792163214,5.721318716192891,10.262850023176277,18.27964499245819
80+,0.5187127540313721,2.356922587542069,5.183603255124174,9.295245852310863,16.55315804936165
