faixas,Estimate,Q2.5,Q97.5
0 a 9,0.05285357410278693,0.032095961716819825,0.06964349079235889
10 a 19,0.05488340258287413,0.033920438496166244,0.07242727066163424
20 a 29,0.06192445707295439,0.05056143956358115,0.07425442990774209
30 a 39,0.059764708027775795,0.052418605813112716,0.06729518957069436
40 a 49,0.06046913861106538,0.05450039080170908,0.0669274337880643
50 a 59,0.05988924822544441,0.05417156273529709,0.06584304889444859
60 a 69,0.06699090831240352,0.060977214578641824,0.07347784500066294
70 a 79,0.0739189766866088,0.0660793138567192,0.08227314122819103
80+,0.07145148739641762,0.06382796016656926,0.08004792588051739
