faixas,Estimate,Q2.5,Q97.5
0 a 9,0.18074647398567037,0.11211891482794746,0.26966508959092994
10 a 19,0.3431723058388167,0.23278168332131174,0.47088295536464464
20 a 29,0.2362223771891187,0.18755693385474817,0.28821113860351505
30 a 39,0.2661321940109544,0.23826847943217558,0.2958093817888317
40 a 49,0.3380812781338761,0.31385402856023065,0.3629872247272112
50 a 59,0.4624010151628181,0.44095620345980935,0.48377946132786137
60 a 69,0.6375907052145183,0.6166910562265141,0.6571486897012006
70 a 79,0.7325415698252692,0.7127620886393853,0.751692695625066
80+,0.802204610209827,0.7823349823332636,0.8208370417850307
