faixas,Estimate,Q2.5,Q97.5
0 a 9,0.09447139644261315,0.07708337424540758,0.1148580147702791
10 a 19,0.17131637718757564,0.12895598917476053,0.22183241335685752
20 a 29,0.2471376093043317,0.21284364600360559,0.28484389766380536
30 a 39,0.26639736108828826,0.24220411578719062,0.2921154627831643
40 a 49,0.3334041045818324,0.3114370699457412,0.35581571084029684
50 a 59,0.46407034895194976,0.44358698355570936,0.48477191421563215
60 a 69,0.6050577950537757,0.586898906579391,0.6234408081820938
70 a 79,0.6489815160361236,0.630110937015532,0.6675781370759073
80+,0.6984940084277707,0.6799561756137015,0.7164694983084055
