"estimate","lower","upper","onset_date","n.reported"
9,9,9,2020-05-31,9
9,9,9,2020-06-01,9
13,13,13,2020-06-02,13
14,14,15,2020-06-03,14
16,16,17,2020-06-04,16
5,5,6,2020-06-05,5
7,7,8,2020-06-06,7
11,11,14,2020-06-07,11
12,11,15,2020-06-08,11
12,11,15,2020-06-09,11
4,3,8,2020-06-10,3
10,9,14,2020-06-11,9
11,9,15,2020-06-12,9
9,7,13,2020-06-13,7
10,8,14,2020-06-14,8
10,8,14,2020-06-15,8
6,4,11,2020-06-16,4
7,4,11,2020-06-17,4
9,6,13,2020-06-18,6
10,7,14,2020-06-19,7
6,3,11,2020-06-20,3
7,4,12,2020-06-21,4
10,7,15,2020-06-22,7
9,6,14,2020-06-23,6
7,3,12,2020-06-24,3
7,3,12,2020-06-25,3
13,10,18,2020-06-26,9
7,4,12,2020-06-27,3
13,10,18,2020-06-28,9
8,5,14,2020-06-29,4
9,6,15,2020-06-30,5
9,6,15,2020-07-01,5
10,6,15,2020-07-02,5
7,3,12,2020-07-03,2
10,6,16,2020-07-04,5
6,2,12,2020-07-05,1
6,2,12,2020-07-06,1
8,3,14,2020-07-07,2
9,5,16,2020-07-08,3
7,2,14,2020-07-09,NA
