"estimate","lower","upper","onset_date","n.reported"
12,12,12,2020-05-09,12
8,8,8,2020-05-10,8
4,4,4,2020-05-11,4
5,5,5,2020-05-12,5
9,9,9,2020-05-13,9
6,6,7,2020-05-14,6
11,11,12,2020-05-15,11
12,12,14,2020-05-16,12
12,12,14,2020-05-17,12
8,8,11,2020-05-18,8
6,6,9,2020-05-19,6
7,6,9,2020-05-20,6
6,5,8,2020-05-21,5
9,8,11,2020-05-22,8
12,11,15,2020-05-23,11
5,4,8,2020-05-24,4
7,6,10,2020-05-25,6
10,9,13,2020-05-26,9
9,8,12,2020-05-27,8
7,6,10,2020-05-28,6
6,5,9,2020-05-29,5
5,3,8,2020-05-30,3
4,2,8,2020-05-31,2
15,13,19,2020-06-01,13
8,5,12,2020-06-02,5
8,5,13,2020-06-03,5
5,2,10,2020-06-04,2
7,4,12,2020-06-05,3
10,7,15,2020-06-06,6
7,3,12,2020-06-07,2
8,4,14,2020-06-08,3
7,3,13,2020-06-09,2
8,3,13,2020-06-10,2
8,3,14,2020-06-11,2
7,2,13,2020-06-12,1
7,2,14,2020-06-13,1
7,2,14,2020-06-14,1
6,1,13,2020-06-15,NA
6,1,13,2020-06-16,NA
7,2,14,2020-06-17,NA
