"Data","estimate","lower","upper","Boletim ultimo","estimate Cumsum","lower Cumsum","upper Cumsum","Boletim Cumsum"
2020-03-15,1,1,1,1,1,1,1,1
2020-03-16,3,3,4,3,4,4,5,4
2020-03-17,4,4,5,4,8,8,10,8
2020-03-18,8,8,10,8,16,16,20,16
2020-03-19,9,9,11,9,25,25,31,25
2020-03-20,17,16,19,17,42,41,50,42
2020-03-21,14,13,17,13,56,54,67,55
2020-03-22,21,19,24,19,77,73,91,74
2020-03-23,40,37,44,37,117,110,135,111
2020-03-24,38,35,43,35,155,145,178,146
2020-03-25,43,39,48,38,198,184,226,184
2020-03-26,59,55,65,53,257,239,291,237
2020-03-27,66,61,73,58,323,300,364,295
2020-03-28,83,77,91,73,406,377,455,368
2020-03-29,78,72,86,68,484,449,541,436
2020-03-30,101,94,111,88,585,543,652,524
2020-03-31,129,121,141,115,714,664,793,639
2020-04-01,129,121,141,112,843,785,934,751
2020-04-02,149,140,162,129,992,925,1096,880
2020-04-03,184,173,199,159,1176,1098,1295,1039
2020-04-04,199,188,216,174,1375,1286,1511,1213
2020-04-05,202,190,219,173,1577,1476,1730,1386
2020-04-06,197,185,214,172,1774,1661,1944,1558
2020-04-07,220,208,239,188,1994,1869,2183,1746
2020-04-08,221,209,240.025,188,2215,2078,2423.025,1934
2020-04-09,225,212,244,190,2440,2290,2667.025,2124
2020-04-10,270,255,293,230,2710,2545,2960.025,2354
2020-04-11,252,237,274,212,2962,2782,3234.025,2566
2020-04-12,312,296,337,264,3274,3078,3571.025,2830
2020-04-13,323,307,350,277,3597,3385,3921.025,3107
2020-04-14,290,274,313,247,3887,3659,4234.025,3354
2020-04-15,335,318,363,297,4222,3977,4597.025,3651
2020-04-16,336,319,363,297,4558,4296,4960.025,3948
2020-04-17,350,331,378,310,4908,4627,5338.025,4258
2020-04-18,377,358,407,328,5285,4985,5745.025,4586
2020-04-19,391,370,421,335,5676,5355,6166.025,4921
2020-04-20,451,428,486,378,6127,5783,6652.025,5299
2020-04-21,423,401,456,353,6550,6184,7108.025,5652
2020-04-22,512,487,550,424,7062,6671,7658.025,6076
2020-04-23,551,525,592,450,7613,7196,8250.025,6526
2020-04-24,562,535,605,470,8175,7731,8855.025,6996
2020-04-25,593,564,636,504,8768,8295,9491.025,7500
2020-04-26,545,518,585,458,9313,8813,10076.025,7958
2020-04-27,606,576,650.025,488,9919,9389,10726.05,8446
2020-04-28,650,618,699,530,10569,10007,11425.05,8976
2020-04-29,682,648.975,732,550,11251,10655.975,12157.05,9526
2020-04-30,633,601,680,508,11884,11256.975,12837.05,10034
2020-05-01,701,666,754,564,12585,11922.975,13591.05,10598
2020-05-02,734,697,788,568,13319,12619.975,14379.05,11166
2020-05-03,761,724,819,600,14080,13343.975,15198.05,11766
2020-05-04,818,779,881,637,14898,14122.975,16079.05,12403
2020-05-05,862,819,924,652,15760,14941.975,17003.05,13055
2020-05-06,755,716,814,585,16515,15657.975,17817.05,13640
2020-05-07,761,719,820,597,17276,16376.975,18637.05,14237
2020-05-08,833,790,898,639,18109,17166.975,19535.05,14876
2020-05-09,829,785,893,652,18938,17951.975,20428.05,15528
2020-05-10,788,745,851.025,611,19726,18696.975,21279.075,16139
2020-05-11,857,809,925.025,632,20583,19505.975,22204.1,16771
2020-05-12,873,823,941,668,21456,20328.975,23145.1,17439
2020-05-13,838,788,907,594,22294,21116.975,24052.1,18033
2020-05-14,851,799,923,607,23145,21915.975,24975.1,18640
2020-05-15,830,778,901,580,23975,22693.975,25876.1,19220
2020-05-16,826,773,898,559,24801,23466.975,26774.1,19779
2020-05-17,886,828,958,575,25687,24294.975,27732.1,20354
2020-05-18,934,874,1016,572,26621,25168.975,28748.1,20926
2020-05-19,963,899,1046,571,27584,26067.975,29794.1,21497
2020-05-20,840,778,917,473,28424,26845.975,30711.1,21970
2020-05-21,931,863,1017.025,518,29355,27708.975,31728.125,22488
2020-05-22,985,912,1076,544,30340,28620.975,32804.125,23032
2020-05-23,850,781,936,470,31190,29401.975,33740.125,23502
2020-05-24,848,774,934,452,32038,30175.975,34674.125,23954
2020-05-25,900,821,995,482,32938,30996.975,35669.125,24436
2020-05-26,774,696,865,397,33712,31692.975,36534.125,24833
2020-05-27,656,584,743,379,34368,32276.975,37277.125,25212
2020-05-28,394,336,462.025,343,34762,32612.975,37739.15,25555
2020-05-29,92,65,125,347,34854,32677.975,37864.15,25902
2020-05-30,30,15,51,298,34884,32692.975,37915.15,26200
2020-05-31,20,8,40,280,34904,32700.975,37955.15,26480
2020-06-01,18,6,39.0249999999996,250,34922,32706.975,37994.175,26730
2020-06-02,17,5,44,141,34939,32711.975,38038.175,26871
2020-06-03,18,4,52,17,34957,32715.975,38090.175,26888
