"uol_zoo","estimate","lower","upper"
0,0,0,0
0,0,0,0
1,0,0,0
3,0,0,0
2,0,0,0
5,0,0,0
7,0,0,0
7,0,0,0
9,0,0,0
12,0,0,0
11,0,0,0
20,0,0,0
15,298,298,298
22,396,396,398
22,488,477,502
23,496,478,518
42,543,520,570
40,582,553,614
58,648,613,688
60,697,655,745
73,853,800,914
54,952,888,1023
67,925,855,1001
114,840,767,918
133,870,787,962
141,672,590,758
115,870,768,984
68,915,794,1052
99,1102,948,1276
105,1677,1415,1966
204,1012,792,1270
204,735,469,1074
