"estimate","lower","upper","Data","Boletim ultimo"
1,1,1,2020-03-15,1
3,3,4,2020-03-16,3
4,4,5,2020-03-17,4
8,8,10,2020-03-18,8
9,9,11,2020-03-19,9
17,16,19,2020-03-20,17
14,13,17,2020-03-21,13
21,19,24,2020-03-22,19
40,37,44,2020-03-23,37
38,35,43,2020-03-24,35
43,39,48,2020-03-25,38
59,55,65,2020-03-26,53
66,61,73,2020-03-27,58
83,77,91,2020-03-28,73
78,72,86,2020-03-29,68
101,94,111,2020-03-30,88
129,121,141,2020-03-31,115
129,121,141,2020-04-01,112
149,140,162,2020-04-02,129
184,173,199,2020-04-03,159
199,188,216,2020-04-04,174
202,190,219,2020-04-05,173
197,185,214,2020-04-06,172
220,208,239,2020-04-07,188
221,209,240.025,2020-04-08,188
225,212,244,2020-04-09,190
270,255,293,2020-04-10,230
252,237,274,2020-04-11,212
312,296,337,2020-04-12,264
323,307,350,2020-04-13,277
290,274,313,2020-04-14,247
335,318,363,2020-04-15,297
336,319,363,2020-04-16,297
350,331,378,2020-04-17,310
377,358,407,2020-04-18,328
391,370,421,2020-04-19,335
451,428,486,2020-04-20,378
423,401,456,2020-04-21,353
512,487,550,2020-04-22,424
551,525,592,2020-04-23,450
562,535,605,2020-04-24,470
593,564,636,2020-04-25,504
545,518,585,2020-04-26,458
606,576,650.025,2020-04-27,488
650,618,699,2020-04-28,530
682,648.975,732,2020-04-29,550
633,601,680,2020-04-30,508
701,666,754,2020-05-01,564
734,697,788,2020-05-02,568
761,724,819,2020-05-03,600
818,779,881,2020-05-04,637
862,819,924,2020-05-05,652
755,716,814,2020-05-06,585
761,719,820,2020-05-07,597
833,790,898,2020-05-08,639
829,785,893,2020-05-09,652
788,745,851.025,2020-05-10,611
857,809,925.025,2020-05-11,632
873,823,941,2020-05-12,668
838,788,907,2020-05-13,594
851,799,923,2020-05-14,607
830,778,901,2020-05-15,580
826,773,898,2020-05-16,559
886,828,958,2020-05-17,575
934,874,1016,2020-05-18,572
963,899,1046,2020-05-19,571
840,778,917,2020-05-20,473
931,863,1017.025,2020-05-21,518
985,912,1076,2020-05-22,544
850,781,936,2020-05-23,470
848,774,934,2020-05-24,452
900,821,995,2020-05-25,482
774,696,865,2020-05-26,397
656,584,743,2020-05-27,379
394,336,462.025,2020-05-28,343
92,65,125,2020-05-29,347
30,15,51,2020-05-30,298
20,8,40,2020-05-31,280
18,6,39.0249999999996,2020-06-01,250
17,5,44,2020-06-02,141
18,4,52,2020-06-03,17
