"Data","estimate","lower","upper","Boletim ultimo","estimate Cumsum","lower Cumsum","upper Cumsum","Boletim Cumsum"
2020-03-15,1,1,1,1,1,1,1,1
2020-03-16,3,3,4,3,4,4,5,4
2020-03-17,3,3,4,3,7,7,9,7
2020-03-18,6,6,7,6,13,13,16,13
2020-03-19,8,7,11,7,21,20,27,20
2020-03-20,16,15,20,15,37,35,47,35
2020-03-21,15,13,20,13,52,48,67,48
2020-03-22,21,17,27,17,73,65,94,65
2020-03-23,44,39,53,37,117,104,147,102
2020-03-24,41,36,52,34,158,140,199,136
2020-03-25,41,35,53,33,199,175,252,169
2020-03-26,58,51,73,47,257,226,325,216
2020-03-27,70,62,89,55,327,288,414,271
2020-03-28,83,74,105,66,410,362,519,337
2020-03-29,84,74,107,64,494,436,626,401
2020-03-30,113,100,142,82,607,536,768,483
2020-03-31,121,108,154,93,728,644,922,576
2020-04-01,135,121,172,103,863,765,1094,679
2020-04-02,153,137,194,115,1016,902,1288,794
2020-04-03,178,160,223,131,1194,1062,1511,925
2020-04-04,201,180,252,148,1395,1242,1763,1073
2020-04-05,206,185,258,149,1601,1427,2021,1222
2020-04-06,219,197,274,154,1820,1624,2295,1376
2020-04-07,237,213,296,168,2057,1837,2591,1544
2020-04-08,245,221,307,171,2302,2058,2898,1715
2020-04-09,219,195,276,150,2521,2253,3174,1865
2020-04-10,281,253,351,193,2802,2506,3525,2058
2020-04-11,257,230,324,171,3059,2736,3849,2229
2020-04-12,319,288,399,212,3378,3024,4248,2441
2020-04-13,317,284,396,203,3695,3308,4644,2644
2020-04-14,306,274,384,194,4001,3582,5028,2838
2020-04-15,337,301.975,422.025,210,4338,3883.975,5450.025,3048
2020-04-16,362,324,453,224,4700,4207.975,5903.025,3272
2020-04-17,368,329,460,222,5068,4536.975,6363.025,3494
2020-04-18,403,362,505,239,5471,4898.975,6868.025,3733
2020-04-19,385,343,482,220,5856,5241.975,7350.025,3953
2020-04-20,476,426,593,268,6332,5667.975,7943.025,4221
2020-04-21,447,397,558,240,6779,6064.975,8501.025,4461
2020-04-22,508,452,637,266,7287,6516.975,9138.025,4727
2020-04-23,575,513,719,290,7862,7029.975,9857.025,5017
2020-04-24,551,488,688,260,8413,7517.975,10545.025,5277
2020-04-25,564,499,710,251,8977,8016.975,11255.025,5528
2020-04-26,636,562,796,268,9613,8578.975,12051.025,5796
2020-04-27,659,578.975,824,259,10272,9157.95,12875.025,6055
2020-04-28,763,673,958,283,11035,9830.95,13833.025,6338
2020-04-29,806,705,1013,274,11841,10535.95,14846.025,6612
2020-04-30,728,631,917,217,12569,11166.95,15763.025,6829
2020-05-01,840,727,1058.025,227,13409,11893.95,16821.05,7056
2020-05-02,921,797,1163,217,14330,12690.95,17984.05,7273
2020-05-03,1083,932.975,1365.025,216,15413,13623.925,19349.075,7489
2020-05-04,1278,1087,1618.025,202,16691,14710.925,20967.1,7691
2020-05-05,1726,1469,2175,204,18417,16179.925,23142.1,7895
2020-05-06,1833,1512.975,2346.05,123,20250,17692.9,25488.15,8018
2020-05-07,3049,2444,3983.025,106,23299,20136.9,29471.175,8124
2020-05-08,4326,3028.975,6305.2,31,27625,23165.875,35776.375,8155
