"Data","estimate","lower","upper","Boletim ultimo","estimate Cumsum","lower Cumsum","upper Cumsum","Boletim Cumsum"
2020-03-15,1,1,1,1,1,1,1,1
2020-03-16,3,3,4,3,4,4,5,4
2020-03-17,3,3,4,3,7,7,9,7
2020-03-18,6,6,7,6,13,13,16,13
2020-03-19,7,7,9,7,20,20,25,20
2020-03-20,16,15,19,15,36,35,44,35
2020-03-21,15,13,18,13,51,48,62,48
2020-03-22,19,17,24,17,70,65,86,65
2020-03-23,41,37,47,37,111,102,133,102
2020-03-24,38,35,45,34,149,137,178,136
2020-03-25,38,34,45,33,187,171,223,169
2020-03-26,54,49,62,47,241,220,285,216
2020-03-27,64,58,74,55,305,278,359,271
2020-03-28,78,70,90,66,383,348,449,337
2020-03-29,78,70,90,64,461,418,539,401
2020-03-30,99,90,114,82,560,508,653,483
2020-03-31,114,104,129,93,674,612,782,576
2020-04-01,127,116,144,103,801,728,926,679
2020-04-02,145,132,163,115,946,860,1089,794
2020-04-03,167,152,189,131,1113,1012,1278,925
2020-04-04,190,173,214,148,1303,1185,1492,1073
2020-04-05,193,177,217,149,1496,1362,1709,1222
2020-04-06,202,184,227,154,1698,1546,1936,1376
2020-04-07,222,203,249,168,1920,1749,2185,1544
2020-04-08,227,208,254,171,2147,1957,2439,1715
2020-04-09,204,186,230,150,2351,2143,2669,1865
2020-04-10,263,241,293,193,2614,2384,2962,2058
2020-04-11,240,219,270,171,2854,2603,3232,2229
2020-04-12,298,272,333,212,3152,2875,3565,2441
2020-04-13,291,265,327,203,3443,3140,3892,2644
2020-04-14,282,257,319,194,3725,3397,4211,2838
2020-04-15,309,282,347,210,4034,3679,4558,3048
2020-04-16,337,308,379,224,4371,3987,4937,3272
2020-04-17,341,311,385,222,4712,4298,5322,3494
2020-04-18,375,341,422,239,5087,4639,5744,3733
2020-04-19,358,324,403,220,5445,4963,6147,3953
2020-04-20,442,403,496,268,5887,5366,6643,4221
2020-04-21,416,376,468,240,6303,5742,7111,4461
2020-04-22,473,429,531,266,6776,6171,7642,4727
2020-04-23,537,487,601,290,7313,6658,8243,5017
2020-04-24,512,464,578,260,7825,7122,8821,5277
2020-04-25,525,471,592,251,8350,7593,9413,5528
2020-04-26,591,531,668,268,8941,8124,10081,5796
2020-04-27,613,550,696,259,9554,8674,10777,6055
2020-04-28,710,638,804,283,10264,9312,11581,6338
2020-04-29,747,669,845,274,11011,9981,12426,6612
2020-04-30,672,594,769,217,11683,10575,13195,6829
2020-05-01,777,686,888,227,12460,11261,14083,7056
2020-05-02,853,749,981,217,13313,12010,15064,7273
2020-05-03,1000,878,1152,216,14313,12888,16216,7489
2020-05-04,1178,1025,1366,202,15491,13913,17582,7691
2020-05-05,1587,1378,1856,204,17078,15291,19438,7895
2020-05-06,1684,1415.975,2006,123,18762,16706.975,21444,8018
2020-05-07,2789,2291,3381.025,106,21551,18997.975,24825.025,8124
2020-05-08,3944,2790.975,5571.025,31,25495,21788.95,30396.05,8155
