"Data","estimate","lower","upper","Boletim ultimo","estimate Cumsum","lower Cumsum","upper Cumsum","Boletim Cumsum"
2020-03-15,1,1,1,1,1,1,1,1
2020-03-16,3,3,6,3,4,4,7,4
2020-03-17,3,3,6,3,7,7,13,7
2020-03-18,6,5,10,5,13,12,23,12
2020-03-19,8,7,13,7,21,19,36,19
2020-03-20,14,12,21,12,35,31,57,31
2020-03-21,14,12,23,12,49,43,80,43
2020-03-22,18,15,29,15,67,58,109,58
2020-03-23,37,32,52,31,104,90,161,89
2020-03-24,36,31,53,29,140,121,214,118
2020-03-25,37,31,56,29,177,152,270,147
2020-03-26,46,39,69,36,223,191,339,183
2020-03-27,56,47.9750000000002,83,43,279,238.975,422,226
2020-03-28,71,61,106,54,350,299.975,528,280
2020-03-29,75,63,113,54,425,362.975,641,334
2020-03-30,99,85,147,71,524,447.975,788,405
2020-03-31,116,98,171,81,640,545.975,959,486
2020-04-01,124,105,185,82,764,650.975,1144,568
2020-04-02,151,129,223,100,915,779.975,1367,668
2020-04-03,172,147,252,110,1087,926.975,1619,778
2020-04-04,192,165,282,119,1279,1091.975,1901,897
2020-04-05,215,184,322,128,1494,1275.975,2223,1025
2020-04-06,211,179,315,120,1705,1454.975,2538,1145
2020-04-07,242,206,357,135,1947,1660.975,2895,1280
2020-04-08,243,207,361,130,2190,1867.975,3256,1410
2020-04-09,223,186,336,110,2413,2053.975,3592,1520
2020-04-10,283,241,418,139,2696,2294.975,4010,1659
2020-04-11,277,232,416,124,2973,2526.975,4426,1783
2020-04-12,347,293,516,151,3320,2819.975,4942,1934
2020-04-13,376,316,558,155,3696,3135.975,5500,2089
2020-04-14,342,284,510.025,129,4038,3419.975,6010.025,2218
2020-04-15,370,309,547,132,4408,3728.975,6557.025,2350
2020-04-16,304,246,456,93,4712,3974.975,7013.025,2443
2020-04-17,352,286,524.025,101,5064,4260.975,7537.05,2544
2020-04-18,384,311,572,98,5448,4571.975,8109.05,2642
2020-04-19,354,280,530,72,5802,4851.975,8639.05,2714
2020-04-20,438,346,656.025,79,6240,5197.975,9295.075,2793
2020-04-21,454,348,696,56,6694,5545.975,9991.075,2849
2020-04-22,599,436.975,920,46,7293,5982.95,10911.075,2895
2020-04-23,633,391.975,1054.025,10,7926,6374.925,11965.1,2905
