"Data","estimate","lower","upper","Boletim ultimo","estimate Cumsum","lower Cumsum","upper Cumsum","Boletim Cumsum"
2020-03-15,1,1,1,1,1,1,1,1
2020-03-16,3,3,4,3,4,4,5,4
2020-03-17,4,4,5,4,8,8,10,8
2020-03-18,8,8,11,8,16,16,21,16
2020-03-19,10,9,12,9,26,25,33,25
2020-03-20,17,16,21,16,43,41,54,41
2020-03-21,17,15,21,15,60,56,75,56
2020-03-22,23,20,27,20,83,76,102,76
2020-03-23,42,39,48,38,125,115,150,114
2020-03-24,43,38,49,37,168,153,199,151
2020-03-25,46,41,53,39,214,194,252,190
2020-03-26,62,56,70,53,276,250,322,243
2020-03-27,70,64,79,59,346,314,401,302
2020-03-28,86,79,97,73,432,393,498,375
2020-03-29,87,79,98,72,519,472,596,447
2020-03-30,107,98,119,89,626,570,715,536
2020-03-31,135,126,151,113,761,696,866,649
2020-04-01,138,127,153,113,899,823,1019,762
2020-04-02,160,148,177,131,1059,971,1196,893
2020-04-03,194,182,214,160,1253,1153,1410,1053
2020-04-04,212,199,233,172,1465,1352,1643,1225
2020-04-05,217,203,238,174,1682,1555,1881,1399
2020-04-06,211,197,232,168,1893,1752,2113,1567
2020-04-07,236,221,259,188,2129,1973,2372,1755
2020-04-08,239,224,262,189,2368,2197,2634,1944
2020-04-09,245,229,269,191,2613,2426,2903,2135
2020-04-10,292,274,320,228,2905,2700,3223,2363
2020-04-11,276,258,305,211,3181,2958,3528,2574
2020-04-12,343,322,375,262,3524,3280,3903,2836
2020-04-13,358,337,392.025,271,3882,3617,4295.025,3107
2020-04-14,326,305,359,241,4208,3922,4654.025,3348
2020-04-15,375,352,411,278,4583,4274,5065.025,3626
2020-04-16,379,355,416,277,4962,4629,5481.025,3903
2020-04-17,396,372,436,286,5358,5001,5917.025,4189
2020-04-18,429,402,469,307,5787,5403,6386.025,4496
2020-04-19,446,419,490,315,6233,5822,6876.025,4811
2020-04-20,515,484,562,362,6748,6306,7438.025,5173
2020-04-21,489,458.975,536,336,7237,6764.975,7974.025,5509
2020-04-22,590,556,644,405,7827,7320.975,8618.025,5914
2020-04-23,639,602.975,696,433,8466,7923.95,9314.025,6347
2020-04-24,655,617,715,438,9121,8540.95,10029.025,6785
2020-04-25,692,652,755,459,9813,9192.95,10784.025,7244
2020-04-26,647,607,707,418,10460,9799.95,11491.025,7662
2020-04-27,721,680,791,462,11181,10479.95,12282.025,8124
2020-04-28,779,735,852,492,11960,11214.95,13134.025,8616
2020-04-29,819,772,897.025,512,12779,11986.95,14031.05,9128
2020-04-30,769,723,847,470,13548,12709.95,14878.05,9598
2020-05-01,854,804,936,515,14402,13513.95,15814.05,10113
2020-05-02,899,846,989,533,15301,14359.95,16803.05,10646
2020-05-03,942,888,1036,547,16243,15247.95,17839.05,11193
2020-05-04,1026,966,1130.025,583,17269,16213.95,18969.075,11776
2020-05-05,1087,1024,1197,608,18356,17237.95,20166.075,12384
2020-05-06,976,913,1076,524,19332,18150.95,21242.075,12908
2020-05-07,1002,938,1102,521,20334,19088.95,22344.075,13429
2020-05-08,1107,1036,1216,563,21441,20124.95,23560.075,13992
2020-05-09,1118,1044,1232.025,550,22559,21168.95,24792.1,14542
2020-05-10,1083,1010,1195,514,23642,22178.95,25987.1,15056
2020-05-11,1181,1104,1300.025,546,24823,23282.95,27287.125,15602
2020-05-12,1222,1140,1346,542,26045,24422.95,28633.125,16144
2020-05-13,1203,1121,1329,508,27248,25543.95,29962.125,16652
2020-05-14,1249,1160,1381,504,28497,26703.95,31343.125,17156
2020-05-15,1256,1162,1387,479,29753,27865.95,32730.125,17635
2020-05-16,1291,1192,1432,464,31044,29057.95,34162.125,18099
2020-05-17,1417,1309,1572.025,481,32461,30366.95,35734.15,18580
2020-05-18,1537,1418,1700,489,33998,31784.95,37434.15,19069
2020-05-19,1624,1495,1800,485,35622,33279.95,39234.15,19554
2020-05-20,1499,1373,1668,402,37121,34652.95,40902.15,19956
2020-05-21,1735,1588,1924,427,38856,36240.95,42826.15,20383
2020-05-22,1957,1790,2177,431,40813,38030.95,45003.15,20814
2020-05-23,1887,1711.975,2116.025,350,42700,39742.925,47119.175,21164
2020-05-24,2125,1924,2389.025,330,44825,41666.925,49508.2,21494
2020-05-25,2631,2371,2967,329,47456,44037.925,52475.2,21823
2020-05-26,3042,2715.95,3471,258,50498,46753.875,55946.2,22081
2020-05-27,3894,3409.975,4500.025,201,54392,50163.85,60446.225,22282
2020-05-28,4699,3954,5611.05,113,59091,54117.85,66057.275,22395
2020-05-29,4792,3553.975,6484.025,17,63883,57671.825,72541.3,22412
