"estimate","lower","upper","onset_date","n.reported"
162,162,162,2020-05-30,162
131,130,134,2020-05-31,130
260,255,266,2020-06-01,254
147,143,153,2020-06-02,142
126,122,132,2020-06-03,121
141,136,148,2020-06-04,133
172,165,180,2020-06-05,161
150,144,158,2020-06-06,139
118,112,126,2020-06-07,108
135,128,144,2020-06-08,122
147,140,157,2020-06-09,131
184,175,196,2020-06-10,163
90,83,99,2020-06-11,76
142,133,153,2020-06-12,122
115,106,125,2020-06-13,96
105,96,116,2020-06-14,86
133,123,145,2020-06-15,109
114,104,126,2020-06-16,90
98,88,110,2020-06-17,75
100,89,112,2020-06-18,74
113,101,127,2020-06-19,82
141,128,157,2020-06-20,102
92,80,107,2020-06-21,60
111,98,126,2020-06-22,74
81,69,95,2020-06-23,49
75,63,90,2020-06-24,43
75,62,92,2020-06-25,39
97,80,117,2020-06-26,49
95.5,78,117,2020-06-27,42
104,84,128,2020-06-28,42
84,64,108,2020-06-29,25
101,78,131,2020-06-30,31
79,57,109,2020-07-01,16
69,46,100,2020-07-02,9
79,52,117,2020-07-03,11
75,44,120,2020-07-04,6
68,34,119.025,2020-07-05,2
66,28,129.025,2020-07-06,NA
69,26,156,2020-07-07,1
69,22,179.025,2020-07-08,NA
