"estimate","lower","upper","onset_date","n.reported"
104,104,104,2020-05-31,104
127,127,127,2020-06-01,127
100,100,100,2020-06-02,100
122,122,122,2020-06-03,122
103,103,106,2020-06-04,103
95,95,98,2020-06-05,95
105,105,110,2020-06-06,105
84,84,89,2020-06-07,84
77,77,82,2020-06-08,77
81,80,86,2020-06-09,80
79,78,84,2020-06-10,78
77,76,83,2020-06-11,76
73,71,78,2020-06-12,71
60,58,66,2020-06-13,58
74,71,80,2020-06-14,71
74,71,80,2020-06-15,71
78,74,84,2020-06-16,73
64,60,70,2020-06-17,59
61,56,67,2020-06-18,55
73,69,80,2020-06-19,67
48,44,55,2020-06-20,42
50,45,57,2020-06-21,43
52,47,59,2020-06-22,44
50,45,58,2020-06-23,41
69,63,77,2020-06-24,58
66,60,74,2020-06-25,54
47,41,55,2020-06-26,35
43,36,52,2020-06-27,30
62,54,71,2020-06-28,46
47,40,57,2020-06-29,31
56,47,66,2020-06-30,37
63,54,74,2020-07-01,42
55,45,66,2020-07-02,32
48,38,59,2020-07-03,24
40,30,52,2020-07-04,15
44,33,58,2020-07-05,17
53,41,68,2020-07-06,22
57,44,73,2020-07-07,22
53,39,71,2020-07-08,15
48,32,68,2020-07-09,5
