"estimate","lower","upper","onset_date","n.reported"
3,3,3,2020-04-28,3
5,5,9,2020-04-29,5
3,3,7,2020-04-30,3
4,3,7,2020-05-01,3
4,3,7,2020-05-02,3
3,2,7,2020-05-03,2
6,5,10,2020-05-04,5
4,3,8,2020-05-05,3
2,1,6,2020-05-06,1
2,1,6,2020-05-07,1
6,5,10,2020-05-08,5
4,3,8,2020-05-09,3
5,4,9,2020-05-10,4
2,1,6,2020-05-11,1
3,2,7,2020-05-12,2
4,3,8,2020-05-13,3
3,2,7,2020-05-14,2
1,0,5,2020-05-15,NA
2,1,6,2020-05-16,1
4,3,8,2020-05-17,3
2,1,6,2020-05-18,1
3,2,7,2020-05-19,2
2,1,6,2020-05-20,1
4,3,8,2020-05-21,3
1,0,5,2020-05-22,NA
1,0,5,2020-05-23,NA
4,3,8,2020-05-24,3
4,3,8,2020-05-25,3
4,3,8,2020-05-26,3
2,1,6,2020-05-27,1
4,3,8,2020-05-28,3
1,0,5,2020-05-29,NA
1,0,5,2020-05-30,NA
1,0,5,2020-05-31,NA
1,0,4,2020-06-01,NA
4,3,8,2020-06-02,3
1,0,5,2020-06-03,NA
1,0,5,2020-06-04,NA
1,0,5,2020-06-05,NA
1,0,5,2020-06-06,NA
