"estimate","lower","upper","onset_date","n.reported"
4,4,4,2020-05-20,4
9,9,9,2020-05-21,9
7,7,7,2020-05-22,7
7,7,9,2020-05-23,7
5,5,7,2020-05-24,5
5,5,7,2020-05-25,5
3,3,5,2020-05-26,3
3,3,5,2020-05-27,3
7,7,10,2020-05-28,7
11,11,15,2020-05-29,11
6,6,9,2020-05-30,6
1,1,4,2020-05-31,1
3,3,6,2020-06-01,3
1,1,4,2020-06-02,1
1,1,4,2020-06-03,1
0,0,3,2020-06-04,NA
0,0,3,2020-06-05,NA
4,3,7,2020-06-06,3
6,5,10,2020-06-07,5
4,3,8,2020-06-08,3
1,0,5,2020-06-09,NA
5,4,9,2020-06-10,4
5,3,9,2020-06-11,3
3,1,7,2020-06-12,1
5,3,9,2020-06-13,3
3,1,7,2020-06-14,1
4,2,9,2020-06-15,2
6,4,12,2020-06-16,4
5,3,10,2020-06-17,3
3,1,7,2020-06-18,1
2,0,6,2020-06-19,NA
3,1,7,2020-06-20,1
2,0,6,2020-06-21,NA
3,1,7,2020-06-22,1
3,1,7,2020-06-23,1
2,0,6,2020-06-24,NA
2,0,7,2020-06-25,NA
1,0,7,2020-06-26,NA
2,0,7,2020-06-27,NA
2,0,7,2020-06-28,NA
