"estimate","lower","upper","onset_date","n.reported"
6,6,6,2020-05-07,6
6,6,7,2020-05-08,6
5,5,7,2020-05-09,5
3,3,6,2020-05-10,3
6,6,9,2020-05-11,6
8,8,11,2020-05-12,8
9,9,13,2020-05-13,9
15,14,18,2020-05-14,14
11,10,14,2020-05-15,10
5,4,8,2020-05-16,4
5,4,8,2020-05-17,4
10,9,13,2020-05-18,9
11,10,14,2020-05-19,10
6,5,9,2020-05-20,5
11,10,14,2020-05-21,10
10,9,13,2020-05-22,9
5,4,8,2020-05-23,4
8,7,12,2020-05-24,7
10,9,14,2020-05-25,9
11,10,15,2020-05-26,10
5,4,10,2020-05-27,4
10,8,14,2020-05-28,8
13,11,17,2020-05-29,11
16,14,21,2020-05-30,14
11,8,15,2020-05-31,8
14,11,19,2020-06-01,11
9,6,15,2020-06-02,6
10,7,16,2020-06-03,6
8,4,14,2020-06-04,3
11,6,17.0249999999996,2020-06-05,5
11,6,18,2020-06-06,4
9,4,17,2020-06-07,1
14,7,23,2020-06-08,4
13,6,24,2020-06-09,2
14,7,28,2020-06-10,3
14,7,30,2020-06-11,2
15,7,34,2020-06-12,2
13,5,34,2020-06-13,NA
13,5,35,2020-06-14,NA
13,5,37,2020-06-15,NA
