"dt_notific","n.notific"
2020-04-08,2
2020-04-19,1
2020-04-21,1
2020-04-23,1
2020-04-24,1
2020-04-25,1
2020-04-29,2
2020-04-30,4
2020-05-03,1
2020-05-04,5
2020-05-05,2
2020-05-06,3
2020-05-07,3
2020-05-08,3
2020-05-09,2
2020-05-10,6
2020-05-11,4
2020-05-12,8
2020-05-13,2
2020-05-14,2
2020-05-15,2
2020-05-16,2
2020-05-17,4
2020-05-18,4
2020-05-19,4
2020-05-20,5
2020-05-21,3
2020-05-22,7
2020-05-23,4
2020-05-24,5
2020-05-25,6
2020-05-26,4
2020-05-27,6
2020-05-28,9
2020-05-29,3
2020-05-30,1
2020-05-31,2
2020-06-01,7
2020-06-02,4
2020-06-03,5
2020-06-04,3
2020-06-05,7
2020-06-06,1
2020-06-07,2
2020-06-08,3
2020-06-09,1
2020-06-10,1
2020-06-11,2
2020-06-12,2
2020-06-13,3
2020-06-15,5
