"","DRS","data","n.casos","estimate","lower","upper","week"
"1","Grande São Paulo",2020-03-15,2,NA,NA,NA,"2020-W12"
"2","Grande São Paulo",2020-03-22,62,NA,NA,NA,"2020-W13"
"3","Grande São Paulo",2020-03-29,245,NA,NA,NA,"2020-W14"
"4","Grande São Paulo",2020-04-05,500,NA,NA,NA,"2020-W15"
"5","Grande São Paulo",2020-04-12,580,NA,NA,NA,"2020-W16"
"6","Grande São Paulo",2020-04-19,633,NA,NA,NA,"2020-W17"
"7","Grande São Paulo",2020-04-26,818,NA,NA,NA,"2020-W18"
"8","Grande São Paulo",2020-05-03,1032,NA,NA,NA,"2020-W19"
"9","Grande São Paulo",2020-05-10,1169,NA,NA,NA,"2020-W20"
"10","Grande São Paulo",2020-05-17,1256,NA,NA,NA,"2020-W21"
"11","Grande São Paulo",2020-05-24,1373,NA,NA,NA,"2020-W22"
"12","Grande São Paulo",2020-05-31,1324,NA,NA,NA,"2020-W23"
"13","Grande São Paulo",2020-06-07,1307,NA,NA,NA,"2020-W24"
"14","Grande São Paulo",2020-06-14,1321,NA,NA,NA,"2020-W25"
"15","Grande São Paulo",2020-06-21,1142,NA,NA,NA,"2020-W26"
"16","Grande São Paulo",2020-06-28,1035,NA,NA,NA,"2020-W27"
"17","Grande São Paulo",2020-07-05,901,NA,NA,NA,"2020-W28"
"18","Grande São Paulo",2020-07-12,909,NA,NA,NA,"2020-W29"
"19","Grande São Paulo",2020-07-19,933,NA,NA,NA,"2020-W30"
"20","Grande São Paulo",2020-07-26,766,NA,NA,NA,"2020-W31"
"21","Grande São Paulo",2020-08-02,811,NA,NA,NA,"2020-W32"
"22","Grande São Paulo",2020-08-09,783,NA,NA,NA,"2020-W33"
"23","Grande São Paulo",2020-08-16,749,NA,NA,NA,"2020-W34"
"24","Grande São Paulo",2020-08-23,577,NA,NA,NA,"2020-W35"
"25","Grande São Paulo",2020-08-30,552,NA,NA,NA,"2020-W36"
"26","Grande São Paulo",2020-09-06,490,NA,NA,NA,"2020-W37"
"27","Grande São Paulo",2020-09-13,509,NA,NA,NA,"2020-W38"
"28","Grande São Paulo",2020-09-20,419,NA,NA,NA,"2020-W39"
"29","Grande São Paulo",2020-09-27,345,NA,NA,NA,"2020-W40"
"30","Grande São Paulo",2020-10-04,377,NA,NA,NA,"2020-W41"
"31","Grande São Paulo",2020-10-11,317,NA,NA,NA,"2020-W42"
"32","Grande São Paulo",2020-10-18,252,NA,NA,NA,"2020-W43"
"33","Grande São Paulo",2020-10-25,241,NA,NA,NA,"2020-W44"
"34","Grande São Paulo",2020-11-01,242,NA,NA,NA,"2020-W45"
"35","Grande São Paulo",2020-11-08,229,NA,NA,NA,"2020-W46"
"36","Grande São Paulo",2020-11-15,281,NA,NA,NA,"2020-W47"
"37","Grande São Paulo",2020-11-22,346,NA,NA,NA,"2020-W48"
"38","Grande São Paulo",2020-11-29,420,NA,NA,NA,"2020-W49"
"39","Grande São Paulo",2020-12-06,509,NA,NA,NA,"2020-W50"
"40","Grande São Paulo",2020-12-13,599,NA,NA,NA,"2020-W51"
"41","Grande São Paulo",2020-12-20,622,NA,NA,NA,"2020-W52"
"42","Grande São Paulo",2020-12-27,592,NA,NA,NA,"2020-W53"
"43","Grande São Paulo",2021-01-03,623,NA,NA,NA,"2021-W01"
"44","Grande São Paulo",2021-01-10,683,NA,NA,NA,"2021-W02"
"45","Grande São Paulo",2021-01-17,714,720,715,727,"2021-W03"
"46","Grande São Paulo",2021-01-24,713,730,721,741,"2021-W04"
