"estimate","lower","upper","onset_date","n.reported"
7,7,7,2020-05-25,7
3,3,3,2020-05-26,3
11,11,11,2020-05-27,11
8,8,8,2020-05-28,8
9,9,9,2020-05-29,9
4,4,4,2020-05-30,4
4,4,4,2020-05-31,4
8,8,8,2020-06-01,8
5,5,5,2020-06-02,5
5,5,5,2020-06-03,5
12,12,12,2020-06-04,12
4,4,4,2020-06-05,4
4,4,4,2020-06-06,4
5,5,6,2020-06-07,5
8,8,9,2020-06-08,8
3,3,4,2020-06-09,3
4,4,5,2020-06-10,4
8,8,9,2020-06-11,8
4,4,5,2020-06-12,4
3,3,5,2020-06-13,3
9,9,11,2020-06-14,9
8,8,10,2020-06-15,8
4,4,6,2020-06-16,4
6,6,8,2020-06-17,6
2,2,4,2020-06-18,2
1,1,3,2020-06-19,1
2,2,4,2020-06-20,2
7,7,10,2020-06-21,7
3,3,6,2020-06-22,3
4,3,6,2020-06-23,3
3,2,5,2020-06-24,2
4,3,6,2020-06-25,3
9,8,12,2020-06-26,8
2,1,5,2020-06-27,1
3,2,6,2020-06-28,2
3,2,7,2020-06-29,2
3,1,6,2020-06-30,1
3,1,7,2020-07-01,1
2,0,7,2020-07-02,NA
4,1,9,2020-07-03,1
