"estimate","lower","upper","stratum","onset_date","n.reported"
13,13,13,"C-Oeste",2020-06-21,13
21,21,22,"C-Oeste",2020-06-22,21
19,19,20,"C-Oeste",2020-06-23,19
12,12,13,"C-Oeste",2020-06-24,12
24,24,26,"C-Oeste",2020-06-25,24
18,18,20,"C-Oeste",2020-06-26,18
15,15,17,"C-Oeste",2020-06-27,15
11,11,13,"C-Oeste",2020-06-28,11
19,19,21,"C-Oeste",2020-06-29,19
22,22,24,"C-Oeste",2020-06-30,22
44,43,46,"C-Oeste",2020-07-01,43
30,29,32,"C-Oeste",2020-07-02,29
21,21,24,"C-Oeste",2020-07-03,21
13,13,15,"C-Oeste",2020-07-04,13
14,14,16,"C-Oeste",2020-07-05,14
24,24,27,"C-Oeste",2020-07-06,24
16,16,18,"C-Oeste",2020-07-07,16
15,15,17,"C-Oeste",2020-07-08,15
19,19,22,"C-Oeste",2020-07-09,19
19,19,22,"C-Oeste",2020-07-10,19
10,10,12,"C-Oeste",2020-07-11,10
19,19,22,"C-Oeste",2020-07-12,19
16,16,19,"C-Oeste",2020-07-13,16
16,16,19,"C-Oeste",2020-07-14,16
13,13,15,"C-Oeste",2020-07-15,13
12,12,14,"C-Oeste",2020-07-16,12
13,13,15,"C-Oeste",2020-07-17,13
12,12,15,"C-Oeste",2020-07-18,12
9,9,11,"C-Oeste",2020-07-19,9
20,19,22,"C-Oeste",2020-07-20,19
12,11,14,"C-Oeste",2020-07-21,11
19,18,21,"C-Oeste",2020-07-22,18
10,10,13,"C-Oeste",2020-07-23,10
6,6,9,"C-Oeste",2020-07-24,6
15,14,17,"C-Oeste",2020-07-25,14
13,12,15,"C-Oeste",2020-07-26,12
18,17,20,"C-Oeste",2020-07-27,17
16,15,18,"C-Oeste",2020-07-28,15
12,11,14,"C-Oeste",2020-07-29,11
14,13,16,"C-Oeste",2020-07-30,13
16,15,19,"C-Oeste",2020-07-31,15
14,13,16,"C-Oeste",2020-08-01,13
7,6,9,"C-Oeste",2020-08-02,6
11,10,13,"C-Oeste",2020-08-03,10
