"estimate","lower","upper","onset_date","n.reported"
5,5,5,2020-05-30,5
5,5,5,2020-05-31,5
8,8,8,2020-06-01,8
4,4,4,2020-06-02,4
8,8,8,2020-06-03,8
1,1,1,2020-06-04,1
1,1,1,2020-06-05,1
0,0,0,2020-06-06,NA
4,4,4,2020-06-07,4
5,5,5,2020-06-08,5
4,4,4,2020-06-09,4
6,6,6,2020-06-10,6
1,1,1,2020-06-11,1
3,3,3,2020-06-12,3
1,1,1,2020-06-13,1
2,2,3,2020-06-14,2
3,3,4,2020-06-15,3
4,4,5,2020-06-16,4
1,1,2,2020-06-17,1
0,0,1,2020-06-18,NA
1,1,2,2020-06-19,1
1,1,2,2020-06-20,1
2,2,3,2020-06-21,2
4,4,6,2020-06-22,4
1,1,3,2020-06-23,1
2,2,4,2020-06-24,2
2,2,4,2020-06-25,2
1,1,3,2020-06-26,1
0,0,2,2020-06-27,NA
0,0,2,2020-06-28,NA
0,0,2,2020-06-29,NA
0,0,2,2020-06-30,NA
0,0,3,2020-07-01,NA
0,0,3,2020-07-02,NA
1,0,4,2020-07-03,NA
2,1,5,2020-07-04,1
2,1,6,2020-07-05,1
1,0,5,2020-07-06,NA
1,0,6,2020-07-07,NA
1,0,7,2020-07-08,NA
