"estimate","lower","upper","onset_date","n.reported"
4,4,4,2020-05-16,4
6,6,7,2020-05-17,6
7,7,8,2020-05-18,7
2,2,3,2020-05-19,2
10,10,11,2020-05-20,10
4,4,6,2020-05-21,4
6,6,8,2020-05-22,6
4,4,6,2020-05-23,4
5,5,8,2020-05-24,5
13,13,16,2020-05-25,13
2,2,5,2020-05-26,2
10,10,13,2020-05-27,10
4,3,6,2020-05-28,3
3,2,5,2020-05-29,2
6,5,8,2020-05-30,5
4,3,7,2020-05-31,3
6,5,9,2020-06-01,5
6,4,9,2020-06-02,4
2,0,6,2020-06-03,NA
4,2,8,2020-06-04,2
5,2,9,2020-06-05,2
6,3,11,2020-06-06,3
8,4,13,2020-06-07,4
6,3,12,2020-06-08,2
9,5,16,2020-06-09,4
8,4,16,2020-06-10,3
8,3,16,2020-06-11,2
9,4,17,2020-06-12,3
6,2,13,2020-06-13,NA
8,3,16,2020-06-14,2
8,4,16,2020-06-15,2
6,1,14,2020-06-16,NA
6,1,14,2020-06-17,NA
6,1,14,2020-06-18,NA
6,1,14,2020-06-19,NA
6,1,14,2020-06-20,NA
6,1,14,2020-06-21,NA
6,1,14,2020-06-22,NA
6,1,14.0249999999996,2020-06-23,NA
6,1,15,2020-06-24,NA
