"estimate","lower","upper","onset_date","n.reported"
21,21,21,2020-04-30,21
40,40,40,2020-05-01,40
30,27,35,2020-05-02,27
25,22,31,2020-05-03,22
28,24,34,2020-05-04,24
35,31,43,2020-05-05,29
49,43,57,2020-05-06,41
36,29,45,2020-05-07,25
32,26,42,2020-05-08,21
43,35,53,2020-05-09,29
37,29,47,2020-05-10,23
34,26,44,2020-05-11,19
38,30,49,2020-05-12,22
34,26,46,2020-05-13,17
34,24.9750000000002,45,2020-05-14,15
32,23,45,2020-05-15,13
35,26,48,2020-05-16,15
29,19,41,2020-05-17,8
37,27,50,2020-05-18,15
30,20,43,2020-05-19,7
45,34,60,2020-05-20,20
34,23,48,2020-05-21,9
29.5,18,44,2020-05-22,4
37,25,52,2020-05-23,10
29,17,45,2020-05-24,2
40,28,57,2020-05-25,12
33,21,50,2020-05-26,5
32,19,49,2020-05-27,4
29,16,45,2020-05-28,1
30,17,48,2020-05-29,2
32,18,50,2020-05-30,3
30,15,48,2020-05-31,NA
33,19,53,2020-06-01,3
33,18,55,2020-06-02,2
33,18,57,2020-06-03,1
36,20,62,2020-06-04,3
34,18,62,2020-06-05,1
33,17,63,2020-06-06,NA
34,16,63,2020-06-07,NA
34,16,66,2020-06-08,NA
