"estimate","lower","upper","onset_date","n.reported"
11,11,11,2020-05-18,11
13,13,16,2020-05-19,13
16,16,19,2020-05-20,16
10,9,13,2020-05-21,9
16,15,19,2020-05-22,15
12,11,15,2020-05-23,11
13,12,16,2020-05-24,12
13,12,16,2020-05-25,12
15,14,18,2020-05-26,14
15,14,18,2020-05-27,14
16,15,20,2020-05-28,15
17,16,21,2020-05-29,16
15,14,18,2020-05-30,14
10,9,14,2020-05-31,9
18,17,22,2020-06-01,17
17,16,21,2020-06-02,16
5,4,9,2020-06-03,4
14,13,18,2020-06-04,13
17,16,21,2020-06-05,16
8,7,12,2020-06-06,7
17,16,21,2020-06-07,16
16,15,21,2020-06-08,15
16,14,20,2020-06-09,14
13,11,17,2020-06-10,11
19,17,24,2020-06-11,17
16,14,21,2020-06-12,14
8,5,12,2020-06-13,5
18,15,23,2020-06-14,15
20,16,25,2020-06-15,16
13,10,18,2020-06-16,9
19,15,24,2020-06-17,14
14,10,20,2020-06-18,9
11,7,17,2020-06-19,5
15,9,21,2020-06-20,7
11,6,19,2020-06-21,3
12,6,20,2020-06-22,2
16,10,25,2020-06-23,5
13,6,23,2020-06-24,1
13,6,23,2020-06-25,NA
14,6,24,2020-06-26,NA
