Date,R. Vergueiro Bicicleta Centro,R. Vergueiro Bicicleta Bairro
11 de julho de 2018,817,792
12 de julho de 2018,767,723
13 de julho de 2018,793,755
14 de julho de 2018,825,704
15 de julho de 2018,985,993
16 de julho de 2018,1156,1087
17 de julho de 2018,1084,1051
18 de julho de 2018,1205,1161
19 de julho de 2018,961,917
20 de julho de 2018,700,679
21 de julho de 2018,624,656
22 de julho de 2018,947,950
23 de julho de 2018,1134,911
24 de julho de 2018,1010,914
25 de julho de 2018,1138,1011
26 de julho de 2018,1043,922
27 de julho de 2018,855,773
28 de julho de 2018,767,807
29 de julho de 2018,851,816
30 de julho de 2018,567,520
31 de julho de 2018,477,479
1 de agosto de 2018,683,635
2 de agosto de 2018,379,350
3 de agosto de 2018,727,594
4 de agosto de 2018,432,396
5 de agosto de 2018,289,276
6 de agosto de 2018,836,765
7 de agosto de 2018,1290,935
8 de agosto de 2018,1109,885
9 de agosto de 2018,1125,844
10 de agosto de 2018,1065,774
11 de agosto de 2018,634,489
12 de agosto de 2018,993,878
13 de agosto de 2018,1386,1033
14 de agosto de 2018,876,866
15 de agosto de 2018,741,699
16 de agosto de 2018,729,663
17 de agosto de 2018,912,747
18 de agosto de 2018,1046,898
19 de agosto de 2018,1320,975
20 de agosto de 2018,1422,1188
21 de agosto de 2018,1160,971
22 de agosto de 2018,1374,1148
23 de agosto de 2018,1173,954
24 de agosto de 2018,861,573
25 de agosto de 2018,347,331
26 de agosto de 2018,868,783
27 de agosto de 2018,1493,1042
28 de agosto de 2018,1714,1104
29 de agosto de 2018,1504,1077
30 de agosto de 2018,1549,1110
31 de agosto de 2018,1309,830
1 de setembro de 2018,1044,921
2 de setembro de 2018,999,806
3 de setembro de 2018,846,584
4 de setembro de 2018,744,747
5 de setembro de 2018,1223,830
6 de setembro de 2018,1262,734
7 de setembro de 2018,1126,665
8 de setembro de 2018,1016,777
9 de setembro de 2018,1521,943
10 de setembro de 2018,1235,1075
11 de setembro de 2018,1134,1002
12 de setembro de 2018,1214,976
13 de setembro de 2018,306,281
14 de setembro de 2018,605,558
15 de setembro de 2018,1008,655
16 de setembro de 2018,589,544
17 de setembro de 2018,1330,1103
18 de setembro de 2018,1202,1080
19 de setembro de 2018,818,677
20 de setembro de 2018,1101,887
21 de setembro de 2018,1683,991
22 de setembro de 2018,1693,1036
23 de setembro de 2018,2083,1087
24 de setembro de 2018,1522,1254
25 de setembro de 2018,1348,1050
26 de setembro de 2018,1091,882
27 de setembro de 2018,890,746
28 de setembro de 2018,1134,755
29 de setembro de 2018,621,568
30 de setembro de 2018,972,797
1 de outubro de 2018,1875,1217
2 de outubro de 2018,1381,901
3 de outubro de 2018,1136,983
4 de outubro de 2018,813,711
5 de outubro de 2018,522,524
6 de outubro de 2018,991,853
7 de outubro de 2018,557,513
8 de outubro de 2018,1422,967
9 de outubro de 2018,988,796
10 de outubro de 2018,589,558
11 de outubro de 2018,708,598
12 de outubro de 2018,1036,659
13 de outubro de 2018,512,441
14 de outubro de 2018,917,635
15 de outubro de 2018,1382,942
16 de outubro de 2018,1211,922
17 de outubro de 2018,1246,872
18 de outubro de 2018,823,698
19 de outubro de 2018,1346,754
20 de outubro de 2018,757,643
21 de outubro de 2018,1638,1020
22 de outubro de 2018,1610,1176
23 de outubro de 2018,461,456
24 de outubro de 2018,540,450
25 de outubro de 2018,1047,779
26 de outubro de 2018,840,647
27 de outubro de 2018,1694,1257
28 de outubro de 2018,1184,879
29 de outubro de 2018,1877,1138
30 de outubro de 2018,1615,869
31 de outubro de 2018,1489,958
1 de novembro de 2018,855,732
2 de novembro de 2018,1127,823
3 de novembro de 2018,609,397
4 de novembro de 2018,1117,850
5 de novembro de 2018,1210,1060
6 de novembro de 2018,853,751
7 de novembro de 2018,796,645
8 de novembro de 2018,1018,833
9 de novembro de 2018,877,634
10 de novembro de 2018,1064,770
11 de novembro de 2018,8,12
12 de novembro de 2018,0,0
13 de novembro de 2018,0,0
14 de novembro de 2018,0,0
15 de novembro de 2018,759,718
16 de novembro de 2018,650,594
17 de novembro de 2018,672,637
18 de novembro de 2018,227,220
19 de novembro de 2018,404,405
20 de novembro de 2018,853,813
21 de novembro de 2018,1079,1044
22 de novembro de 2018,924,895
23 de novembro de 2018,567,554
24 de novembro de 2018,503,565
25 de novembro de 2018,1069,1053
26 de novembro de 2018,1390,1226
27 de novembro de 2018,1224,1104
28 de novembro de 2018,560,261
29 de novembro de 2018,0,0
30 de novembro de 2018,0,0
1 de dezembro de 2018,0,0
2 de dezembro de 2018,0,0
3 de dezembro de 2018,0,0
4 de dezembro de 2018,772,975
5 de dezembro de 2018,999,1035
6 de dezembro de 2018,858,836
7 de dezembro de 2018,634,597
8 de dezembro de 2018,846,863
9 de dezembro de 2018,1163,1058
10 de dezembro de 2018,1410,1347
11 de dezembro de 2018,1195,1185
12 de dezembro de 2018,1056,963
13 de dezembro de 2018,1072,1026
14 de dezembro de 2018,572,539
15 de dezembro de 2018,681,618
16 de dezembro de 2018,692,483
17 de dezembro de 2018,934,809
18 de dezembro de 2018,1034,969
19 de dezembro de 2018,1155,1090
20 de dezembro de 2018,898,904
21 de dezembro de 2018,736,754
22 de dezembro de 2018,465,459
23 de dezembro de 2018,404,442
24 de dezembro de 2018,666,685
25 de dezembro de 2018,937,879
26 de dezembro de 2018,948,891
27 de dezembro de 2018,755,754
28 de dezembro de 2018,768,784
29 de dezembro de 2018,628,686
30 de dezembro de 2018,576,525
31 de dezembro de 2018,524,529
1 de janeiro de 2019,777,769
2 de janeiro de 2019,735,710
3 de janeiro de 2019,611,610
4 de janeiro de 2019,444,418
5 de janeiro de 2019,819,747
6 de janeiro de 2019,1174,1142
7 de janeiro de 2019,1083,978
8 de janeiro de 2019,877,903
9 de janeiro de 2019,753,446
10 de janeiro de 2019,755,708
11 de janeiro de 2019,878,947
12 de janeiro de 2019,772,763
13 de janeiro de 2019,1083,1074
14 de janeiro de 2019,1345,1349
15 de janeiro de 2019,1133,1081
16 de janeiro de 2019,990,918
17 de janeiro de 2019,1010,1013
18 de janeiro de 2019,909,811
19 de janeiro de 2019,804,750
20 de janeiro de 2019,1235,1121
21 de janeiro de 2019,1371,1310
22 de janeiro de 2019,1291,1230
23 de janeiro de 2019,1097,1084
24 de janeiro de 2019,442,438
25 de janeiro de 2019,777,793
26 de janeiro de 2019,977,953
27 de janeiro de 2019,1279,1200
28 de janeiro de 2019,1483,1386
29 de janeiro de 2019,1335,1228
30 de janeiro de 2019,1330,1236
31 de janeiro de 2019,1183,1147
1 de fevereiro de 2019,893,830
2 de fevereiro de 2019,808,842
3 de fevereiro de 2019,560,525
4 de fevereiro de 2019,1176,1159
5 de fevereiro de 2019,352,344
6 de fevereiro de 2019,1198,1177
7 de fevereiro de 2019,1234,1187
8 de fevereiro de 2019,994,934
9 de fevereiro de 2019,913,923
10 de fevereiro de 2019,1201,1136
11 de fevereiro de 2019,1002,932
12 de fevereiro de 2019,682,680
13 de fevereiro de 2019,1302,1186
14 de fevereiro de 2019,738,676
15 de fevereiro de 2019,330,311
16 de fevereiro de 2019,657,607
17 de fevereiro de 2019,1227,1176
18 de fevereiro de 2019,1486,1468
19 de fevereiro de 2019,1179,1208
20 de fevereiro de 2019,903,856
21 de fevereiro de 2019,919,860
22 de fevereiro de 2019,874,877
23 de fevereiro de 2019,2120,2176
24 de fevereiro de 2019,1116,1075
25 de fevereiro de 2019,612,591
26 de fevereiro de 2019,1053,1074
27 de fevereiro de 2019,520,494
28 de fevereiro de 2019,705,675
1 de março de 2019,650,639
2 de março de 2019,1305,1277
3 de março de 2019,751,748
4 de março de 2019,1007,1061
5 de março de 2019,814,838
6 de março de 2019,981,965
7 de março de 2019,1157,1179
8 de março de 2019,699,618
9 de março de 2019,1762,1876
10 de março de 2019,733,776
11 de março de 2019,1150,1125
12 de março de 2019,1183,1218
13 de março de 2019,1046,980
14 de março de 2019,892,859
15 de março de 2019,891,864
16 de março de 2019,497,403
17 de março de 2019,1300,1272
18 de março de 2019,1133,1114
19 de março de 2019,1158,1231
20 de março de 2019,520,505
21 de março de 2019,1067,1087
22 de março de 2019,988,961
23 de março de 2019,834,786
24 de março de 2019,1372,1360
25 de março de 2019,1428,1422
26 de março de 2019,1298,1279
27 de março de 2019,1230,1136
28 de março de 2019,1135,1124
29 de março de 2019,945,929
30 de março de 2019,890,811
31 de março de 2019,1271,1307
1 de abril de 2019,1487,1444
2 de abril de 2019,1344,1428
3 de abril de 2019,1379,1404
4 de abril de 2019,1245,1234
5 de abril de 2019,643,640
6 de abril de 2019,632,565
7 de abril de 2019,355,333
8 de abril de 2019,502,484
9 de abril de 2019,971,1015
10 de abril de 2019,1252,1233
11 de abril de 2019,1163,1141
12 de abril de 2019,1009,950
13 de abril de 2019,350,315
14 de abril de 2019,1144,1144
15 de abril de 2019,1235,1203
16 de abril de 2019,1325,1287
17 de abril de 2019,1187,1199
18 de abril de 2019,693,664
19 de abril de 2019,909,880
20 de abril de 2019,664,533
21 de abril de 2019,1215,1183
22 de abril de 2019,1205,1139
23 de abril de 2019,1342,1279
24 de abril de 2019,1273,1201
25 de abril de 2019,995,985
26 de abril de 2019,976,966
27 de abril de 2019,627,559
28 de abril de 2019,1161,1110
29 de abril de 2019,1500,1372
30 de abril de 2019,955,910
1 de maio de 2019,1357,1233
2 de maio de 2019,1248,1252
3 de maio de 2019,1035,963
4 de maio de 2019,778,853
5 de maio de 2019,1293,1238
6 de maio de 2019,1069,998
7 de maio de 2019,1098,1106
8 de maio de 2019,1247,1253
9 de maio de 2019,1196,1129
10 de maio de 2019,830,799
11 de maio de 2019,511,417
12 de maio de 2019,1267,1298
13 de maio de 2019,1224,1173
14 de maio de 2019,1167,1092
15 de maio de 2019,750,739
16 de maio de 2019,703,687
17 de maio de 2019,425,382
18 de maio de 2019,590,730
19 de maio de 2019,1168,1174
20 de maio de 2019,1445,1419
21 de maio de 2019,1281,1223
22 de maio de 2019,1307,1326
23 de maio de 2019,850,792
24 de maio de 2019,821,853
25 de maio de 2019,715,701
26 de maio de 2019,1255,1233
27 de maio de 2019,1408,1435
28 de maio de 2019,1128,1092
29 de maio de 2019,1185,1105
30 de maio de 2019,1205,1105
31 de maio de 2019,700,699
1 de junho de 2019,211,188
2 de junho de 2019,593,649
3 de junho de 2019,1010,1058
4 de junho de 2019,814,802
5 de junho de 2019,1130,1108
6 de junho de 2019,1137,1062
7 de junho de 2019,880,805
8 de junho de 2019,699,667
9 de junho de 2019,1193,1177
10 de junho de 2019,1296,1255
11 de junho de 2019,1161,1120
12 de junho de 2019,1309,1227
13 de junho de 2019,1644,1572
14 de junho de 2019,955,938
15 de junho de 2019,822,862
16 de junho de 2019,1224,1172
17 de junho de 2019,1344,1341
18 de junho de 2019,1234,1188
19 de junho de 2019,647,669
20 de junho de 2019,842,867
21 de junho de 2019,847,805
22 de junho de 2019,491,579
23 de junho de 2019,1171,1148
24 de junho de 2019,1466,1389
25 de junho de 2019,1257,1193
26 de junho de 2019,1149,1192
27 de junho de 2019,1241,1094
28 de junho de 2019,1006,975
29 de junho de 2019,806,748
30 de junho de 2019,1198,1232
1 de julho de 2019,1319,1311
2 de julho de 2019,1371,1249
3 de julho de 2019,213,208
4 de julho de 2019,416,394
5 de julho de 2019,681,580
6 de julho de 2019,381,352
7 de julho de 2019,802,758
8 de julho de 2019,659,648
9 de julho de 2019,973,892
10 de julho de 2019,1215,1094
11 de julho de 2019,1082,1044
12 de julho de 2019,904,871
13 de julho de 2019,802,808
14 de julho de 2019,1069,1062
15 de julho de 2019,885,770
16 de julho de 2019,921,882
17 de julho de 2019,1046,974
18 de julho de 2019,967,887
19 de julho de 2019,835,801
20 de julho de 2019,687,674
21 de julho de 2019,1148,1081
22 de julho de 2019,1348,1229
23 de julho de 2019,1215,1145
24 de julho de 2019,1242,1165
25 de julho de 2019,1158,1122
26 de julho de 2019,883,846
27 de julho de 2019,711,710
28 de julho de 2019,1164,1105
29 de julho de 2019,1166,1123
30 de julho de 2019,1330,1169
31 de julho de 2019,1381,1252
1 de agosto de 2019,1001,913
2 de agosto de 2019,474,449
3 de agosto de 2019,315,283
4 de agosto de 2019,909,913
5 de agosto de 2019,1235,1105
6 de agosto de 2019,1248,1155
7 de agosto de 2019,1430,1270
8 de agosto de 2019,1191,1151
9 de agosto de 2019,975,938
10 de agosto de 2019,695,599
11 de agosto de 2019,1274,1254
12 de agosto de 2019,1112,1035
13 de agosto de 2019,809,757
14 de agosto de 2019,1202,1075
15 de agosto de 2019,1123,1009
16 de agosto de 2019,1020,965
17 de agosto de 2019,852,766
18 de agosto de 2019,663,638
19 de agosto de 2019,876,852
20 de agosto de 2019,1079,1011
21 de agosto de 2019,1076,984
22 de agosto de 2019,995,860
23 de agosto de 2019,698,666
24 de agosto de 2019,589,619
25 de agosto de 2019,1151,1080
26 de agosto de 2019,1290,1217
27 de agosto de 2019,1174,1128
28 de agosto de 2019,1424,1273
29 de agosto de 2019,1235,1190
30 de agosto de 2019,960,917
31 de agosto de 2019,896,891
1 de setembro de 2019,650,595
2 de setembro de 2019,828,730
3 de setembro de 2019,805,824
4 de setembro de 2019,619,587
5 de setembro de 2019,777,689
6 de setembro de 2019,934,818
7 de setembro de 2019,2105,2019
8 de setembro de 2019,1275,1207
9 de setembro de 2019,1488,1381
10 de setembro de 2019,1430,1329
11 de setembro de 2019,1312,1251
12 de setembro de 2019,1077,949
13 de setembro de 2019,924,807
14 de setembro de 2019,1955,1944
15 de setembro de 2019,1280,1215
16 de setembro de 2019,1515,1450
17 de setembro de 2019,1298,1306
18 de setembro de 2019,1250,1168
19 de setembro de 2019,963,888
20 de setembro de 2019,760,727
21 de setembro de 2019,925,935
22 de setembro de 2019,835,799
23 de setembro de 2019,1151,1077
24 de setembro de 2019,764,700
25 de setembro de 2019,903,896
26 de setembro de 2019,1034,930
27 de setembro de 2019,761,734
28 de setembro de 2019,1946,1875
29 de setembro de 2019,1265,1204
30 de setembro de 2019,1510,1436
1 de outubro de 2019,1391,1299
2 de outubro de 2019,1361,1338
3 de outubro de 2019,1230,1167
4 de outubro de 2019,874,845
5 de outubro de 2019,1780,1727
6 de outubro de 2019,848,842
7 de outubro de 2019,762,679
8 de outubro de 2019,964,890
9 de outubro de 2019,1191,1106
10 de outubro de 2019,1235,1120
11 de outubro de 2019,1057,925
12 de outubro de 2019,1803,1814
13 de outubro de 2019,1192,1124
14 de outubro de 2019,1287,1148
15 de outubro de 2019,1116,1069
16 de outubro de 2019,1366,1241
17 de outubro de 2019,970,947
18 de outubro de 2019,892,856
19 de outubro de 2019,1412,1361
20 de outubro de 2019,995,918
21 de outubro de 2019,1409,1339
22 de outubro de 2019,1344,1247
23 de outubro de 2019,1471,1301
24 de outubro de 2019,1240,1187
25 de outubro de 2019,904,838
26 de outubro de 2019,1883,1877
27 de outubro de 2019,1196,1043
28 de outubro de 2019,1462,1432
29 de outubro de 2019,1328,1239
30 de outubro de 2019,1369,1319
31 de outubro de 2019,1195,1136
1 de novembro de 2019,1022,941
2 de novembro de 2019,1877,1692
3 de novembro de 2019,1221,1200
4 de novembro de 2019,900,788
5 de novembro de 2019,861,842
6 de novembro de 2019,1012,996
7 de novembro de 2019,910,836
8 de novembro de 2019,903,865
9 de novembro de 2019,1468,1379
10 de novembro de 2019,958,953
11 de novembro de 2019,1291,1237
12 de novembro de 2019,1261,1170
13 de novembro de 2019,699,641
14 de novembro de 2019,452,410
15 de novembro de 2019,999,968
16 de novembro de 2019,1868,1843
17 de novembro de 2019,1099,1094
18 de novembro de 2019,1311,1243
19 de novembro de 2019,1629,1479
20 de novembro de 2019,1355,1199
21 de novembro de 2019,1146,1060
22 de novembro de 2019,753,664
23 de novembro de 2019,1308,1210
24 de novembro de 2019,1136,1063
25 de novembro de 2019,1448,1311
26 de novembro de 2019,952,861
27 de novembro de 2019,518,459
28 de novembro de 2019,1041,1007
29 de novembro de 2019,849,798
30 de novembro de 2019,1635,1687
1 de dezembro de 2019,873,779
2 de dezembro de 2019,1247,1111
3 de dezembro de 2019,1151,1108
4 de dezembro de 2019,959,866
5 de dezembro de 2019,921,823
6 de dezembro de 2019,1036,902
7 de dezembro de 2019,1765,1645
8 de dezembro de 2019,970,899
9 de dezembro de 2019,835,729
10 de dezembro de 2019,752,678
11 de dezembro de 2019,1078,1012
12 de dezembro de 2019,1040,982
13 de dezembro de 2019,745,684
14 de dezembro de 2019,1782,1666
15 de dezembro de 2019,1161,1088
16 de dezembro de 2019,1005,967
17 de dezembro de 2019,581,557
18 de dezembro de 2019,1061,959
19 de dezembro de 2019,979,877
20 de dezembro de 2019,878,765
21 de dezembro de 2019,1476,1390
22 de dezembro de 2019,538,494
23 de dezembro de 2019,758,695
24 de dezembro de 2019,694,632
25 de dezembro de 2019,940,786
26 de dezembro de 2019,876,822
27 de dezembro de 2019,878,786
28 de dezembro de 2019,1501,1431
29 de dezembro de 2019,758,737
30 de dezembro de 2019,629,513
31 de dezembro de 2019,502,431
1 de janeiro de 2020,426,402
2 de janeiro de 2020,616,571
3 de janeiro de 2020,740,635
4 de janeiro de 2020,1294,1193
5 de janeiro de 2020,1111,1072
6 de janeiro de 2020,1186,1102
7 de janeiro de 2020,851,808
8 de janeiro de 2020,1000,948
9 de janeiro de 2020,1127,1061
10 de janeiro de 2020,983,831
11 de janeiro de 2020,1577,1512
12 de janeiro de 2020,997,924
13 de janeiro de 2020,1362,1239
14 de janeiro de 2020,1370,1285
15 de janeiro de 2020,1064,941
16 de janeiro de 2020,741,751
17 de janeiro de 2020,958,881
18 de janeiro de 2020,1889,1668
19 de janeiro de 2020,1156,1070
20 de janeiro de 2020,1500,1395
21 de janeiro de 2020,1188,1110
22 de janeiro de 2020,866,771
23 de janeiro de 2020,624,587
24 de janeiro de 2020,1037,958
25 de janeiro de 2020,1857,1787
26 de janeiro de 2020,1343,1271
27 de janeiro de 2020,1148,1057
28 de janeiro de 2020,1359,1318
29 de janeiro de 2020,1094,939
30 de janeiro de 2020,1189,1124
31 de janeiro de 2020,675,583
1 de fevereiro de 2020,1274,1190
2 de fevereiro de 2020,451,393
3 de fevereiro de 2020,1099,1008
4 de fevereiro de 2020,1008,957
5 de fevereiro de 2020,1167,1024
6 de fevereiro de 2020,1138,1024
7 de fevereiro de 2020,997,924
8 de fevereiro de 2020,1755,1655
9 de fevereiro de 2020,281,281
10 de fevereiro de 2020,798,760
11 de fevereiro de 2020,926,855
12 de fevereiro de 2020,1063,1015
13 de fevereiro de 2020,1228,1130
14 de fevereiro de 2020,1034,888
15 de fevereiro de 2020,1681,1397
16 de fevereiro de 2020,1190,1173
17 de fevereiro de 2020,1215,1107
18 de fevereiro de 2020,1063,1016
19 de fevereiro de 2020,1109,1065
20 de fevereiro de 2020,842,838
21 de fevereiro de 2020,650,590
22 de fevereiro de 2020,1232,1164
23 de fevereiro de 2020,678,624
24 de fevereiro de 2020,1011,976
25 de fevereiro de 2020,430,404
26 de fevereiro de 2020,689,681
27 de fevereiro de 2020,796,746
28 de fevereiro de 2020,756,676
29 de fevereiro de 2020,1155,1024
1 de março de 2020,758,692
2 de março de 2020,864,814
3 de março de 2020,1264,1238
4 de março de 2020,1354,1308
5 de março de 2020,1283,1224
6 de março de 2020,1059,982
7 de março de 2020,1607,1455
8 de março de 2020,1352,1298
9 de março de 2020,1745,1570
10 de março de 2020,1632,1515
11 de março de 2020,1638,1606
12 de março de 2020,1536,1360
13 de março de 2020,1292,1163
14 de março de 2020,1921,1793
15 de março de 2020,1366,1222
16 de março de 2020,1341,1243
17 de março de 2020,1447,1279
18 de março de 2020,1180,1035
19 de março de 2020,1021,948
20 de março de 2020,844,665
21 de março de 2020,1206,1066
22 de março de 2020,864,805
23 de março de 2020,866,814
24 de março de 2020,966,836
25 de março de 2020,1024,975
26 de março de 2020,1089,997
27 de março de 2020,1270,1137
28 de março de 2020,1257,1097
29 de março de 2020,945,861
30 de março de 2020,1184,1049
31 de março de 2020,1237,1121
1 de abril de 2020,1271,1114
2 de abril de 2020,1051,961
3 de abril de 2020,1552,1356
4 de abril de 2020,2057,1796
5 de abril de 2020,1152,1008
6 de abril de 2020,863,783
7 de abril de 2020,946,862
8 de abril de 2020,1189,1129
9 de abril de 2020,1492,1314
10 de abril de 2020,1354,1168
11 de abril de 2020,1530,1277
12 de abril de 2020,1080,920
13 de abril de 2020,1116,1030
14 de abril de 2020,1269,1118
15 de abril de 2020,1219,1103
16 de abril de 2020,1072,961
17 de abril de 2020,1412,1172
18 de abril de 2020,2023,1762
19 de abril de 2020,1127,1045
20 de abril de 2020,2083,1755
21 de abril de 2020,1166,1014
22 de abril de 2020,1302,1187
23 de abril de 2020,1229,1147
24 de abril de 2020,1739,1474
25 de abril de 2020,2378,2063
26 de abril de 2020,1130,1079
27 de abril de 2020,1377,1248
28 de abril de 2020,1399,1300
29 de abril de 2020,1287,1132
30 de abril de 2020,1885,1583
1 de maio de 2020,1193,1107
2 de maio de 2020,2066,1821
3 de maio de 2020,989,906
4 de maio de 2020,1332,1158
5 de maio de 2020,860,777
6 de maio de 2020,646,555
7 de maio de 2020,935,818
8 de maio de 2020,1538,1290
9 de maio de 2020,1576,1433
10 de maio de 2020,1217,1097
11 de maio de 2020,1478,1311
12 de maio de 2020,1323,1163
13 de maio de 2020,829,689
14 de maio de 2020,965,889
15 de maio de 2020,1768,1553
16 de maio de 2020,2396,2075
17 de maio de 2020,1098,947
18 de maio de 2020,1309,1204
19 de maio de 2020,1545,1423
20 de maio de 2020,1676,1439
21 de maio de 2020,1280,1124
22 de maio de 2020,1015,864
23 de maio de 2020,1585,1367
24 de maio de 2020,1216,1039
25 de maio de 2020,1163,1045
26 de maio de 2020,1250,1013
27 de maio de 2020,1223,1042
28 de maio de 2020,1238,1081
29 de maio de 2020,1785,1547
30 de maio de 2020,2425,2137
31 de maio de 2020,1229,1112
1 de junho de 2020,755,650
2 de junho de 2020,1193,994
3 de junho de 2020,991,906
4 de junho de 2020,1163,1030
5 de junho de 2020,1597,1318
6 de junho de 2020,2507,2076
7 de junho de 2020,1376,1188
8 de junho de 2020,1477,1298
9 de junho de 2020,1579,1302
10 de junho de 2020,2033,1713
11 de junho de 2020,1340,1102
12 de junho de 2020,2050,1860
13 de junho de 2020,1144,1035
14 de junho de 2020,1190,1061
15 de junho de 2020,1554,1427
16 de junho de 2020,1618,1444
17 de junho de 2020,1691,1474
18 de junho de 2020,1597,1417
19 de junho de 2020,2215,1872
20 de junho de 2020,3202,2697
21 de junho de 2020,1494,1296
22 de junho de 2020,1965,1710
23 de junho de 2020,1902,1599
24 de junho de 2020,1933,1714
25 de junho de 2020,916,862
26 de junho de 2020,524,560
27 de junho de 2020,1710,1572
28 de junho de 2020,1197,1080
29 de junho de 2020,1667,1521
30 de junho de 2020,1277,1047
1 de julho de 2020,1851,1512
2 de julho de 2020,1402,1150
3 de julho de 2020,2035,1822
4 de julho de 2020,3195,2713
5 de julho de 2020,1361,1207
6 de julho de 2020,2015,1720
7 de julho de 2020,1851,1619
8 de julho de 2020,1890,1691
9 de julho de 2020,1715,1435
10 de julho de 2020,2085,2052
11 de julho de 2020,3439,3053
12 de julho de 2020,1632,1392
13 de julho de 2020,1387,1238
14 de julho de 2020,1251,1142
15 de julho de 2020,1795,1457
16 de julho de 2020,1571,1410
17 de julho de 2020,2108,1892
18 de julho de 2020,1615,1254
19 de julho de 2020,1570,1398
20 de julho de 2020,2182,1856
21 de julho de 2020,1792,1592
22 de julho de 2020,2009,1708
23 de julho de 2020,1782,1512
24 de julho de 2020,2108,2063
25 de julho de 2020,1366,1022
26 de julho de 2020,1674,1549
27 de julho de 2020,2127,1922
28 de julho de 2020,1088,994
29 de julho de 2020,1017,913
30 de julho de 2020,1304,1206
31 de julho de 2020,1887,1695
1 de agosto de 2020,1571,1246
2 de agosto de 2020,1501,1370
3 de agosto de 2020,1964,1772
4 de agosto de 2020,1573,1468
5 de agosto de 2020,1967,1766
6 de agosto de 2020,1575,1432
7 de agosto de 2020,2018,1831
8 de agosto de 2020,1204,1009
9 de agosto de 2020,1660,1497
10 de agosto de 2020,2176,1876
11 de agosto de 2020,1872,1657
12 de agosto de 2020,1760,1587
14 de agosto de 2020,,
