Date,R. Vergueiro Bicicleta Centro,R. Vergueiro Bicicleta Bairro
31 de outubro de 2016,1113,1011
1 de novembro de 2016,1076,930
2 de novembro de 2016,484,438
3 de novembro de 2016,648,615
4 de novembro de 2016,661,709
5 de novembro de 2016,2875,2772
6 de novembro de 2016,933,919
7 de novembro de 2016,1291,1079
8 de novembro de 2016,836,765
9 de novembro de 2016,936,945
10 de novembro de 2016,862,812
11 de novembro de 2016,520,495
12 de novembro de 2016,80,55
13 de novembro de 2016,379,387
14 de novembro de 2016,637,627
15 de novembro de 2016,806,795
16 de novembro de 2016,863,810
17 de novembro de 2016,663,628
18 de novembro de 2016,706,653
19 de novembro de 2016,1053,1075
20 de novembro de 2016,1038,969
21 de novembro de 2016,1048,1058
22 de novembro de 2016,710,726
23 de novembro de 2016,1180,1071
24 de novembro de 2016,826,838
25 de novembro de 2016,808,837
26 de novembro de 2016,927,1349
27 de novembro de 2016,865,855
28 de novembro de 2016,640,623
29 de novembro de 2016,624,630
30 de novembro de 2016,846,788
1 de dezembro de 2016,840,807
2 de dezembro de 2016,591,566
3 de dezembro de 2016,808,786
4 de dezembro de 2016,928,875
5 de dezembro de 2016,1296,1169
6 de dezembro de 2016,894,868
7 de dezembro de 2016,954,954
8 de dezembro de 2016,835,781
9 de dezembro de 2016,655,631
10 de dezembro de 2016,590,466
11 de dezembro de 2016,558,563
12 de dezembro de 2016,1162,987
13 de dezembro de 2016,800,765
14 de dezembro de 2016,657,638
15 de dezembro de 2016,741,712
16 de dezembro de 2016,860,674
17 de dezembro de 2016,898,834
18 de dezembro de 2016,767,734
19 de dezembro de 2016,881,829
20 de dezembro de 2016,671,674
21 de dezembro de 2016,864,826
22 de dezembro de 2016,632,616
23 de dezembro de 2016,592,574
24 de dezembro de 2016,507,448
25 de dezembro de 2016,884,787
26 de dezembro de 2016,815,779
27 de dezembro de 2016,766,728
28 de dezembro de 2016,722,679
29 de dezembro de 2016,655,675
30 de dezembro de 2016,543,500
31 de dezembro de 2016,851,886
1 de janeiro de 2017,461,450
2 de janeiro de 2017,633,625
3 de janeiro de 2017,927,915
4 de janeiro de 2017,975,874
5 de janeiro de 2017,677,610
6 de janeiro de 2017,612,627
7 de janeiro de 2017,1387,1152
8 de janeiro de 2017,777,709
9 de janeiro de 2017,1138,1067
10 de janeiro de 2017,799,778
11 de janeiro de 2017,869,805
12 de janeiro de 2017,867,834
13 de janeiro de 2017,838,837
14 de janeiro de 2017,1062,862
15 de janeiro de 2017,667,648
16 de janeiro de 2017,598,593
17 de janeiro de 2017,416,395
18 de janeiro de 2017,447,407
19 de janeiro de 2017,270,258
20 de janeiro de 2017,270,255
21 de janeiro de 2017,412,343
22 de janeiro de 2017,720,700
23 de janeiro de 2017,947,830
24 de janeiro de 2017,1162,1081
25 de janeiro de 2017,305,174
26 de janeiro de 2017,0,0
27 de janeiro de 2017,0,0
28 de janeiro de 2017,0,0
29 de janeiro de 2017,0,0
30 de janeiro de 2017,0,0
31 de janeiro de 2017,0,0
1 de fevereiro de 2017,477,579
2 de fevereiro de 2017,790,737
3 de fevereiro de 2017,713,690
4 de fevereiro de 2017,1233,1142
5 de fevereiro de 2017,726,701
6 de fevereiro de 2017,967,955
7 de fevereiro de 2017,1133,1165
8 de fevereiro de 2017,1157,1042
9 de fevereiro de 2017,1033,922
10 de fevereiro de 2017,816,902
11 de fevereiro de 2017,974,916
12 de fevereiro de 2017,1093,1046
13 de fevereiro de 2017,1266,1201
14 de fevereiro de 2017,1169,1061
15 de fevereiro de 2017,1094,1144
16 de fevereiro de 2017,1016,985
17 de fevereiro de 2017,821,805
18 de fevereiro de 2017,820,837
19 de fevereiro de 2017,1063,992
20 de fevereiro de 2017,1245,1240
21 de fevereiro de 2017,663,436
22 de fevereiro de 2017,0,0
23 de fevereiro de 2017,271,390
24 de fevereiro de 2017,629,642
25 de fevereiro de 2017,686,570
26 de fevereiro de 2017,702,775
27 de fevereiro de 2017,1514,1501
28 de fevereiro de 2017,782,816
1 de março de 2017,910,887
2 de março de 2017,707,667
3 de março de 2017,817,863
4 de março de 2017,730,669
5 de março de 2017,647,617
6 de março de 2017,776,747
7 de março de 2017,884,850
8 de março de 2017,797,916
9 de março de 2017,846,825
10 de março de 2017,867,810
11 de março de 2017,1065,993
12 de março de 2017,774,746
13 de março de 2017,872,887
14 de março de 2017,1652,1573
15 de março de 2017,1215,1194
16 de março de 2017,716,717
17 de março de 2017,530,546
18 de março de 2017,484,494
19 de março de 2017,887,899
20 de março de 2017,1112,1069
21 de março de 2017,1188,1125
22 de março de 2017,1091,955
23 de março de 2017,996,953
24 de março de 2017,794,805
25 de março de 2017,953,887
26 de março de 2017,849,814
27 de março de 2017,1055,951
28 de março de 2017,1010,979
29 de março de 2017,1099,1046
30 de março de 2017,879,857
31 de março de 2017,711,715
1 de abril de 2017,919,830
2 de abril de 2017,1013,998
