"estimate","lower","upper","onset_date","n.reported"
121,121,121,2020-04-14,121
121,121,121,2020-04-15,121
129,129,129,2020-04-16,129
143,143,143,2020-04-17,143
130,130,130,2020-04-18,130
137,137,137,2020-04-19,137
153,153,153,2020-04-20,153
135,135,135,2020-04-21,135
139,139,139,2020-04-22,139
160,160,160,2020-04-23,160
140,140,141,2020-04-24,140
136,136,139,2020-04-25,136
156,155,160,2020-04-26,155
175,172,180,2020-04-27,172
178,174,184,2020-04-28,174
192,187,199,2020-04-29,186
169,163,176,2020-04-30,161
195,189,203,2020-05-01,185
184,177,193,2020-05-02,172
182,174,191,2020-05-03,167
176,168,186,2020-05-04,159
226,217,237,2020-05-05,205
197,187,208,2020-05-06,172
211,200,224,2020-05-07,182
239,228,253,2020-05-08,206
223,210,237,2020-05-09,185
238,224,253,2020-05-10,195
224,210,240,2020-05-11,176
227,212,244,2020-05-12,173
229,213,246,2020-05-13,169
224,207,243,2020-05-14,158
228,210,248,2020-05-15,154
244,224,265,2020-05-16,159
242,222,265,2020-05-17,147
252,229,278,2020-05-18,144
240,216,267,2020-05-19,121
223,197,251,2020-05-20,92
226,198,258,2020-05-21,80
219,186,255,2020-05-22,56
219,181,261,2020-05-23,33
