"estimate","lower","upper","onset_date","n.reported"
11,11,11,2020-05-03,11
16,16,16,2020-05-04,16
15,15,16,2020-05-05,15
7,6,10,2020-05-06,6
14,13,18,2020-05-07,13
15,14,20,2020-05-08,14
12,11,17,2020-05-09,11
28,26,34,2020-05-10,26
23,21,28.0249999999996,2020-05-11,21
12,10,17,2020-05-12,10
19,17,25,2020-05-13,17
23,20,29,2020-05-14,20
33,29,40,2020-05-15,29
26,22,33,2020-05-16,22
25,21,33,2020-05-17,21
29,25,38,2020-05-18,24
31,26,41,2020-05-19,25
43,37,53,2020-05-20,35
25,20,35,2020-05-21,18
31,25,40,2020-05-22,23
32,26,42,2020-05-23,23
37,31,49,2020-05-24,27
43,35,55,2020-05-25,31
32,24,43,2020-05-26,19
32,23,45,2020-05-27,17
44,34,60,2020-05-28,24
65,52,85,2020-05-29,37
58,44,78,2020-05-30,27
74,57,98,2020-05-31,35
73,56,98.0249999999996,2020-06-01,32
52,36,75,2020-06-02,14
57,40,81,2020-06-03,15
68,48,97,2020-06-04,18
72,50,105,2020-06-05,15
70,46,106,2020-06-06,10
73,46,115,2020-06-07,7
83,52,138,2020-06-08,9
77,43,142,2020-06-09,3
73,37,149,2020-06-10,NA
77,35,174,2020-06-11,1
