"estimate","lower","upper","onset_date","n.reported"
6,6,6,2020-05-16,6
7,7,8,2020-05-17,7
12,11,15,2020-05-18,11
12,11,16,2020-05-19,11
17,16,21,2020-05-20,16
14,13,18,2020-05-21,13
17,16,22,2020-05-22,16
13,12,17,2020-05-23,12
13,12,17,2020-05-24,12
12,11,16,2020-05-25,11
11,10,15,2020-05-26,10
17,16,21,2020-05-27,16
13,12,18,2020-05-28,12
13,12,17,2020-05-29,12
4,3,8,2020-05-30,3
11,10,16,2020-05-31,10
23,21,27,2020-06-01,21
10,8,14,2020-06-02,8
17,15,21,2020-06-03,15
17,15,22,2020-06-04,15
14,12,19,2020-06-05,12
10,8,15,2020-06-06,8
14,12,19,2020-06-07,12
13,11,18,2020-06-08,11
16,13,21,2020-06-09,13
11,8,17,2020-06-10,8
16,12,21,2020-06-11,12
26,23,33,2020-06-12,22
13,10,20,2020-06-13,9
11,7,18,2020-06-14,6
22,17,30,2020-06-15,15
23,18,32,2020-06-16,15
19,13,29,2020-06-17,9
24,17,36,2020-06-18,11
21,13,33,2020-06-19,7
19,11,32,2020-06-20,4
17,8,30,2020-06-21,1
17,7,30,2020-06-22,NA
17,7,33,2020-06-23,NA
18,7,34,2020-06-24,NA
