"dt_sin_pri","n.casos"
2020-03-12,1
2020-03-14,1
2020-03-15,1
2020-03-17,1
2020-03-27,1
2020-04-01,1
2020-04-03,1
2020-04-06,1
2020-04-08,1
2020-04-09,1
2020-04-14,1
2020-04-15,1
2020-04-17,2
2020-04-19,2
2020-04-20,3
2020-04-21,2
2020-04-22,4
2020-04-23,5
2020-04-24,2
2020-04-25,5
2020-04-26,2
2020-04-27,4
2020-04-28,6
2020-04-29,8
2020-04-30,9
2020-05-01,8
2020-05-02,6
2020-05-03,7
2020-05-04,4
2020-05-05,12
2020-05-06,11
2020-05-07,6
2020-05-08,12
2020-05-09,7
2020-05-10,18
2020-05-11,7
2020-05-12,13
2020-05-13,8
2020-05-14,13
2020-05-15,17
2020-05-16,11
2020-05-17,7
2020-05-18,11
2020-05-19,8
2020-05-20,6
2020-05-21,6
2020-05-22,11
2020-05-23,8
2020-05-24,6
2020-05-25,17
2020-05-26,8
2020-05-27,8
2020-05-28,8
2020-05-29,6
2020-05-30,8
2020-05-31,10
2020-06-01,16
2020-06-02,7
2020-06-03,3
2020-06-04,7
2020-06-05,10
2020-06-06,9
2020-06-07,4
2020-06-08,7
2020-06-09,7
2020-06-10,9
2020-06-11,4
2020-06-12,4
2020-06-13,5
2020-06-14,8
2020-06-15,7
2020-06-16,3
2020-06-17,9
2020-06-18,1
2020-06-19,5
2020-06-20,3
2020-06-21,1
2020-06-22,1
2020-06-24,1
2020-06-25,1
2020-06-26,1
