"dt_evoluca","n.casos"
2020-01-21,1
2020-02-06,1
2020-02-08,1
2020-02-10,1
2020-02-15,1
2020-02-21,1
2020-03-13,1
2020-03-31,1
2020-04-05,1
2020-04-07,1
2020-04-08,1
2020-04-10,2
2020-04-14,1
2020-04-15,2
2020-04-18,1
2020-04-20,1
2020-04-24,1
2020-04-25,1
2020-04-28,1
2020-04-29,2
2020-04-30,2
2020-05-01,3
2020-05-02,1
2020-05-03,2
2020-05-05,1
2020-05-07,1
2020-05-09,3
2020-05-10,1
2020-05-11,4
2020-05-12,4
2020-05-13,1
2020-05-14,5
2020-05-15,6
2020-05-16,3
2020-05-17,4
2020-05-18,4
2020-05-19,9
2020-05-20,4
2020-05-21,5
2020-05-22,5
2020-05-23,2
2020-05-24,5
2020-05-25,11
2020-05-26,3
2020-05-27,5
2020-05-28,2
2020-05-29,6
2020-05-30,5
2020-05-31,5
2020-06-01,5
2020-06-02,3
2020-06-03,6
2020-06-04,6
2020-06-05,7
2020-06-06,10
2020-06-07,8
2020-06-08,8
2020-06-09,7
2020-06-10,8
2020-06-11,4
2020-06-12,4
2020-06-13,8
2020-06-14,8
2020-06-15,7
2020-06-16,4
2020-06-17,5
2020-06-18,8
2020-06-19,11
2020-06-20,5
2020-06-21,2
2020-06-22,7
2020-06-23,5
2020-06-24,4
2020-06-25,5
2020-06-26,7
2020-06-27,5
2020-06-28,2
2020-06-29,7
2020-06-30,4
2020-07-01,8
2020-07-02,4
2020-07-03,11
2020-07-04,5
2020-07-05,7
2020-07-06,4
2020-07-07,11
2020-07-08,10
2020-07-09,7
2020-07-10,5
2020-07-11,7
2020-07-12,8
2020-07-13,7
2020-07-14,7
2020-07-15,8
2020-07-16,7
2020-07-17,6
2020-07-18,7
2020-07-19,4
2020-07-20,4
2020-07-21,1
