"","dt_evoluca","N","Cum"
"1",2020-03-15,1,1
"2",2020-03-16,3,4
"3",2020-03-17,4,8
"4",2020-03-18,8,16
"5",2020-03-19,10,26
"6",2020-03-20,18,44
"7",2020-03-21,15,59
"8",2020-03-22,20,79
"9",2020-03-23,37,116
"10",2020-03-24,37,153
"11",2020-03-25,40,193
"12",2020-03-26,53,246
"13",2020-03-27,61,307
"14",2020-03-28,73,380
"15",2020-03-29,70,450
"16",2020-03-30,92,542
"17",2020-03-31,115,657
"18",2020-04-01,113,770
"19",2020-04-02,132,902
"20",2020-04-03,160,1062
"21",2020-04-04,177,1239
"22",2020-04-05,180,1419
"23",2020-04-06,174,1593
"24",2020-04-07,206,1799
"25",2020-04-08,189,1988
"26",2020-04-09,192,2180
"27",2020-04-10,242,2422
"28",2020-04-11,231,2653
"29",2020-04-12,276,2929
"30",2020-04-13,298,3227
"31",2020-04-14,265,3492
"32",2020-04-15,322,3814
"33",2020-04-16,325,4139
"34",2020-04-17,332,4471
"35",2020-04-18,366,4837
"36",2020-04-19,405,5242
"37",2020-04-20,447,5689
"38",2020-04-21,415,6104
"39",2020-04-22,489,6593
"40",2020-04-23,529,7122
"41",2020-04-24,549,7671
"42",2020-04-25,586,8257
"43",2020-04-26,622,8879
"44",2020-04-27,646,9525
"45",2020-04-28,707,10232
"46",2020-04-29,664,10896
"47",2020-04-30,642,11538
"48",2020-05-01,696,12234
"49",2020-05-02,714,12948
"50",2020-05-03,747,13695
"51",2020-05-04,775,14470
"52",2020-05-05,795,15265
"53",2020-05-06,732,15997
"54",2020-05-07,751,16748
"55",2020-05-08,788,17536
"56",2020-05-09,799,18335
"57",2020-05-10,774,19109
"58",2020-05-11,793,19902
"59",2020-05-12,811,20713
"60",2020-05-13,786,21499
"61",2020-05-14,825,22324
"62",2020-05-15,778,23102
"63",2020-05-16,777,23879
"64",2020-05-17,789,24668
"65",2020-05-18,823,25491
"66",2020-05-19,797,26288
"67",2020-05-20,737,27025
"68",2020-05-21,767,27792
"69",2020-05-22,803,28595
"70",2020-05-23,727,29322
"71",2020-05-24,651,29973
"72",2020-05-25,777,30750
"73",2020-05-26,647,31397
"74",2020-05-27,677,32074
"75",2020-05-28,647,32721
"76",2020-05-29,666,33387
"77",2020-05-30,613,34000
"78",2020-05-31,578,34578
"79",2020-06-01,604,35182
"80",2020-06-02,567,35749
"81",2020-06-03,560,36309
"82",2020-06-04,559,36868
"83",2020-06-05,503,37371
"84",2020-06-06,551,37922
"85",2020-06-07,455,38377
"86",2020-06-08,467,38844
"87",2020-06-09,451,39295
"88",2020-06-10,400,39695
"89",2020-06-11,385,40080
"90",2020-06-12,369,40449
"91",2020-06-13,340,40789
"92",2020-06-14,277,41066
"93",2020-06-15,301,41367
"94",2020-06-16,99,41466
"95",NA,278,41744
