"","dt_evoluca","N","Cum"
"1",2020-03-12,1,1
"2",2020-03-15,1,2
"3",2020-03-16,3,5
"4",2020-03-17,4,9
"5",2020-03-18,8,17
"6",2020-03-19,10,27
"7",2020-03-20,18,45
"8",2020-03-21,15,60
"9",2020-03-22,21,81
"10",2020-03-23,36,117
"11",2020-03-24,37,154
"12",2020-03-25,41,195
"13",2020-03-26,56,251
"14",2020-03-27,62,313
"15",2020-03-28,75,388
"16",2020-03-29,71,459
"17",2020-03-30,93,552
"18",2020-03-31,114,666
"19",2020-04-01,114,780
"20",2020-04-02,136,916
"21",2020-04-03,162,1078
"22",2020-04-04,182,1260
"23",2020-04-05,194,1454
"24",2020-04-06,186,1640
"25",2020-04-07,212,1852
"26",2020-04-08,194,2046
"27",2020-04-09,199,2245
"28",2020-04-10,241,2486
"29",2020-04-11,237,2723
"30",2020-04-12,286,3009
"31",2020-04-13,305,3314
"32",2020-04-14,279,3593
"33",2020-04-15,330,3923
"34",2020-04-16,336,4259
"35",2020-04-17,352,4611
"36",2020-04-18,380,4991
"37",2020-04-19,431,5422
"38",2020-04-20,466,5888
"39",2020-04-21,460,6348
"40",2020-04-22,557,6905
"41",2020-04-23,587,7492
"42",2020-04-24,628,8120
"43",2020-04-25,662,8782
"44",2020-04-26,670,9452
"45",2020-04-27,695,10147
"46",2020-04-28,772,10919
"47",2020-04-29,794,11713
"48",2020-04-30,804,12517
"49",2020-05-01,823,13340
"50",2020-05-02,825,14165
"51",2020-05-03,878,15043
"52",2020-05-04,912,15955
"53",2020-05-05,968,16923
"54",2020-05-06,901,17824
"55",2020-05-07,915,18739
"56",2020-05-08,970,19709
"57",2020-05-09,976,20685
"58",2020-05-10,969,21654
"59",2020-05-11,922,22576
"60",2020-05-12,938,23514
"61",2020-05-13,948,24462
"62",2020-05-14,988,25450
"63",2020-05-15,914,26364
"64",2020-05-16,924,27288
"65",2020-05-17,942,28230
"66",2020-05-18,955,29185
"67",2020-05-19,945,30130
"68",2020-05-20,892,31022
"69",2020-05-21,928,31950
"70",2020-05-22,997,32947
"71",2020-05-23,885,33832
"72",2020-05-24,821,34653
"73",2020-05-25,975,35628
"74",2020-05-26,846,36474
"75",2020-05-27,884,37358
"76",2020-05-28,855,38213
"77",2020-05-29,901,39114
"78",2020-05-30,829,39943
"79",2020-05-31,781,40724
"80",2020-06-01,864,41588
"81",2020-06-02,834,42422
"82",2020-06-03,815,43237
"83",2020-06-04,807,44044
"84",2020-06-05,756,44800
"85",2020-06-06,828,45628
"86",2020-06-07,706,46334
"87",2020-06-08,760,47094
"88",2020-06-09,734,47828
"89",2020-06-10,755,48583
"90",2020-06-11,732,49315
"91",2020-06-12,748,50063
"92",2020-06-13,746,50809
"93",2020-06-14,700,51509
"94",2020-06-15,735,52244
"95",2020-06-16,772,53016
"96",2020-06-17,742,53758
"97",2020-06-18,698,54456
"98",2020-06-19,682,55138
"99",2020-06-20,684,55822
"100",2020-06-21,698,56520
"101",2020-06-22,712,57232
"102",2020-06-23,663,57895
"103",2020-06-24,688,58583
"104",2020-06-25,664,59247
"105",2020-06-26,599,59846
"106",2020-06-27,635,60481
"107",2020-06-28,658,61139
"108",2020-06-29,683,61822
"109",2020-06-30,621,62443
"110",2020-07-01,622,63065
"111",2020-07-02,661,63726
"112",2020-07-03,548,64274
"113",2020-07-04,586,64860
"114",2020-07-05,615,65475
"115",2020-07-06,579,66054
"116",2020-07-07,547,66601
"117",2020-07-08,547,67148
"118",2020-07-09,509,67657
"119",2020-07-10,442,68099
"120",2020-07-11,419,68518
"121",2020-07-12,390,68908
"122",2020-07-13,326,69234
"123",2020-07-14,90,69324
