"","dt_evoluca","N","Cum"
"1",2020-03-12,1,1
"2",2020-03-15,1,2
"3",2020-03-16,3,5
"4",2020-03-17,4,9
"5",2020-03-18,8,17
"6",2020-03-19,10,27
"7",2020-03-20,18,45
"8",2020-03-21,15,60
"9",2020-03-22,21,81
"10",2020-03-23,36,117
"11",2020-03-24,37,154
"12",2020-03-25,40,194
"13",2020-03-26,55,249
"14",2020-03-27,61,310
"15",2020-03-28,74,384
"16",2020-03-29,70,454
"17",2020-03-30,93,547
"18",2020-03-31,115,662
"19",2020-04-01,114,776
"20",2020-04-02,133,909
"21",2020-04-03,160,1069
"22",2020-04-04,176,1245
"23",2020-04-05,187,1432
"24",2020-04-06,178,1610
"25",2020-04-07,210,1820
"26",2020-04-08,193,2013
"27",2020-04-09,195,2208
"28",2020-04-10,242,2450
"29",2020-04-11,237,2687
"30",2020-04-12,284,2971
"31",2020-04-13,300,3271
"32",2020-04-14,271,3542
"33",2020-04-15,329,3871
"34",2020-04-16,333,4204
"35",2020-04-17,348,4552
"36",2020-04-18,372,4924
"37",2020-04-19,422,5346
"38",2020-04-20,459,5805
"39",2020-04-21,453,6258
"40",2020-04-22,545,6803
"41",2020-04-23,575,7378
"42",2020-04-24,602,7980
"43",2020-04-25,639,8619
"44",2020-04-26,647,9266
"45",2020-04-27,671,9937
"46",2020-04-28,742,10679
"47",2020-04-29,767,11446
"48",2020-04-30,774,12220
"49",2020-05-01,788,13008
"50",2020-05-02,794,13802
"51",2020-05-03,835,14637
"52",2020-05-04,870,15507
"53",2020-05-05,865,16372
"54",2020-05-06,796,17168
"55",2020-05-07,823,17991
"56",2020-05-08,853,18844
"57",2020-05-09,866,19710
"58",2020-05-10,837,20547
"59",2020-05-11,859,21406
"60",2020-05-12,890,22296
"61",2020-05-13,872,23168
"62",2020-05-14,932,24100
"63",2020-05-15,844,24944
"64",2020-05-16,861,25805
"65",2020-05-17,872,26677
"66",2020-05-18,894,27571
"67",2020-05-19,875,28446
"68",2020-05-20,818,29264
"69",2020-05-21,853,30117
"70",2020-05-22,909,31026
"71",2020-05-23,818,31844
"72",2020-05-24,748,32592
"73",2020-05-25,891,33483
"74",2020-05-26,747,34230
"75",2020-05-27,797,35027
"76",2020-05-28,749,35776
"77",2020-05-29,805,36581
"78",2020-05-30,735,37316
"79",2020-05-31,696,38012
"80",2020-06-01,746,38758
"81",2020-06-02,728,39486
"82",2020-06-03,706,40192
"83",2020-06-04,711,40903
"84",2020-06-05,653,41556
"85",2020-06-06,724,42280
"86",2020-06-07,603,42883
"87",2020-06-08,640,43523
"88",2020-06-09,650,44173
"89",2020-06-10,619,44792
"90",2020-06-11,607,45399
"91",2020-06-12,617,46016
"92",2020-06-13,632,46648
"93",2020-06-14,574,47222
"94",2020-06-15,613,47835
"95",2020-06-16,621,48456
"96",2020-06-17,595,49051
"97",2020-06-18,579,49630
"98",2020-06-19,501,50131
"99",2020-06-20,554,50685
"100",2020-06-21,530,51215
"101",2020-06-22,521,51736
"102",2020-06-23,463,52199
"103",2020-06-24,456,52655
"104",2020-06-25,402,53057
"105",2020-06-26,311,53368
"106",2020-06-27,289,53657
"107",2020-06-28,290,53947
"108",2020-06-29,141,54088
"109",2020-06-30,10,54098
"110",NA,390,54488
