"","dt_evoluca","N","Cum"
"1",2020-03-12,1,1
"2",2020-03-15,1,2
"3",2020-03-16,3,5
"4",2020-03-17,4,9
"5",2020-03-18,8,17
"6",2020-03-19,10,27
"7",2020-03-20,18,45
"8",2020-03-21,15,60
"9",2020-03-22,21,81
"10",2020-03-23,36,117
"11",2020-03-24,38,155
"12",2020-03-25,42,197
"13",2020-03-26,56,253
"14",2020-03-27,62,315
"15",2020-03-28,75,390
"16",2020-03-29,71,461
"17",2020-03-30,92,553
"18",2020-03-31,113,666
"19",2020-04-01,115,781
"20",2020-04-02,139,920
"21",2020-04-03,161,1081
"22",2020-04-04,185,1266
"23",2020-04-05,194,1460
"24",2020-04-06,181,1641
"25",2020-04-07,212,1853
"26",2020-04-08,196,2049
"27",2020-04-09,202,2251
"28",2020-04-10,239,2490
"29",2020-04-11,240,2730
"30",2020-04-12,290,3020
"31",2020-04-13,309,3329
"32",2020-04-14,287,3616
"33",2020-04-15,333,3949
"34",2020-04-16,338,4287
"35",2020-04-17,350,4637
"36",2020-04-18,384,5021
"37",2020-04-19,434,5455
"38",2020-04-20,478,5933
"39",2020-04-21,461,6394
"40",2020-04-22,560,6954
"41",2020-04-23,598,7552
"42",2020-04-24,642,8194
"43",2020-04-25,674,8868
"44",2020-04-26,682,9550
"45",2020-04-27,703,10253
"46",2020-04-28,779,11032
"47",2020-04-29,815,11847
"48",2020-04-30,822,12669
"49",2020-05-01,838,13507
"50",2020-05-02,849,14356
"51",2020-05-03,901,15257
"52",2020-05-04,933,16190
"53",2020-05-05,991,17181
"54",2020-05-06,925,18106
"55",2020-05-07,945,19051
"56",2020-05-08,1005,20056
"57",2020-05-09,1005,21061
"58",2020-05-10,1006,22067
"59",2020-05-11,1002,23069
"60",2020-05-12,1050,24119
"61",2020-05-13,1039,25158
"62",2020-05-14,1079,26237
"63",2020-05-15,1007,27244
"64",2020-05-16,1005,28249
"65",2020-05-17,1019,29268
"66",2020-05-18,1027,30295
"67",2020-05-19,999,31294
"68",2020-05-20,931,32225
"69",2020-05-21,975,33200
"70",2020-05-22,1045,34245
"71",2020-05-23,939,35184
"72",2020-05-24,872,36056
"73",2020-05-25,1024,37080
"74",2020-05-26,892,37972
"75",2020-05-27,927,38899
"76",2020-05-28,917,39816
"77",2020-05-29,954,40770
"78",2020-05-30,883,41653
"79",2020-05-31,831,42484
"80",2020-06-01,913,43397
"81",2020-06-02,882,44279
"82",2020-06-03,862,45141
"83",2020-06-04,884,46025
"84",2020-06-05,820,46845
"85",2020-06-06,888,47733
"86",2020-06-07,760,48493
"87",2020-06-08,815,49308
"88",2020-06-09,787,50095
"89",2020-06-10,843,50938
"90",2020-06-11,797,51735
"91",2020-06-12,827,52562
"92",2020-06-13,829,53391
"93",2020-06-14,769,54160
"94",2020-06-15,796,54956
"95",2020-06-16,839,55795
"96",2020-06-17,835,56630
"97",2020-06-18,762,57392
"98",2020-06-19,775,58167
"99",2020-06-20,761,58928
"100",2020-06-21,768,59696
"101",2020-06-22,799,60495
"102",2020-06-23,731,61226
"103",2020-06-24,767,61993
"104",2020-06-25,753,62746
"105",2020-06-26,703,63449
"106",2020-06-27,713,64162
"107",2020-06-28,738,64900
"108",2020-06-29,792,65692
"109",2020-06-30,751,66443
"110",2020-07-01,732,67175
"111",2020-07-02,795,67970
"112",2020-07-03,698,68668
"113",2020-07-04,723,69391
"114",2020-07-05,768,70159
"115",2020-07-06,731,70890
"116",2020-07-07,737,71627
"117",2020-07-08,736,72363
"118",2020-07-09,752,73115
"119",2020-07-10,711,73826
"120",2020-07-11,686,74512
"121",2020-07-12,788,75300
"122",2020-07-13,757,76057
"123",2020-07-14,744,76801
"124",2020-07-15,712,77513
"125",2020-07-16,681,78194
"126",2020-07-17,699,78893
"127",2020-07-18,636,79529
"128",2020-07-19,674,80203
"129",2020-07-20,627,80830
"130",2020-07-21,681,81511
"131",2020-07-22,662,82173
"132",2020-07-23,556,82729
"133",2020-07-24,570,83299
"134",2020-07-25,538,83837
"135",2020-07-26,473,84310
"136",2020-07-27,470,84780
"137",2020-07-28,365,85145
"138",2020-07-29,187,85332
