"dt_notific","n.notific"
2020-01-09,1
2020-01-13,1
2020-01-20,1
2020-02-03,1
2020-02-13,1
2020-02-17,1
2020-02-26,1
2020-03-06,1
2020-03-12,2
2020-03-16,1
2020-03-18,1
2020-03-19,1
2020-03-20,1
2020-03-23,2
2020-03-24,1
2020-03-25,1
2020-03-27,1
2020-03-30,4
2020-04-01,1
2020-04-02,1
2020-04-03,3
2020-04-06,6
2020-04-07,2
2020-04-08,1
2020-04-09,1
2020-04-10,1
2020-04-13,1
2020-04-14,5
2020-04-16,2
2020-04-17,3
2020-04-18,1
2020-04-20,6
2020-04-22,4
2020-04-23,2
2020-04-24,7
2020-04-27,6
2020-04-28,6
2020-04-29,3
2020-04-30,7
2020-05-02,1
2020-05-04,3
2020-05-05,4
2020-05-07,4
2020-05-08,1
2020-05-09,1
2020-05-11,4
2020-05-12,2
2020-05-13,2
2020-05-14,2
2020-05-15,5
2020-05-16,1
2020-05-18,2
2020-05-19,4
2020-05-20,2
2020-05-21,5
2020-05-22,4
2020-05-24,3
2020-05-25,5
2020-05-26,4
2020-05-27,6
2020-05-28,2
2020-05-29,2
2020-05-31,1
2020-06-01,5
2020-06-02,2
2020-06-03,5
2020-06-05,1
2020-06-08,7
2020-06-09,1
2020-06-10,4
2020-06-12,6
2020-06-13,2
2020-06-15,6
2020-06-16,5
2020-06-17,6
2020-06-18,3
2020-06-19,6
2020-06-20,1
2020-06-22,20
2020-06-23,5
2020-06-24,6
2020-06-25,3
2020-06-26,3
2020-06-28,1
2020-06-29,9
2020-06-30,6
2020-07-01,9
2020-07-02,3
2020-07-03,5
2020-07-05,3
2020-07-06,8
2020-07-07,7
2020-07-08,4
2020-07-10,11
2020-07-12,4
2020-07-13,14
2020-07-14,10
2020-07-15,4
2020-07-16,9
2020-07-17,3
2020-07-19,6
2020-07-20,8
2020-07-21,13
2020-07-22,4
2020-07-23,9
2020-07-24,10
2020-07-25,4
2020-07-26,8
2020-07-27,16
2020-07-28,11
2020-07-29,8
2020-07-30,11
2020-07-31,10
2020-08-01,4
2020-08-02,10
2020-08-03,13
2020-08-04,10
2020-08-05,4
2020-08-06,11
2020-08-07,9
2020-08-09,9
2020-08-10,8
2020-08-11,9
2020-08-12,9
2020-08-13,10
2020-08-14,8
2020-08-15,1
2020-08-16,4
2020-08-17,5
2020-08-18,9
2020-08-19,10
2020-08-20,7
2020-08-21,4
2020-08-23,3
2020-08-24,4
2020-08-25,5
