"estimate","lower","upper","onset_date","n.reported"
27,27,27,2020-05-17,27
24,24,24,2020-05-18,24
29,29,29,2020-05-19,29
22,22,22,2020-05-20,22
29,29,29,2020-05-21,29
19,19,19,2020-05-22,19
33,33,33,2020-05-23,33
15,15,16,2020-05-24,15
29,29,32,2020-05-25,29
17,17,21,2020-05-26,17
22,21,26,2020-05-27,21
28,25,32,2020-05-28,25
28,25,34,2020-05-29,25
29,26,35,2020-05-30,25
29,25,36,2020-05-31,24
23,19,30,2020-06-01,17
35,30,42,2020-06-02,28
28,23,36,2020-06-03,20
29,23,37,2020-06-04,20
30,24,38,2020-06-05,20
25,19,33,2020-06-06,14
22,15,31,2020-06-07,10
31,24,40,2020-06-08,17
32,24,42,2020-06-09,16
33,24,43,2020-06-10,15
34,25,45,2020-06-11,15
31,22,42,2020-06-12,11
31,22,43,2020-06-13,10
30,20,42,2020-06-14,7
40,29,53,2020-06-15,15
36,25,50,2020-06-16,9
46,34,61,2020-06-17,17
38,25,53,2020-06-18,8
40,27,56,2020-06-19,9
42,29,59,2020-06-20,10
41,27,59,2020-06-21,7
46,32,66,2020-06-22,11
47,32,69,2020-06-23,10
46,30,69,2020-06-24,8
43,26,68,2020-06-25,3
