"estimate","lower","upper","onset_date","n.reported"
6,6,6,2020-05-18,6
8,8,9,2020-05-19,8
4,4,5,2020-05-20,4
3,3,5,2020-05-21,3
2,2,4,2020-05-22,2
7,7,9,2020-05-23,7
9,8,11,2020-05-24,8
2,1,4,2020-05-25,1
3,2,6,2020-05-26,2
5,4,8,2020-05-27,4
3,2,6,2020-05-28,2
5,4,9,2020-05-29,4
3,2,7,2020-05-30,2
2,1,6,2020-05-31,1
8,6,11,2020-06-01,6
4,2,8,2020-06-02,2
5,3,9,2020-06-03,3
4,2,8,2020-06-04,2
6,4,10,2020-06-05,4
4,2,9,2020-06-06,2
6,4,11,2020-06-07,4
5,2,9,2020-06-08,2
3,0,8,2020-06-09,NA
3,0,8,2020-06-10,NA
4,1,10,2020-06-11,1
4,0,9,2020-06-12,NA
6,2,12,2020-06-13,2
6,3,12,2020-06-14,2
4,1,10,2020-06-15,NA
7,4,14,2020-06-16,3
6,2,12,2020-06-17,1
5,1,12,2020-06-18,NA
6,2,13,2020-06-19,1
5,1,12,2020-06-20,NA
5,1,12.0249999999996,2020-06-21,NA
5,1,12,2020-06-22,NA
5,1,12,2020-06-23,NA
5,1,12.0249999999996,2020-06-24,NA
5,1,13,2020-06-25,NA
5,1,13,2020-06-26,NA
