"estimate","lower","upper","onset_date","n.reported"
42,42,42,2020-04-24,42
39,39,39,2020-04-25,39
37,37,37,2020-04-26,37
24,24,24,2020-04-27,24
48,48,48,2020-04-28,48
45,45,45,2020-04-29,45
47,47,50,2020-04-30,47
43,43,46,2020-05-01,43
50,50,53,2020-05-02,50
48,48,52,2020-05-03,48
51,51,56,2020-05-04,51
52,51,57,2020-05-05,51
62,60,68,2020-05-06,60
54,51,60,2020-05-07,51
61,57,68,2020-05-08,57
56,52,64,2020-05-09,51
53,48,61,2020-05-10,46
59,52,67,2020-05-11,49
71,64,81,2020-05-12,58
55,47,65,2020-05-13,39
56,48,67,2020-05-14,40
52,44,63,2020-05-15,34
66,57,77,2020-05-16,46
60,51,72,2020-05-17,39
50,41,62,2020-05-18,28
60,50,72,2020-05-19,36
42,32,54.0249999999996,2020-05-20,17
49,38,62,2020-05-21,21
60,48,74,2020-05-22,29
55,43,69,2020-05-23,22
58,45.9750000000002,73,2020-05-24,23
59,46,75,2020-05-25,22
47,33,64,2020-05-26,9
52,38,69,2020-05-27,12
49,35,66,2020-05-28,7
63,48,81,2020-05-29,17
58,42,77.0249999999996,2020-05-30,10
64,48,86,2020-05-31,14
62,45,85,2020-06-01,10
55,36,78,2020-06-02,1
