"estimate","lower","upper","onset_date","n.reported"
128,128,128,2020-04-20,128
88,86,94,2020-04-21,86
113,108,121,2020-04-22,106
113,107,122,2020-04-23,103
102,95,111,2020-04-24,90
117,109,128,2020-04-25,101
110,101,120,2020-04-26,92
125,115,137,2020-04-27,104
123,113,136,2020-04-28,101
68,60,79.0249999999996,2020-04-29,51
135,123,149,2020-04-30,107
172,158,189,2020-05-01,136
117,104,131.025,2020-05-02,86
98,87,112,2020-05-03,69
111,98,126,2020-05-04,78
100,87,114,2020-05-05,67
90,78,105,2020-05-06,58
88,75,103,2020-05-07,54
83,70,99,2020-05-08,48
91,77,108,2020-05-09,50
121,104,143,2020-05-10,69
81,65,100,2020-05-11,35
102,84,123,2020-05-12,47
99,80,122,2020-05-13,40
97,77,123,2020-05-14,34
97,75,123,2020-05-15,28
117,92,148,2020-05-16,33
124,96,160,2020-05-17,30
124,94,160.025,2020-05-18,27
94,65,130,2020-05-19,8
126,92,172,2020-05-20,22
112,78,159,2020-05-21,13
101,66,146,2020-05-22,9
83,48,130,2020-05-23,1
92,51,146,2020-05-24,4
90,46,156,2020-05-25,NA
105,52.9750000000002,200.025,2020-05-26,4
103,46,219,2020-05-27,1
102,40,237,2020-05-28,NA
101,36,259,2020-05-29,NA
